keyword,tfidf
head,0.2401700274931333
飞首,0.20586002356554287
neck,0.1372400157103619
让头飞出去程度的能力,0.1372400157103619
首符,0.1372400157103619
飞头,0.1372400157103619
飛頭,0.1372400157103619
long,0.12635224205645879
extreme,0.11263526948111632
辘轳首,0.10293001178277143
眼光,0.0947641815423441
东方辉针城,0.07384452311552824
hell,0.07051687311156757
因为头能飞出去,0.06862000785518095
所以经常与,0.06862000785518095
sekibanki,0.06862000785518095
似乎都可以做到,0.06862000785518095
与人类和妖怪都没法打成一片,0.06862000785518095
总给人一种高高在上的感觉,0.06862000785518095
辉针城music,0.06862000785518095
辘轳首的怪奇,0.06862000785518095
柳树下的杜拉罕,0.06862000785518095
脑袋灵活的辘轳首,0.06862000785518095
飞符,0.06862000785518095
飞行之头,0.06862000785518095
twin,0.06862000785518095
rokuro,0.06862000785518095
飛首,0.06862000785518095
幺乐团的历史,0.06713138465048021
flying,0.06317612102822939
影狼,0.06317612102822939
雷鼓,0.06317612102822939
查看日文原文,0.06141691761999378
第二日,0.0603826123965141
东方辉针城采访,0.05386973502871629
二次设定,0.05370510772038417
弹幕天邪鬼,0.05370510772038417
ray,0.05000723585615473
2nd,0.04907422130360708
辉针城,0.048391463871870585
辉针城设定文档,0.04701124874104505
正邪,0.04701124874104505
针妙丸,0.04701124874104505
room,0.04699196925533615
十六夜咲夜a,0.04348867346974356
十六夜咲夜b,0.04348867346974356
2面boss,0.04348867346974356
弹幕狂们的黑市,0.04027883079028813
漫画,0.04027883079028813
easy,0.03818418148501144
