keyword,tfidf
三途河的引航人,0.21723842169617055
介绍,0.18974290950108322
钱,0.17774052684232136
死神,0.13953415897397578
操纵距离程度的能力,0.13824263198847214
三途の水先案内人,0.13824263198847214
view,0.13824263198847214
b或c,0.13259666517320365
死歌,0.11849368456154757
riverside,0.1134581341105509
在,0.10046670036203176
cost,0.09944749887990272
彼岸归航,0.09874473713462296
中,0.09273849264187548
绯想天设定文档,0.08104152436467922
komachi,0.07899578970769838
八重雾中渡,0.07899578970769838
符卡名,0.07722225684159455
三途河,0.07509665645913889
魂符,0.07272875255022733
死符,0.06828221892368251
花映塚设定文档,0.062015181766211465
onozuka,0.05924684228077379
彼岸帰航,0.05924684228077379
古雨,0.05924684228077379
死价,0.05924684228077379
东方花映塚,0.05796155790117217
查看日文原文,0.054991647193730994
price,0.0545465644126705
恨符,0.0545465644126705
意为,0.0545465644126705
小町,0.0545465644126705
10,0.052251999493669515
解释,0.0513016109821956
茨华仙邸,0.05121166419276188
漫画,0.05023335018101588
普莉兹姆利巴,0.05023335018101588
life,0.04862491461880753
level10,0.04862491461880753
技能与符卡,0.04790757913933795
东方绯想天,0.04636924632093774
铃仙,0.04636924632093774
地狱,0.04517688321454362
花映塚,0.04419888839106788
幽灵,0.043406077923711636
东方文花帖,0.04250514246085959
四季映姬,0.04250514246085959
夜摩仙那度,0.04250514246085959
有钱,0.03949789485384919
乳町,0.03949789485384919
