word,weight
2,156.61716245330473
魔理沙,116.97972585666629
1,110.60849951832955
萃香,101.12789276980045
地灵,94.65055335026322
博丽灵,93.95965665072664
level,90.6968306602755
地狱,90.37791601053745
伊吹萃,90.25220573441767
八云,89.57372550581209
雾雨,85.01531556271
感情,77.26016949861251
介绍,71.91516639882177
文花,66.85156160181256
面具,66.10792671530604
美宵,66.07725904965665
蜘蛛,66.03147699281543
醉蝶华,63.80295482841089
丸文,53.13953543014364
射命,53.05267193451038
zun,52.419935392961065
兽王,49.49149153597548
支援,48.91512798046885
thbwiki,48.75920653864022
凭依,48.21245061997275
进行,48.07623408718905
灵梦,47.95913692496846
梦想,47.414673173392664
狭美,45.91074738594657
爱丽丝,45.85577199376436
