word,weight
神子,215.43743019523907
2,176.24877751393768
幽幽,166.63999417372958
西行,117.28153573988483
幽灵,113.74989423246893
介绍,100.2411600491819
四季,93.38270496073343
神灵,91.2898861561768
亡灵,88.63898843200143
魔理沙,87.51454325216324
妖梦,80.00363640095222
冥界,79.41128294621669
1,71.90291784208736
雾雨,70.5159562226152
映姬,69.49220767460163
博丽灵,65.07397820851827
小野,62.685355721044154
魂魄,62.524479434170544
死神,59.99537328260621
之后,58.709611196952345
boss,56.990438241395516
这个,55.01166280376917
技能,54.73683928173078
阎魔,52.43023393446156
八云,51.14389078500593
自机,48.55508583062363
物部布,47.64321554042476
操纵,46.36240864598329
丰聪耳,45.408676759635554
对话,45.060046002514134
