word,weight
2,701.6159470102349
红魔,489.23375012531363
魔理沙,370.5428236424889
米莉亚,323.473352173952
帕秋莉,319.71530283386966
永夜,317.44911208890255
1,284.4053130173899
介绍,282.6508910910028
魔法,266.45101554240966
妖梦,254.22924542097388
boss,249.87052747271966
史纪,245.21201357878098
斯卡蕾特,244.58341270305465
十六,241.11330878953106
文花,237.67647939653153
雾雨,236.84750129862266
幽幽,234.48728837816446
夜咲夜,232.88187813506426
博丽灵,226.31868939435614
魂魄,218.0682393520742
射命,208.70513563667677
level,208.45162870290764
攻击,205.25153276031227
stage,200.81169279907732
丸文,200.35204228116106
八云,196.9852134028421
蓬莱,191.69324515886578
3,187.6314604124889
爱丽丝,186.8971233977878
诺蕾姬,181.0545794899283
