word,weight
一轮,226.959897368307
白莲,168.07069875457398
云居,97.6088248636325
技能,56.365279105712986
介绍,56.02212514456146
level,48.489224376623575
星莲船,46.9513233129481
凭依,44.17041105707105
入道,42.89030439688213
灵异,40.31978707640542
雲山,40.049999999907094
宗教,38.350160590002865
博丽灵,37.97850843084939
命莲寺,36.86458857370101
消费,36.83411671428921
神子,36.59153633487741
心绮楼,36.47408694074857
故事,33.234204122179435
僧侣,33.091372807569726
物部布,33.08588317764667
守护,32.945989342803976
灵力,31.95771844229808
雾雨,31.58448708455208
相手,31.555332270176002
对手,30.975775787849656
魔理沙,30.36655074599012
倾向,29.87014750456596
模式,29.865117082261158
丰聪耳,29.845098304923347
地恋,29.80356849240995
