word,weight
2,2068.8185118813713
1,1293.3839895760761
魔理沙,1064.2137356354872
宇佐见,827.2643054448616
博丽灵,823.2237018841473
雾雨,804.0455883513149
zun,789.3681172272387
堇子,765.048000661578
噩梦,705.5554935405139
boss,672.9146962208575
凭依,625.7874617512074
thbwiki,597.7916331044305
八云,554.9332753687003
古明,547.8204902374625
3,535.6833775151564
文花,533.7612063729644
故事,507.4671364869736
自机,504.13540363736155
thb,498.7147482500312
vol,498.49070241833107
地灵,477.49021254999144
早苗,465.5753214811346
求闻,464.16658943222217
口授,455.19087146653254
之后,447.20299721248864
神灵,445.60907823138757
对话,432.16419357586886
针妙,425.4900890117744
project,420.8849620422554
风神,418.3626732766025
