word,weight
早苗,233.06587934861875
铃仙,133.82918457165758
奇迹,80.84616979259238
优昙华院,72.46907750320284
因幡,72.23493913853711
魔理沙,66.1350200505559
东风,65.58053166386523
介绍,61.31123688958185
2,58.885083700669455
打败,51.71656383049515
奈子,50.98602355803039
雾雨,47.37158205449605
boss,44.32215461449481
疯狂,42.52607144024065
之后,41.69302202983758
访子,40.398029276819535
博丽灵,40.02025147958453
狂气,37.00654481090753
兔子,36.246209955551244
地上,34.861724464579154
天则,34.860863362719066
非想,34.83127620296574
level,33.93002201004251
永琳,33.65869008034389
stage,32.54861553754808
守矢,30.683505039222855
巫女,30.167258590783444
敌人,29.67960999598428
于是,29.64219079612742
波长,29.04091142225603
