word,weight
2,189.63234245183287
1,142.62306442463952
魔理沙,115.366333379683
女仆,101.17582236837663
雾雨,92.98236772561322
boss,86.58650140160802
地狱,85.65676911811943
文花,85.48748005811257
尸体,84.07336740878766
博丽灵,77.52873901147788
白泽,76.50441715682912
thbwiki,73.8293192378116
慧音,72.78215958962947
地灵,72.45219142775878
zun,68.09108495038979
自机,68.04924775011612
level,67.04646515689986
形兽,64.22256913652525
vol,61.477991498382686
thb,61.466778960198575
卡牌,61.44937418673269
龙洞,59.31660860063962
永夜,58.95268378824423
咲夜,58.01997018013605
3,54.80765863523629
ds,54.234687084746234
新闻,52.151101898933625
时间,51.929390068573255
project,51.823743223651725
求闻,51.277997109544046
