word,weight
河童,143.59337021981622
荷取,85.26382871918493
河城,43.566644256708635
美天,42.33784303641138
圣域,20.20101973132695
道具,15.385788135285425
猿猴,14.04999999943132
黄瓜,13.015809640124294
水符,12.759394787397754
操纵,12.157155773805403
friend,12.04999999979066
芥川,11.990168797140651
candid,11.96085721170815
技术,11.059898719882508
孙悟空,11.049999999377976
河童们,10.847601720753461
尼西,10.049999999789044
子玉,10.049999999789044
三平,9.049999999787957
水怪,9.049999999787957
猿神,9.04999999941831
宗教,9.00997505609455
摆摊,8.954545067446158
灵梦,8.143422859935045
龙之介,7.988883801091871
机械,7.792300655138402
风神,7.359457057626095
尼斯湖,7.0499999997848075
瀑符,7.0499999997848075
光学,6.958194299053266
