word,weight
衣玖,56.015847956958176
羽衣,52.04228365792926
永江衣,32.811671643338705
龙宫,32.049999999999116
使者,22.915208222730445
地震,22.050000000163802
介绍,20.4893276458885
level,15.837826584018911
龙神,15.043022048453924
天女,14.050000000030062
云海,14.036989050766648
绯想天,13.547441748273322
落雷,11.985302381896181
天子,11.979847201143771
噩梦,11.175594187429926
龙鱼,11.04999999994622
幽幽,10.297677356873999
電流,10.049999999945996
天界,9.925174626601335
cost,9.744872396716
打败,9.39956715652586
符卡名,9.055842214919455
绯色,9.050000000062568
游泳,9.007998864969428
云层,8.970049901500817
攻击,8.938832687750129
居天子,8.578456461525903
那名,8.576771932952164
丸文,8.371474397517332
射命,8.304254763291079
