word,weight
凭依,88.41827819474108
紫苑,79.96122116741101
石油,61.54936279939227
依神,55.706450835681885
血枪,49.236254361812655
神女,48.799437235454995
刚欲,46.57967544208119
饕餮,44.13769036774244
地狱,40.907894585538756
异闻,39.45790322054829
尤魔,38.37742736466695
血池,27.987945531753784
天火,27.46304450326192
1,25.793366982799835
不幸,23.581091657199952
同盟,22.095512479330264
贫穷,22.010846508799276
完全,21.758195695816337
2,21.066235204044307
女苑,21.006215443384747
旧血池,20.946700243980942
模式,20.24631668683733
贪欲,19.15847895964508
故事,18.752622347416246
财产,18.049989497593906
博丽灵,17.004003320436432
八云,16.484432012139187
人血枪,16.335468359483375
thbwiki,16.23810799607978
布拉,16.00349015346855
