word,weight
小伞,101.50793489002305
村纱,69.18032508680433
水蜜,36.492154630510136
星莲船,34.026528448699864
多多,33.41262788409467
唐伞,31.70526790329396
幽灵,26.817371194291315
level,23.941375078292452
事故,22.787690979004033
吓人,21.83230503399541
水难,20.04999999991677
白莲,19.898941323133133
异闻,19.74956144864837
船长,18.039976124326902
命莲寺,17.371051690800744
刚欲,16.12954572635475
沉没,16.049999999916295
保姆,16.049999999860038
付丧神,15.67246618082716
僧侣,14.781832142574627
引发,14.3890599499446
舀子,14.049999999915954
地狱,12.148706159888487
彩虹,11.866099621004443
惊吓,11.791776382733321
遗忘,11.5685066332371
伞符,10.049999999857604
封印,9.183374960422698
魔界,8.724962636971258
murasa,8.04999999991385
