word,weight
1,925.6647096072927
2,911.1550482735767
thbwiki,522.4019016437032
普莉兹姆利巴,495.4134402015204
文花,447.97536408181463
thb,436.6979186828005
vol,436.18319329996103
zun,420.4299985962327
求闻,401.5197514833447
魔理沙,379.0163130461873
project,362.479598940212
only,351.04590390008343
cd,349.3364518753878
莉莉,344.2525357233741
3,331.2579338174362
史纪,321.30103819768476
花映,316.1627244760408
神签,296.94757945497037
boss,295.82892976022737
书籍,289.9128820799266
新作,286.1595098501502
原曲,271.78095203895873
雾雨,269.19880068962607
幻存,260.9832647188564
类型,249.59333244670435
博丽灵,246.02137053291017
出场,243.82415587649558
出版物,235.1832053755497
资料,233.92647753494722
爱丽丝,227.8274130258959
