round,category,id,geo_key,geo_name,all,sum,male,female,per,maleper,femaleper
8,chara,1,01,北京,574,175,147,28,30.49,31.21,28.57
8,chara,1,02,上海,608,179,145,34,29.44,29.71,33.01
8,chara,1,03,广东,1090,352,294,58,32.29,32.96,31.02
8,chara,1,04,天津,190,66,56,10,34.74,34.57,43.48
8,chara,1,05,重庆,210,75,64,11,35.71,38.55,28.21
8,chara,1,06,四川,423,140,113,27,33.1,31.56,44.26
8,chara,1,07,江苏,713,210,175,34,29.45,28.78,33.33
8,chara,1,08,浙江,534,153,130,23,28.65,28.82,28.4
8,chara,1,09,湖北,382,129,101,28,33.77,31.96,44.44
8,chara,1,10,湖南,232,93,70,23,40.09,37.63,53.49
8,chara,1,11,山东,408,123,107,16,30.15,30.92,26.23
8,chara,1,12,山西,101,36,35,1,35.64,37.23,16.67
8,chara,1,13,河北,173,57,47,10,32.95,31.33,45.45
8,chara,1,14,河南,250,82,75,7,32.8,33.48,28
8,chara,1,15,黑龙江,148,56,46,10,37.84,36.8,43.48
8,chara,1,16,吉林,107,35,34,1,32.71,36.17,7.69
8,chara,1,17,辽宁,228,61,49,12,26.75,25.93,31.58
8,chara,1,18,陕西,177,59,47,12,33.33,29.94,60
8,chara,1,19,内蒙古,64,20,20,,31.25,36.36,
8,chara,1,20,安徽,240,79,68,11,32.92,32.54,35.48
8,chara,1,21,福建,353,83,67,16,23.51,22.41,29.63
8,chara,1,22,江西,196,77,58,19,39.29,36.71,50
8,chara,1,23,广西,285,95,75,20,33.33,33.48,33.33
8,chara,1,24,海南,56,19,16,3,33.93,38.1,23.08
8,chara,1,25,贵州,106,37,31,6,34.91,36.05,30
8,chara,1,26,云南,81,28,24,4,34.57,33.8,40
8,chara,1,27,甘肃,38,15,14,1,39.47,43.75,16.67
8,chara,1,28,宁夏,5,5,3,2,100,100,100
8,chara,1,29,青海,5,3,3,,60,75,
8,chara,1,30,新疆,37,15,13,2,40.54,41.94,33.33
8,chara,1,31,西藏,3,1,,,33.33,,
8,chara,1,32,香港,51,13,11,2,25.49,28.21,16.67
8,chara,1,33,澳门,8,1,1,,12.5,16.67,
8,chara,1,34,台湾,88,28,23,5,31.82,32.39,29.41
8,chara,2,01,北京,574,161,132,29,28.05,28.03,29.59
8,chara,2,02,上海,608,156,133,23,25.66,27.25,22.33
8,chara,2,03,广东,1090,298,247,51,27.34,27.69,27.27
8,chara,2,04,天津,190,58,51,7,30.53,31.48,30.43
8,chara,2,05,重庆,210,59,43,16,28.1,25.9,41.03
8,chara,2,06,四川,423,116,101,15,27.42,28.21,24.59
8,chara,2,07,江苏,713,172,141,31,24.12,23.19,30.39
8,chara,2,08,浙江,534,153,127,26,28.65,28.16,32.1
8,chara,2,09,湖北,382,105,81,24,27.49,25.63,38.1
8,chara,2,10,湖南,232,74,49,24,31.9,26.34,55.81
8,chara,2,11,山东,408,104,88,16,25.49,25.43,26.23
8,chara,2,12,山西,101,36,34,2,35.64,36.17,33.33
8,chara,2,13,河北,173,39,32,7,22.54,21.33,31.82
8,chara,2,14,河南,250,62,55,7,24.8,24.55,28
8,chara,2,15,黑龙江,148,53,45,8,35.81,36,34.78
8,chara,2,16,吉林,107,26,24,2,24.3,25.53,15.38
8,chara,2,17,辽宁,228,67,50,17,29.39,26.46,44.74
8,chara,2,18,陕西,177,49,41,8,27.68,26.11,40
8,chara,2,19,内蒙古,64,16,16,,25,29.09,
8,chara,2,20,安徽,240,67,56,11,27.92,26.79,35.48
8,chara,2,21,福建,353,93,77,16,26.35,25.75,29.63
