round,category,id,group,question_index,question_id,question,multi,option_index,option,all_count,male_count,female_count,sum_count,all_percent,male_percent,female_percent,total_all,total_male,total_female,total_diff
8,chara,1,,0,3,您正式接触东方Project多久,0,0,不到一个月,19,16,3,19,0.23,0.23,0.22,8355,7010,1343,2
8,chara,1,,0,3,您正式接触东方Project多久,0,1,半年以内,133,105,28,133,1.59,1.5,2.08,8355,7010,1343,2
8,chara,1,,0,3,您正式接触东方Project多久,0,2,半年到一年（2018年下半年或之后）,395,348,46,394,4.73,4.96,3.43,8355,7010,1343,2
8,chara,1,,0,3,您正式接触东方Project多久,0,3,一年到三年（2016年或之后）,978,840,138,978,11.71,11.98,10.28,8355,7010,1343,2
8,chara,1,,0,3,您正式接触东方Project多久,0,4,三年到五年（2014年或之后）,627,520,107,627,7.5,7.42,7.97,8355,7010,1343,2
8,chara,1,,0,3,您正式接触东方Project多久,0,5,五年到七年（2012年或之后）,362,281,81,362,4.33,4.01,6.03,8355,7010,1343,2
8,chara,1,,0,3,您正式接触东方Project多久,0,6,七年到十年（2009年或之后）,131,92,39,131,1.57,1.31,2.9,8355,7010,1343,2
8,chara,1,,0,3,您正式接触东方Project多久,0,7,十年以上,29,20,9,29,0.35,0.29,0.67,8355,7010,1343,2
8,chara,1,,1,5,原作和二次同人您更热衷于,0,0,原作,388,304,83,387,4.64,4.34,6.18,8356,7011,1343,2
8,chara,1,,1,5,原作和二次同人您更热衷于,0,1,二次同人,177,153,24,177,2.12,2.18,1.79,8356,7011,1343,2
8,chara,1,,1,5,原作和二次同人您更热衷于,0,2,都很喜欢,2096,1755,341,2096,25.08,25.03,25.39,8356,7011,1343,2
8,chara,1,,1,5,原作和二次同人您更热衷于,0,3,都没兴趣,13,10,3,13,0.16,0.14,0.22,8356,7011,1343,2
8,chara,1,,2,1,您更喜欢官方游戏中的哪一类,0,0,STG（射击类）,1121,895,226,1121,13.41,12.76,16.82,8361,7015,1344,2
8,chara,1,,2,1,您更喜欢官方游戏中的哪一类,0,1,FTG（格斗类）,389,345,44,389,4.65,4.92,3.27,8361,7015,1344,2
8,chara,1,,2,1,您更喜欢官方游戏中的哪一类,0,2,都喜欢,1051,889,161,1050,12.57,12.67,11.98,8361,7015,1344,2
8,chara,1,,2,1,您更喜欢官方游戏中的哪一类,0,3,对官方游戏不感兴趣，也不会去玩,114,94,20,114,1.36,1.34,1.49,8361,7015,1344,2
8,chara,1,,3,1,您是否玩过旧五作,0,0,玩过,717,570,146,716,8.93,8.46,11.34,8030,6740,1288,2
8,chara,1,,3,1,您是否玩过旧五作,0,1,并未玩过,1823,1541,282,1823,22.7,22.86,21.89,8030,6740,1288,2
8,chara,1,,3,1,您是否玩过旧五作,0,2,不知道旧五作是什么,20,18,2,20,0.25,0.27,0.16,8030,6740,1288,2
8,chara,1,,4,3,您最喜欢东方原作的哪方面,1,0,游戏本身,1639,1354,285,1639,19.67,19.36,21.27,8333,6993,1340,0
8,chara,1,,4,3,您最喜欢东方原作的哪方面,1,1,音乐曲目,2516,2093,423,2516,30.19,29.93,31.57,8333,6993,1340,0
8,chara,1,,4,3,您最喜欢东方原作的哪方面,1,2,人物设定,2437,2012,425,2437,29.25,28.77,31.72,8333,6993,1340,0
8,chara,1,,4,3,您最喜欢东方原作的哪方面,1,3,故事剧情,2018,1652,366,2018,24.22,23.62,27.31,8333,6993,1340,0
8,chara,1,,4,3,您最喜欢东方原作的哪方面,1,4,对原作完全不感兴趣,6,5,1,6,0.07,0.07,0.07,8333,6993,1340,0
8,chara,1,,5,2,您关注哪些近期连载的官方连载作品,1,0,东方茨歌仙（双月刊）,1557,1276,280,1556,18.66,18.23,20.88,8343,7000,1341,2
8,chara,1,,5,2,您关注哪些近期连载的官方连载作品,1,1,新东方三月精（季刊）,1004,845,159,1004,12.03,12.07,11.86,8343,7000,1341,2
8,chara,1,,5,2,您关注哪些近期连载的官方连载作品,1,2,新东方香霖堂（半年刊）,692,563,128,691,8.29,8.04,9.55,8343,7000,1341,2
8,chara,1,,5,2,您关注哪些近期连载的官方连载作品,1,3,都不关注,745,637,108,745,8.93,9.1,8.05,8343,7000,1341,2
8,chara,1,,6,0,对二次同人是否有兴趣,0,0,非常热衷,1666,1351,315,1666,19.93,19.26,23.44,8360,7014,1344,2
8,chara,1,,6,0,对二次同人是否有兴趣,0,1,有些兴趣,975,847,127,974,11.66,12.08,9.45,8360,7014,1344,2
8,chara,1,,6,0,对二次同人是否有兴趣,0,2,完全不感兴趣,34,25,9,34,0.41,0.36,0.67,8360,7014,1344,2
8,chara,1,,7,1,在二次同人中您最关注,1,0,音乐,2248,1881,366,2247,27.33,27.24,27.77,8226,6906,1318,2
