id,name,group,by,info,v0,v1,v2,v3,v4,v5,v6
TH02,东方封魔录,PC-98,TH02,<a href='./?m=info&type=work&id=35' target='_blank'>点击查看详情</a>,4131 (88.63%),301 (6.46%),152 (3.26%),34 (0.73%),13 (0.28%),30 (0.64%),-
TH03,东方梦时空,PC-98,TH03,<a href='./?m=info&type=work&id=36' target='_blank'>点击查看详情</a>,4034 (86.55%),356 (7.64%),205 (4.4%),38 (0.82%),28 (0.6%),-,-
TH04,东方幻想乡,PC-98,TH04,<a href='./?m=info&type=work&id=33' target='_blank'>点击查看详情</a>,3930 (84.32%),355 (7.62%),246 (5.28%),56 (1.2%),15 (0.32%),59 (1.27%),-
TH05,东方怪绮谈,PC-98,TH05,<a href='./?m=info&type=work&id=34' target='_blank'>点击查看详情</a>,4003 (85.88%),345 (7.4%),195 (4.18%),39 (0.84%),15 (0.32%),64 (1.37%),-
TH06,东方红魔乡,Win(STG),TH06,<a href='./?m=info&type=work&id=6' target='_blank'>点击查看详情</a>,1201 (25.77%),1723 (36.97%),1020 (21.88%),220 (4.72%),71 (1.52%),426 (9.14%),-
TH07,东方妖妖梦,Win(STG),TH07,<a href='./?m=info&type=work&id=7' target='_blank'>点击查看详情</a>,1289 (27.66%),1415 (30.36%),1085 (23.28%),208 (4.46%),86 (1.85%),263 (5.64%),315 (6.76%)
TH08,东方永夜抄,Win(STG),TH08,<a href='./?m=info&type=work&id=9' target='_blank'>点击查看详情</a>,696 (14.93%),1416 (30.38%),1329 (28.51%),342 (7.34%),111 (2.38%),767 (16.46%),-
TH09,东方花映塚,Win(STG),TH09,<a href='./?m=info&type=work&id=10' target='_blank'>点击查看详情</a>,1887 (40.48%),1321 (28.34%),919 (19.72%),211 (4.53%),116 (2.49%),207 (4.44%),-
TH10,东方风神录,Win(STG),TH10,<a href='./?m=info&type=work&id=12' target='_blank'>点击查看详情</a>,1406 (30.17%),1227 (26.32%),1083 (23.24%),222 (4.76%),91 (1.95%),632 (13.56%),-
TH11,东方地灵殿,Win(STG),TH11,<a href='./?m=info&type=work&id=14' target='_blank'>点击查看详情</a>,1813 (38.9%),1421 (30.49%),806 (17.29%),160 (3.43%),59 (1.27%),402 (8.62%),-
TH12,东方星莲船,Win(STG),TH12,<a href='./?m=info&type=work&id=15' target='_blank'>点击查看详情</a>,2336 (50.12%),1218 (26.13%),636 (13.65%),111 (2.38%),46 (0.99%),314 (6.74%),-
TH12.8,妖精大战争,Win(STG),TH12.8,<a href='./?m=info&type=work&id=18' target='_blank'>点击查看详情</a>,3180 (68.23%),847 (18.17%),414 (8.88%),78 (1.67%),28 (0.6%),114 (2.45%),-
TH13,东方神灵庙,Win(STG),TH13,<a href='./?m=info&type=work&id=19' target='_blank'>点击查看详情</a>,1853 (39.76%),1184 (25.4%),919 (19.72%),208 (4.46%),71 (1.52%),426 (9.14%),-
TH14,东方辉针城,Win(STG),TH14,<a href='./?m=info&type=work&id=21' target='_blank'>点击查看详情</a>,1832 (39.3%),1216 (26.09%),902 (19.35%),159 (3.41%),80 (1.72%),472 (10.13%),-
