id,name,group,by,info,v0,v1,v2,v3,v4,v5
TH07.5,东方萃梦想,Win(FTG),TH07.5,<a href='./?m=info&type=work&id=8' target='_blank'>点击查看详情</a>,2669 (57.26%),883 (18.94%),650 (13.95%),223 (4.78%),236 (5.06%),
TH10.5,东方绯想天,Win(FTG),TH10.5,<a href='./?m=info&type=work&id=13' target='_blank'>点击查看详情</a>,1908 (40.94%),990 (21.24%),886 (19.01%),327 (7.02%),550 (11.8%),0 (0%)
TH12.3,东方非想天则,Win(FTG),TH12.3,<a href='./?m=info&type=work&id=16' target='_blank'>点击查看详情</a>,1873 (40.18%),996 (21.37%),882 (18.92%),327 (7.02%),583 (12.51%),
TH13.5,东方心绮楼,Win(FTG),TH13.5,<a href='./?m=info&type=work&id=20' target='_blank'>点击查看详情</a>,1975 (42.37%),924 (19.82%),949 (20.36%),346 (7.42%),467 (10.02%),
TH14.5,东方深秘录,Win(FTG),TH14.5,<a href='./?m=info&type=work&id=23' target='_blank'>点击查看详情</a>,2207 (47.35%),780 (16.73%),852 (18.28%),302 (6.48%),520 (11.16%),
