id,name,jpname,group,weight,order,vote1,vote2,vote3,ratio1,vratio1,ratio2,vratio2,ratio3,vratio3,total,info,chara,charaList,charaVote,charaMid,charaArr
1,东方灵异传,東方霊異伝,PC-98游戏（STG）,84,game010,12,16,16,27.27%,0.19%,36.36%,0.26%,36.36%,0.26%,44,<a href='./?m=info&type=work&id=1' target='_blank'>点击查看详情</a>,7,神玉，魅魔，菊理，矜羯罗，幽玄魔眼，依莉斯，萨丽爱尔,197,8,28
2,东方封魔录,東方封魔録,PC-98游戏（STG）,24,game020,4,3,6,30.77%,0.06%,23.08%,0.05%,46.15%,0.1%,13,<a href='./?m=info&type=work&id=2' target='_blank'>点击查看详情</a>,6,魅魔，玄爷，里香，明罗，Flower～战车，邪眼西格玛,176,15,29
3,东方梦时空,東方夢時空,PC-98游戏（STG）,156,game030,27,26,23,35.53%,0.44%,34.21%,0.42%,30.26%,0.37%,76,<a href='./?m=info&type=work&id=3' target='_blank'>点击查看详情</a>,12,魅魔，玄爷，爱莲，小兔姬，卡娜·安娜贝拉尔，朝仓理香子，北白河千百合，冈崎梦美，咪咪号，留琴，玛○奇，苏格拉底,474,15,40
4,东方幻想乡,東方幻想郷,PC-98游戏（STG）,138,game040,32,17,8,56.14%,0.52%,29.82%,0.28%,14.04%,0.13%,57,<a href='./?m=info&type=work&id=4' target='_blank'>点击查看详情</a>,7,风见幽香，玄爷，奥莲姬，胡桃，艾丽，梦月，幻月,777,15,111
5,东方怪绮谈,東方怪綺談,PC-98游戏（STG）,102,game050,14,23,14,27.45%,0.23%,45.1%,0.37%,27.45%,0.23%,51,<a href='./?m=info&type=work&id=5' target='_blank'>点击查看详情</a>,9,爱丽丝·玛格特洛依德，魅魔，玄爷，萨拉，露易兹，雪，舞，梦子，神绮,1735,16,193
6,东方红魔乡,東方紅魔郷,Windows游戏（STG）,2272,game060,475,321,205,47.45%,7.7%,32.07%,5.2%,20.48%,3.32%,1001,<a href='./?m=info&type=work&id=6' target='_blank'>点击查看详情</a>,10,露米娅，大妖精，琪露诺，红美铃，小恶魔，帕秋莉·诺蕾姬，十六夜咲夜，蕾米莉亚·斯卡蕾特，芙兰朵露·斯卡蕾特，冴月麟,7821,873,782
7,东方妖妖梦,東方妖々夢,Windows游戏（STG）,2475,game070,521,352,208,48.2%,8.44%,32.56%,5.7%,19.24%,3.37%,1081,<a href='./?m=info&type=work&id=7' target='_blank'>点击查看详情</a>,15,琪露诺，十六夜咲夜，蕾蒂·霍瓦特洛克，橙，爱丽丝·玛格特洛依德，莉莉白，露娜萨·普莉兹姆利巴，梅露兰·普莉兹姆利巴，莉莉卡·普莉兹姆利巴，魂魄妖梦，西行寺幽幽子，八云蓝，八云紫，魂魄妖忌，蕾拉·普莉兹姆利巴,8752,212,583
8,东方萃梦想,東方萃夢想,Windows游戏（FTG）,143,game075,17,31,30,21.79%,0.28%,39.74%,0.5%,38.46%,0.49%,78,<a href='./?m=info&type=work&id=8' target='_blank'>点击查看详情</a>,11,红美铃，帕秋莉·诺蕾姬，十六夜咲夜，蕾米莉亚·斯卡蕾特，橙，爱丽丝·玛格特洛依德，魂魄妖梦，西行寺幽幽子，八云蓝，八云紫，伊吹萃香,11205,1326,1019
9,东方永夜抄,東方永夜抄,Windows游戏（STG）,4870,game080,1045,667,401,49.46%,16.93%,31.57%,10.81%,18.98%,6.5%,2113,<a href='./?m=info&type=work&id=9' target='_blank'>点击查看详情</a>,17,帕秋莉·诺蕾姬，十六夜咲夜，蕾米莉亚·斯卡蕾特，橙，爱丽丝·玛格特洛依德，魂魄妖梦，西行寺幽幽子，八云蓝，八云紫，莉格露·奈特巴格，米斯蒂娅·萝蕾拉，上白泽慧音，因幡天为（因幡帝），铃仙·优昙华院·因幡，八意永琳，蓬莱山辉夜，藤原妹红,13955,873,821
10,东方花映塚,東方花映塚,Windows游戏（STG）,568,game090,96,100,80,34.78%,1.56%,36.23%,1.62%,28.99%,1.3%,276,<a href='./?m=info&type=work&id=10' target='_blank'>点击查看详情</a>,19,琪露诺，帕秋莉·诺蕾姬，十六夜咲夜，蕾米莉亚·斯卡蕾特，莉莉白，露娜萨·普莉兹姆利巴，梅露兰·普莉兹姆利巴，莉莉卡·普莉兹姆利巴，魂魄妖梦，西行寺幽幽子，米斯蒂娅·萝蕾拉，因幡天为（因幡帝），铃仙·优昙华院·因幡，八意永琳，射命丸文，梅蒂欣·梅兰可莉，风见幽香，小野塚小町，四季映姬·夜摩仙那度,12375,609,651
