id,name,jpname,group,weight,info,order,vote1,vote2,vote3,ratio1,vratio1,ratio2,vratio2,ratio3,vratio3,total,vratioa,male,female,hmratio,hfratio,hmaratio,hfaratio
41,暗黑能乐集心绮楼‎,暗黒能楽集·心綺楼,音乐CD,39,<a href='./?m=info&type=work&id=41' target='_blank'>点击查看详情</a>,ost040,1,11,14,3.85%,0.02%,42.31%,0.18%,53.85%,0.23%,26,0.42%,23,3,88.46%,11.54%,0.33%,0.22%
42,深秘乐曲集‎,深秘的楽曲集,音乐CD,9,<a href='./?m=info&type=work&id=42' target='_blank'>点击查看详情</a>,ost050,2,1,1,50%,0.03%,25%,0.02%,25%,0.02%,4,0.06%,3,1,75%,25%,0.04%,0.07%
43,东方香霖堂,東方香霖堂,出版物,284,<a href='./?m=info&type=work&id=43' target='_blank'>点击查看详情</a>,novel001,53,30,65,35.81%,0.86%,20.27%,0.49%,43.92%,1.05%,148,2.4%,131,17,88.51%,11.49%,1.87%,1.26%
44,东方三月精,東方三月精,出版物,356,<a href='./?m=info&type=work&id=44' target='_blank'>点击查看详情</a>,novel002,49,61,87,24.87%,0.79%,30.96%,0.99%,44.16%,1.41%,197,3.19%,181,16,91.88%,8.12%,2.58%,1.19%
45,东方儚月抄,東方儚月抄,出版物,237,<a href='./?m=info&type=work&id=45' target='_blank'>点击查看详情</a>,novel006,30,44,59,22.56%,0.49%,33.08%,0.71%,44.36%,0.96%,133,2.16%,115,18,86.47%,13.53%,1.64%,1.34%
46,东方茨歌仙,東方茨歌仙,出版物,770,<a href='./?m=info&type=work&id=46' target='_blank'>点击查看详情</a>,novel008,124,125,148,31.23%,2.01%,31.49%,2.03%,37.28%,2.4%,397,6.43%,359,38,90.43%,9.57%,5.12%,2.83%
47,东方铃奈庵,東方鈴奈庵,出版物,801,<a href='./?m=info&type=work&id=47' target='_blank'>点击查看详情</a>,novel010,127,125,170,30.09%,2.06%,29.62%,2.03%,40.28%,2.75%,422,6.84%,350,72,82.94%,17.06%,4.99%,5.36%
48,东方求闻史纪,東方求聞史紀,出版物,344,<a href='./?m=info&type=work&id=48' target='_blank'>点击查看详情</a>,novel005,47,61,81,24.87%,0.76%,32.28%,0.99%,42.86%,1.31%,189,3.06%,169,20,89.42%,10.58%,2.41%,1.49%
49,东方求闻口授,東方求聞口授,出版物,136,<a href='./?m=info&type=work&id=49' target='_blank'>点击查看详情</a>,novel009,11,35,33,13.92%,0.18%,44.3%,0.57%,41.77%,0.53%,79,1.28%,72,7,91.14%,8.86%,1.03%,0.52%
50,The Grimoire of Marisa,The Grimoire of Marisa,出版物,50,<a href='./?m=info&type=work&id=50' target='_blank'>点击查看详情</a>,novel007,4,9,20,12.12%,0.06%,27.27%,0.15%,60.61%,0.32%,33,0.53%,27,6,81.82%,18.18%,0.38%,0.45%
51,东方文花帖,東方文花帖,出版物,41,<a href='./?m=info&type=work&id=51' target='_blank'>点击查看详情</a>,novel003,6,5,13,25%,0.1%,20.83%,0.08%,54.17%,0.21%,24,0.39%,21,3,87.5%,12.5%,0.3%,0.22%
52,东方紫香花,東方紫香花,出版物,12,<a href='./?m=info&type=work&id=52' target='_blank'>点击查看详情</a>,novel004,1,3,3,14.29%,0.02%,42.86%,0.05%,42.86%,0.05%,7,0.11%,6,1,85.71%,14.29%,0.09%,0.07%
53,东方外来韦编,東方外來韋編,出版物,43,<a href='./?m=info&type=work&id=53' target='_blank'>点击查看详情</a>,novel011,2,9,19,6.67%,0.03%,30%,0.15%,63.33%,0.31%,30,0.49%,25,5,83.33%,16.67%,0.36%,0.37%
54,燕石博物志,燕石博物誌,音乐CD,89,<a href='./?m=info&type=work&id=54' target='_blank'>点击查看详情</a>,music080,12,17,19,25%,0.19%,35.42%,0.28%,39.58%,0.31%,48,0.78%,40,8,83.33%,16.67%,0.57%,0.6%
55,旧约酒吧,旧約酒場,音乐CD,87,<a href='./?m=info&type=work&id=55' target='_blank'>点击查看详情</a>,music090,10,14,29,18.87%,0.16%,26.42%,0.23%,54.72%,0.47%,53,0.86%,37,16,69.81%,30.19%,0.53%,1.19%
56,深秘乐曲集·补,深秘的楽曲集·補,音乐CD,5,<a href='./?m=info&type=work&id=56' target='_blank'>点击查看详情</a>,ost060,0,2,1,0%,0%,66.67%,0.03%,33.33%,0.02%,3,0.05%,2,1,66.67%,33.33%,0.03%,0.07%
57,东方深秘录PS4版,東方深秘録PS4,PS4游戏,20,<a href='./?m=info&type=work&id=57' target='_blank'>点击查看详情</a>,game145ps4,3,3,5,27.27%,0.05%,27.27%,0.05%,45.45%,0.08%,11,0.18%,8,3,72.73%,27.27%,0.11%,0.22%
58,东方凭依华,東方憑依華,Windows游戏（FTG）,1229,<a href='./?m=info&type=work&id=58' target='_blank'>点击查看详情</a>,game155,200,201,227,31.85%,3.24%,32.01%,3.26%,36.15%,3.68%,628,10.18%,544,83,86.62%,13.22%,7.75%,6.18%
59,东方天空璋,東方天空璋,Windows游戏（STG）,657,<a href='./?m=info&type=work&id=59' target='_blank'>点击查看详情</a>,game160,91,127,130,26.15%,1.47%,36.49%,2.06%,37.36%,2.11%,348,5.64%,290,58,83.33%,16.67%,4.13%,4.32%
60,东方文果真报,東方文果真報,出版物,101,<a href='./?m=info&type=work&id=60' target='_blank'>点击查看详情</a>,novel012,7,18,44,10.14%,0.11%,26.09%,0.29%,63.77%,0.71%,69,1.12%,61,8,88.41%,11.59%,0.87%,0.6%
61,完全凭依唱片名录,完全憑依ディスコグラフィ,音乐CD,23,<a href='./?m=info&type=work&id=61' target='_blank'>点击查看详情</a>,ost070,2,5,7,14.29%,0.03%,35.71%,0.08%,50%,0.11%,14,0.23%,11,3,78.57%,21.43%,0.16%,0.22%
62,秘封噩梦日记,秘封ナイトメアダイアリー,Windows游戏（STG）,50,<a href='./?m=info&type=work&id=62' target='_blank'>点击查看详情</a>,game165,6,7,18,19.35%,0.1%,22.58%,0.11%,58.06%,0.29%,31,0.5%,24,7,77.42%,22.58%,0.34%,0.52%
63,The Grimoire of Usami,The Grimoire of Usami,出版物,23,<a href='./?m=info&type=work&id=63' target='_blank'>点击查看详情</a>,novel013,2,5,7,14.29%,0.03%,35.71%,0.08%,50%,0.11%,14,0.23%,11,3,78.57%,21.43%,0.16%,0.22%
64,东方鬼形兽,東方鬼形獣,Windows游戏（STG）,1289,<a href='./?m=info&type=work&id=64' target='_blank'>点击查看详情</a>,game170,169,249,284,24.07%,2.74%,35.47%,4.04%,40.46%,4.6%,702,11.38%,542,160,77.21%,22.79%,7.73%,11.9%
