name,vote,first,votes,ratio,sratio,vratio,male,female,mratio,fratio,hmratio,hfratio
总数,11674,-,-,-,-,-,9955,1719,85.27%,14.73%,-,-
角色,11351,11004,73437,96.94%,80.87% (6 / 8),97.23%,9676,1675,85.24%,14.76%,97.2%,97.44%
音乐,9201,8759,82416,95.2%,74.64% (9 / 12),78.82%,7857,1344,85.39%,14.61%,78.93%,78.18%
作品,8204,-,24612,-,-,70.28%,6987,1217,85.17%,14.83%,70.19%,70.8%
组合,8281,7781,29746,93.96%,71.84% (4 / 5),70.94%,6968,1313,84.14%,15.86%,69.99%,76.38%
游戏,5912,-,5912,-,-,50.64%,5157,755,87.23%,12.77%,51.8%,43.92%
