round,category,id,title,primary_heading,html_path,parsed_path,table_count,status
2,chara,39,,四季映姬·亚玛萨那度,data_raw/cn_official_legacy/round_02/raw/details/chara/39.html,data_raw/cn_official_legacy/round_02/processed/details/chara/39.json,9,ok
2,chara,40,,秋静叶,data_raw/cn_official_legacy/round_02/raw/details/chara/40.html,data_raw/cn_official_legacy/round_02/processed/details/chara/40.json,9,ok
2,chara,41,,秋穰子,data_raw/cn_official_legacy/round_02/raw/details/chara/41.html,data_raw/cn_official_legacy/round_02/processed/details/chara/41.json,9,ok
2,chara,42,,键山雏,data_raw/cn_official_legacy/round_02/raw/details/chara/42.html,data_raw/cn_official_legacy/round_02/processed/details/chara/42.json,9,ok
2,chara,43,,河城荷取,data_raw/cn_official_legacy/round_02/raw/details/chara/43.html,data_raw/cn_official_legacy/round_02/processed/details/chara/43.json,9,ok
2,chara,44,,犬走椛,data_raw/cn_official_legacy/round_02/raw/details/chara/44.html,data_raw/cn_official_legacy/round_02/processed/details/chara/44.json,9,ok
2,chara,45,,东风谷早苗,data_raw/cn_official_legacy/round_02/raw/details/chara/45.html,data_raw/cn_official_legacy/round_02/processed/details/chara/45.json,9,ok
2,chara,46,,八坂神奈子,data_raw/cn_official_legacy/round_02/raw/details/chara/46.html,data_raw/cn_official_legacy/round_02/processed/details/chara/46.json,9,ok
2,chara,47,,洩矢诹访子,data_raw/cn_official_legacy/round_02/raw/details/chara/47.html,data_raw/cn_official_legacy/round_02/processed/details/chara/47.json,9,ok
2,chara,48,,永江衣玖,data_raw/cn_official_legacy/round_02/raw/details/chara/48.html,data_raw/cn_official_legacy/round_02/processed/details/chara/48.json,9,ok
2,chara,49,,比那名居天子,data_raw/cn_official_legacy/round_02/raw/details/chara/49.html,data_raw/cn_official_legacy/round_02/processed/details/chara/49.json,9,ok
2,chara,50,,琪斯美,data_raw/cn_official_legacy/round_02/raw/details/chara/50.html,data_raw/cn_official_legacy/round_02/processed/details/chara/50.json,9,ok
2,chara,51,,黑谷山女,data_raw/cn_official_legacy/round_02/raw/details/chara/51.html,data_raw/cn_official_legacy/round_02/processed/details/chara/51.json,9,ok
2,chara,52,,水桥帕露西,data_raw/cn_official_legacy/round_02/raw/details/chara/52.html,data_raw/cn_official_legacy/round_02/processed/details/chara/52.json,9,ok
2,chara,53,,星熊勇仪,data_raw/cn_official_legacy/round_02/raw/details/chara/53.html,data_raw/cn_official_legacy/round_02/processed/details/chara/53.json,9,ok
2,chara,54,,古明地觉,data_raw/cn_official_legacy/round_02/raw/details/chara/54.html,data_raw/cn_official_legacy/round_02/processed/details/chara/54.json,9,ok
2,chara,55,,火焰猫燐,data_raw/cn_official_legacy/round_02/raw/details/chara/55.html,data_raw/cn_official_legacy/round_02/processed/details/chara/55.json,9,ok
2,chara,56,,灵乌路空,data_raw/cn_official_legacy/round_02/raw/details/chara/56.html,data_raw/cn_official_legacy/round_02/processed/details/chara/56.json,9,ok
2,chara,57,,古明地恋,data_raw/cn_official_legacy/round_02/raw/details/chara/57.html,data_raw/cn_official_legacy/round_02/processed/details/chara/57.json,9,ok
2,chara,58,,娜兹玲,data_raw/cn_official_legacy/round_02/raw/details/chara/58.html,data_raw/cn_official_legacy/round_02/processed/details/chara/58.json,9,ok
2,chara,59,,多多良小伞,data_raw/cn_official_legacy/round_02/raw/details/chara/59.html,data_raw/cn_official_legacy/round_02/processed/details/chara/59.json,9,ok
2,chara,60,,云山,data_raw/cn_official_legacy/round_02/raw/details/chara/60.html,data_raw/cn_official_legacy/round_02/processed/details/chara/60.json,9,ok
2,chara,61,,云居一轮,data_raw/cn_official_legacy/round_02/raw/details/chara/61.html,data_raw/cn_official_legacy/round_02/processed/details/chara/61.json,9,ok
2,chara,62,,村纱水蜜,data_raw/cn_official_legacy/round_02/raw/details/chara/62.html,data_raw/cn_official_legacy/round_02/processed/details/chara/62.json,9,ok
2,chara,63,,寅丸星,data_raw/cn_official_legacy/round_02/raw/details/chara/63.html,data_raw/cn_official_legacy/round_02/processed/details/chara/63.json,9,ok
2,chara,64,,圣白莲,data_raw/cn_official_legacy/round_02/raw/details/chara/64.html,data_raw/cn_official_legacy/round_02/processed/details/chara/64.json,9,ok
2,chara,65,,封兽鵺,data_raw/cn_official_legacy/round_02/raw/details/chara/65.html,data_raw/cn_official_legacy/round_02/processed/details/chara/65.json,9,ok
2,chara,66,,命莲,data_raw/cn_official_legacy/round_02/raw/details/chara/66.html,data_raw/cn_official_legacy/round_02/processed/details/chara/66.json,9,ok
2,chara,67,,大鲶鱼,data_raw/cn_official_legacy/round_02/raw/details/chara/67.html,data_raw/cn_official_legacy/round_02/processed/details/chara/67.json,9,ok
2,chara,68,,非想天则,data_raw/cn_official_legacy/round_02/raw/details/chara/68.html,data_raw/cn_official_legacy/round_02/processed/details/chara/68.json,9,ok
2,chara,69,,姬海棠果,data_raw/cn_official_legacy/round_02/raw/details/chara/69.html,data_raw/cn_official_legacy/round_02/processed/details/chara/69.json,9,ok
2,chara,70,,幽谷响子,data_raw/cn_official_legacy/round_02/raw/details/chara/70.html,data_raw/cn_official_legacy/round_02/processed/details/chara/70.json,9,ok
2,chara,71,,宫古芳香,data_raw/cn_official_legacy/round_02/raw/details/chara/71.html,data_raw/cn_official_legacy/round_02/processed/details/chara/71.json,9,ok
2,chara,72,,霍青娥,data_raw/cn_official_legacy/round_02/raw/details/chara/72.html,data_raw/cn_official_legacy/round_02/processed/details/chara/72.json,9,ok
2,chara,73,,苏我屠自古,data_raw/cn_official_legacy/round_02/raw/details/chara/73.html,data_raw/cn_official_legacy/round_02/processed/details/chara/73.json,9,ok
2,chara,74,,物部布都,data_raw/cn_official_legacy/round_02/raw/details/chara/74.html,data_raw/cn_official_legacy/round_02/processed/details/chara/74.json,9,ok
2,chara,75,,丰聪耳神子,data_raw/cn_official_legacy/round_02/raw/details/chara/75.html,data_raw/cn_official_legacy/round_02/processed/details/chara/75.json,9,ok
2,chara,76,,二岩猯藏,data_raw/cn_official_legacy/round_02/raw/details/chara/76.html,data_raw/cn_official_legacy/round_02/processed/details/chara/76.json,9,ok
2,chara,77,,秦心,data_raw/cn_official_legacy/round_02/raw/details/chara/77.html,data_raw/cn_official_legacy/round_02/processed/details/chara/77.json,9,ok
