round,category,id,group,question_index,question_id,question,multi,option_index,option,all_count,male_count,female_count,sum_count,all_percent,male_percent,female_percent,total_all,total_male,total_female,total_diff
5,chara,1,,0,3,您正式接触东方Project多久,0,0,不到一个月,29,22,7,29,0.36,0.34,0.47,8038,6541,1494,3
5,chara,1,,0,3,您正式接触东方Project多久,0,1,半年以内,180,149,31,180,2.24,2.28,2.07,8038,6541,1494,3
5,chara,1,,0,3,您正式接触东方Project多久,0,2,半年到一年（2015年下半年或之后）,517,419,98,517,6.43,6.41,6.56,8038,6541,1494,3
5,chara,1,,0,3,您正式接触东方Project多久,0,3,一年到三年（2013年或之后）,1175,1000,174,1174,14.62,15.29,11.65,8038,6541,1494,3
5,chara,1,,0,3,您正式接触东方Project多久,0,4,三年到五年（2011年或之后）,609,508,101,609,7.58,7.77,6.76,8038,6541,1494,3
5,chara,1,,0,3,您正式接触东方Project多久,0,5,五年到七年（2009年或之后）,270,209,61,270,3.36,3.2,4.08,8038,6541,1494,3
5,chara,1,,0,3,您正式接触东方Project多久,0,6,七年到十年（2006年或之后）,61,44,17,61,0.76,0.67,1.14,8038,6541,1494,3
5,chara,1,,0,3,您正式接触东方Project多久,0,7,十年以上,9,9,0,9,0.11,0.14,0,8038,6541,1494,3
5,chara,1,,1,5,原作和二次同人您更热衷于,0,0,原作,488,410,78,488,6.13,6.32,5.29,7962,6483,1474,5
5,chara,1,,1,5,原作和二次同人您更热衷于,0,1,二次同人,239,202,37,239,3,3.12,2.51,7962,6483,1474,5
5,chara,1,,1,5,原作和二次同人您更热衷于,0,2,都很喜欢,2100,1727,370,2097,26.38,26.64,25.1,7962,6483,1474,5
5,chara,1,,1,5,原作和二次同人您更热衷于,0,3,都没兴趣,10,8,2,10,0.13,0.12,0.14,7962,6483,1474,5
5,chara,1,,2,1,您更喜欢官方游戏中的哪一类,0,0,STG（射击类）,1054,844,208,1052,13.19,12.99,14.02,7988,6499,1484,5
5,chara,1,,2,1,您更喜欢官方游戏中的哪一类,0,1,FTG（格斗类）,454,401,52,453,5.68,6.17,3.5,7988,6499,1484,5
5,chara,1,,2,1,您更喜欢官方游戏中的哪一类,0,2,都喜欢,1235,1026,209,1235,15.46,15.79,14.08,7988,6499,1484,5
5,chara,1,,2,1,您更喜欢官方游戏中的哪一类,0,3,对官方游戏不感兴趣，也不会去玩,99,80,19,99,1.24,1.23,1.28,7988,6499,1484,5
5,chara,1,,3,1,您是否玩过旧五作,0,0,玩过,894,705,189,894,11.63,11.27,13.23,7688,6255,1429,4
5,chara,1,,3,1,您是否玩过旧五作,0,1,并未玩过,1824,1546,276,1822,23.73,24.72,19.31,7688,6255,1429,4
5,chara,1,,3,1,您是否玩过旧五作,0,2,不知道旧五作是什么,22,19,3,22,0.29,0.3,0.21,7688,6255,1429,4
5,chara,1,,4,3,您最喜欢东方原作的哪方面,1,0,游戏本身,1718,1381,336,1717,21.54,21.28,22.69,7975,6489,1481,5
5,chara,1,,4,3,您最喜欢东方原作的哪方面,1,1,音乐曲目,2588,2137,448,2585,32.45,32.93,30.25,7975,6489,1481,5
5,chara,1,,4,3,您最喜欢东方原作的哪方面,1,2,人物设定,2605,2137,465,2602,32.66,32.93,31.4,7975,6489,1481,5
5,chara,1,,4,3,您最喜欢东方原作的哪方面,1,3,故事剧情,2065,1673,390,2063,25.89,25.78,26.33,7975,6489,1481,5
5,chara,1,,4,3,您最喜欢东方原作的哪方面,1,4,对原作完全不感兴趣,19,18,1,19,0.24,0.28,0.07,7975,6489,1481,5
5,chara,1,,5,2,您关注哪些此时正在连载的官方连载作品,1,0,东方铃奈庵（月刊）,1475,1189,284,1473,18.65,18.46,19.43,7908,6441,1462,5
5,chara,1,,5,2,您关注哪些此时正在连载的官方连载作品,1,1,东方茨歌仙（双月刊）,1406,1142,262,1404,17.78,17.73,17.92,7908,6441,1462,5
5,chara,1,,5,2,您关注哪些此时正在连载的官方连载作品,1,2,新东方三月精（季刊）,1027,868,158,1026,12.99,13.48,10.81,7908,6441,1462,5
5,chara,1,,5,2,您关注哪些此时正在连载的官方连载作品,1,3,新东方香霖堂（半年刊）,870,729,140,869,11,11.32,9.58,7908,6441,1462,5
5,chara,1,,5,2,您关注哪些此时正在连载的官方连载作品,1,4,都不关注,837,700,136,836,10.58,10.87,9.3,7908,6441,1462,5
5,chara,1,,6,0,对二次同人是否有兴趣,0,0,非常热衷,1677,1350,326,1676,21.04,20.8,22.07,7971,6491,1477,3
5,chara,1,,6,0,对二次同人是否有兴趣,0,1,有些兴趣,1135,978,156,1134,14.24,15.07,10.56,7971,6491,1477,3
5,chara,1,,6,0,对二次同人是否有兴趣,0,2,完全不感兴趣,25,20,5,25,0.31,0.31,0.34,7971,6491,1477,3
5,chara,1,,7,1,在二次同人中您最关注,1,0,音乐,2322,1925,395,2320,29.51,30.04,27.09,7869,6408,1458,3
5,chara,1,,7,1,在二次同人中您最关注,1,1,漫画,1909,1538,369,1907,24.26,24,25.31,7869,6408,1458,3
5,chara,1,,7,1,在二次同人中您最关注,1,2,游戏,1648,1401,246,1647,20.94,21.86,16.87,7869,6408,1458,3
5,chara,1,,7,1,在二次同人中您最关注,1,3,绘画,1575,1203,371,1574,20.02,18.77,25.45,7869,6408,1458,3
5,chara,1,,7,1,在二次同人中您最关注,1,4,视频,1819,1503,315,1818,23.12,23.46,21.6,7869,6408,1458,3
5,chara,1,,7,1,在二次同人中您最关注,1,5,小说,992,787,205,992,12.61,12.28,14.06,7869,6408,1458,3
5,chara,1,,7,1,在二次同人中您最关注,1,6,实物,738,571,165,736,9.38,8.91,11.32,7869,6408,1458,3
5,chara,1,,7,1,在二次同人中您最关注,1,7,其他,344,257,85,342,4.37,4.01,5.83,7869,6408,1458,3
5,chara,1,,8,2,购买过二次同人作品吗（非国内作品）,0,0,热衷于购买,225,166,59,225,2.86,2.59,4.05,7860,6402,1455,3
5,chara,1,,8,2,购买过二次同人作品吗（非国内作品）,0,1,购买过,872,707,163,870,11.09,11.04,11.2,7860,6402,1455,3
5,chara,1,,8,2,购买过二次同人作品吗（非国内作品）,0,2,想买但是没有条件,1177,980,197,1177,14.97,15.31,13.54,7860,6402,1455,3
5,chara,1,,8,2,购买过二次同人作品吗（非国内作品）,0,3,没有考虑过,534,472,62,534,6.79,7.37,4.26,7860,6402,1455,3
5,chara,1,,9,3,购买过国内创作的二次同人作品吗,0,0,热衷于购买,258,184,74,258,3.28,2.87,5.08,7865,6407,1456,2
5,chara,1,,9,3,购买过国内创作的二次同人作品吗,0,1,购买过,1198,971,226,1197,15.23,15.16,15.52,7865,6407,1456,2
5,chara,1,,9,3,购买过国内创作的二次同人作品吗,0,2,想买但是没有条件,754,641,113,754,9.59,10,7.76,7865,6407,1456,2
5,chara,1,,9,3,购买过国内创作的二次同人作品吗,0,3,没有考虑过,599,530,69,599,7.62,8.27,4.74,7865,6407,1456,2
5,chara,1,,10,4,有想过做东方的同人创作吗,0,0,已经做过或正在做,428,285,143,428,5.44,4.45,9.82,7861,6402,1456,3
5,chara,1,,10,4,有想过做东方的同人创作吗,0,1,想过还没有实际做过,1358,1123,234,1357,17.28,17.54,16.07,7861,6402,1456,3
5,chara,1,,10,4,有想过做东方的同人创作吗,0,2,没有想过,1024,918,105,1023,13.03,14.34,7.21,7861,6402,1456,3
5,chara,1,,11,6,是否购买实物型周边（手办、抱枕、挂链、钱包、贴纸、挂画等类）,0,0,有购买,1757,1401,353,1754,22.06,21.6,23.93,7966,6486,1475,5
5,chara,1,,11,6,是否购买实物型周边（手办、抱枕、挂链、钱包、贴纸、挂画等类）,0,1,想买但是没有机会,668,587,81,668,8.39,9.05,5.49,7966,6486,1475,5
5,chara,1,,11,6,是否购买实物型周边（手办、抱枕、挂链、钱包、贴纸、挂画等类）,0,2,没有考虑过,412,359,53,412,5.17,5.53,3.59,7966,6486,1475,5
