round,category,id,geo_key,geo_name,all,sum,male,female,per,maleper,femaleper
5,chara,1,01,北京,738,244,196,48,33.06,34.51,29.81
5,chara,1,02,上海,595,185,150,35,31.09,31.19,31.25
5,chara,1,03,广东,1021,375,329,46,36.73,38.08,30.07
5,chara,1,04,天津,119,35,34,1,29.41,33.33,6.25
5,chara,1,05,重庆,191,69,56,13,36.13,35.67,40.63
5,chara,1,06,四川,442,163,135,28,36.88,38.24,34.15
5,chara,1,07,江苏,561,188,155,33,33.51,32.77,37.5
5,chara,1,08,浙江,404,152,131,21,37.62,39.34,30
5,chara,1,09,湖北,242,85,70,15,35.12,35.71,32.61
5,chara,1,10,湖南,332,128,94,33,38.55,39.33,36.67
5,chara,1,11,山东,474,172,159,13,36.29,39.75,18.31
5,chara,1,12,山西,161,62,54,8,38.51,40.6,28.57
5,chara,1,13,河北,243,80,67,13,32.92,33.33,32.5
5,chara,1,14,河南,299,117,99,18,39.13,40.08,36.73
5,chara,1,15,黑龙江,169,56,44,12,33.14,34.11,32.43
5,chara,1,16,吉林,73,19,17,2,26.03,27.42,20
5,chara,1,17,辽宁,192,59,44,15,30.73,30.34,32.61
5,chara,1,18,陕西,128,45,38,7,35.16,35.19,35
5,chara,1,19,内蒙古,32,10,9,1,31.25,30,50
5,chara,1,20,安徽,183,64,54,10,34.97,34.62,37.04
5,chara,1,21,福建,292,114,92,21,39.04,38.49,40.38
5,chara,1,22,江西,148,55,45,10,37.16,38.46,37.04
5,chara,1,23,广西,243,91,67,24,37.45,37.43,38.1
5,chara,1,24,海南,42,18,14,4,42.86,48.28,30.77
5,chara,1,25,贵州,72,30,23,7,41.67,38.33,58.33
5,chara,1,26,云南,66,24,21,3,36.36,36.21,42.86
5,chara,1,27,甘肃,28,15,14,1,53.57,58.33,25
5,chara,1,28,宁夏,11,2,1,1,18.18,12.5,33.33
5,chara,1,30,新疆,35,13,11,2,37.14,37.93,33.33
5,chara,1,31,西藏,1,,,,,,
5,chara,1,32,香港,57,19,14,5,33.33,31.11,41.67
5,chara,1,33,澳门,9,,,,,,
5,chara,1,34,台湾,88,21,12,9,23.86,19.05,36
5,chara,2,01,北京,738,184,143,41,24.93,25.18,25.47
5,chara,2,02,上海,595,139,113,26,23.36,23.49,23.21
5,chara,2,03,广东,1021,265,222,43,25.95,25.69,28.1
5,chara,2,04,天津,119,25,21,4,21.01,20.59,25
5,chara,2,05,重庆,191,57,46,11,29.84,29.3,34.38
5,chara,2,06,四川,442,111,88,23,25.11,24.93,28.05
5,chara,2,07,江苏,561,140,109,31,24.96,23.04,35.23
5,chara,2,08,浙江,404,106,84,22,26.24,25.23,31.43
5,chara,2,09,湖北,242,48,36,12,19.83,18.37,26.09
5,chara,2,10,湖南,332,87,52,35,26.2,21.76,38.89
5,chara,2,11,山东,474,123,105,18,25.95,26.25,25.35
5,chara,2,12,山西,161,36,30,6,22.36,22.56,21.43
5,chara,2,13,河北,243,52,40,12,21.4,19.9,30
5,chara,2,14,河南,299,64,55,9,21.4,22.27,18.37
5,chara,2,15,黑龙江,169,38,30,8,22.49,23.26,21.62
5,chara,2,16,吉林,73,16,14,2,21.92,22.58,20
5,chara,2,17,辽宁,192,38,28,10,19.79,19.31,21.74
5,chara,2,18,陕西,128,36,27,9,28.13,25,45
5,chara,2,19,内蒙古,32,7,7,,21.88,23.33,
5,chara,2,20,安徽,183,41,33,8,22.4,21.15,29.63
5,chara,2,21,福建,292,77,55,22,26.37,23.01,42.31
5,chara,2,22,江西,148,40,30,10,27.03,25.64,37.04
5,chara,2,23,广西,243,60,50,10,24.69,27.93,15.87
5,chara,2,24,海南,42,11,7,4,26.19,24.14,30.77
5,chara,2,25,贵州,72,19,16,3,26.39,26.67,25
5,chara,2,26,云南,66,18,15,3,27.27,25.86,42.86
5,chara,2,27,甘肃,28,9,8,1,32.14,33.33,25
5,chara,2,28,宁夏,11,4,4,,36.36,50,
5,chara,2,30,新疆,35,6,5,1,17.14,17.24,16.67
5,chara,2,31,西藏,1,,,,,,
5,chara,2,32,香港,57,16,11,5,28.07,24.44,41.67
5,chara,2,33,澳门,9,4,1,3,44.44,16.67,100
5,chara,2,34,台湾,88,20,13,7,22.73,20.63,28
5,chara,3,01,北京,738,35,28,7,4.74,4.93,4.35
5,chara,3,02,上海,595,35,31,4,5.88,6.44,3.57
5,chara,3,03,广东,1021,59,51,8,5.78,5.9,5.23
5,chara,3,04,天津,119,8,6,2,6.72,5.88,12.5
5,chara,3,05,重庆,191,12,10,2,6.28,6.37,6.25
5,chara,3,06,四川,442,20,17,3,4.52,4.82,3.66
5,chara,3,07,江苏,561,24,24,,4.28,5.07,
5,chara,3,08,浙江,404,25,18,7,6.19,5.41,10
5,chara,3,09,湖北,242,12,11,1,4.96,5.61,2.17
5,chara,3,10,湖南,332,25,18,7,7.53,7.53,7.78
5,chara,3,11,山东,474,24,21,3,5.06,5.25,4.23
5,chara,3,12,山西,161,7,7,,4.35,5.26,
5,chara,3,13,河北,243,16,16,,6.58,7.96,
5,chara,3,14,河南,299,12,11,1,4.01,4.45,2.04
5,chara,3,15,黑龙江,169,9,8,1,5.33,6.2,2.7
5,chara,3,16,吉林,73,5,5,,6.85,8.06,
5,chara,3,17,辽宁,192,6,3,3,3.13,2.07,6.52
5,chara,3,18,陕西,128,6,6,,4.69,5.56,
5,chara,3,19,内蒙古,32,,,,,,
5,chara,3,20,安徽,183,14,14,,7.65,8.97,
5,chara,3,21,福建,292,13,12,1,4.45,5.02,1.92
5,chara,3,22,江西,148,10,9,1,6.76,7.69,3.7
5,chara,3,23,广西,243,8,8,,3.29,4.47,
5,chara,3,24,海南,42,1,1,,2.38,3.45,
5,chara,3,25,贵州,72,4,4,,5.56,6.67,
5,chara,3,26,云南,66,3,3,,4.55,5.17,
5,chara,3,27,甘肃,28,2,2,,7.14,8.33,
5,chara,3,28,宁夏,11,,,,,,
5,chara,3,30,新疆,35,4,4,,11.43,13.79,
5,chara,3,31,西藏,1,,,,,,
5,chara,3,32,香港,57,5,4,1,8.77,8.89,8.33
5,chara,3,33,澳门,9,,,,,,
5,chara,3,34,台湾,88,7,6,1,7.95,9.52,4
5,chara,4,01,北京,738,20,18,2,2.71,3.17,1.24
5,chara,4,02,上海,595,10,10,,1.68,2.08,
5,chara,4,03,广东,1021,31,28,3,3.04,3.24,1.96
5,chara,4,04,天津,119,4,4,,3.36,3.92,
5,chara,4,05,重庆,191,9,7,2,4.71,4.46,6.25
5,chara,4,06,四川,442,15,15,,3.39,4.25,
5,chara,4,07,江苏,561,13,13,,2.32,2.75,
