round,role,category,item_id,url,title,summary_json,source_bytes,sha256
11,detail,character,d589847b1e965e,http://thwiki.info/th/vote11/result_details.php?class=character&name=%E3%81%8F%E3%82%8B%E3%81%BF&sname=%E3%81%8F%E3%82%8B%E3%81%BF,投票結果：くるみ - 第11回 東方Project 人気投票,"[{""kind"":""title"",""text"":""投票結果：くるみ - 第11回 東方Project 人気投票"",""numbers"":[]}]",11538,3348957743ca7ab0c4fa6983d92841161039be438bcef6eeae91271ee980d44b
11,detail,character,d97c185c236048,http://thwiki.info/th/vote11/result_details.php?class=character&name=%E3%82%8F%E3%81%8B%E3%81%95%E3%81%8E%E5%A7%AB&sname=%E3%82%8F%E3%81%8B%E3%81%95%E3%81%8E%E5%A7%AB,投票結果：わかさぎ姫 - 第11回 東方Project 人気投票,"[{""kind"":""title"",""text"":""投票結果：わかさぎ姫 - 第11回 東方Project 人気投票"",""numbers"":[]}]",18499,ff60c3facb3a9b0f43ecdb50e6c29b6f9cedfae9adc60068ef0f3837ee6d3c5b
11,detail,character,96f69851f4b844,http://thwiki.info/th/vote11/result_details.php?class=character&name=%E3%82%A2%E3%83%AA%E3%82%B9%E3%81%AE%E4%BA%BA%E5%BD%A2%EF%BC%88%E4%B8%8A%E6%B5%B7%E3%80%81%E8%93%AC%E8%8E%B1%E3%80%81%E5%A4%A7%E6%B1%9F%E6%88%B8%E4%BB%96%EF%BC%89&sname=%E3%82%A2%E3%83%AA%E3%82%B9%E3%81%AE%E4%BA%BA%E5%BD%A2,投票結果：アリスの人形（上海、蓬莱、大江戸他） - 第11回 東方Project 人気投票,"[{""kind"":""title"",""text"":""投票結果：アリスの人形（上海、蓬莱、大江戸他） - 第11回 東方Project 人気投票"",""numbers"":[]}]",13472,b0a6fd1e46c7f6c7decea99f40b9a074922af8d6456e2211f2733f94c35a9fe3
11,detail,character,b0f60e06a9777a,http://thwiki.info/th/vote11/result_details.php?class=character&name=%E3%82%A2%E3%83%AA%E3%82%B9%E3%83%BB%E3%83%9E%E3%83%BC%E3%82%AC%E3%83%88%E3%83%AD%E3%82%A4%E3%83%89&sname=%E3%82%A2%E3%83%AA%E3%82%B9,投票結果：アリス・マーガトロイド - 第11回 東方Project 人気投票,"[{""kind"":""title"",""text"":""投票結果：アリス・マーガトロイド - 第11回 東方Project 人気投票"",""numbers"":[]}]",69542,3425662932961c78d901e3b2a7f8ddfd4c7c6b6a9f2d3c38242118a8ed458673
11,detail,character,bcef123ab3b18b,http://thwiki.info/th/vote11/result_details.php?class=character&name=%E3%82%A8%E3%83%AA%E3%82%B9&sname=%E3%82%A8%E3%83%AA%E3%82%B9,投票結果：エリス - 第11回 東方Project 人気投票,"[{""kind"":""title"",""text"":""投票結果：エリス - 第11回 東方Project 人気投票"",""numbers"":[]}]",10442,f210e01be83fcdd5143ea44845e0f426020133c6d93310a3c30130374e206135
11,detail,character,ddc2293cf6e3ef,http://thwiki.info/th/vote11/result_details.php?class=character&name=%E3%82%A8%E3%83%AA%E3%83%BC&sname=%E3%82%A8%E3%83%AA%E3%83%BC,投票結果：エリー - 第11回 東方Project 人気投票,"[{""kind"":""title"",""text"":""投票結果：エリー - 第11回 東方Project 人気投票"",""numbers"":[]}]",11670,6875d5ab10fada156f7b9e4cad5830342b253e8764765490cea2085d059f9122
11,detail,character,2c32ff99ec173b,http://thwiki.info/th/vote11/result_details.php?class=character&name=%E3%82%A8%E3%83%AC%E3%83%B3&sname=%E3%82%A8%E3%83%AC%E3%83%B3,投票結果：エレン - 第11回 東方Project 人気投票,"[{""kind"":""title"",""text"":""投票結果：エレン - 第11回 東方Project 人気投票"",""numbers"":[]}]",10943,ca99452a2dfeca3220b85a6a39ece55ad690dbe85c1cf5b426cd1726a46c0d7c
11,detail,character,f1d476bf8fc467,http://thwiki.info/th/vote11/result_details.php?class=character&name=%E3%82%AB%E3%83%8A%E3%83%BB%E3%82%A2%E3%83%8A%E3%83%99%E3%83%A9%E3%83%AB&sname=%E3%82%AB%E3%83%8A,投票結果：カナ・アナベラル - 第11回 東方Project 人気投票,"[{""kind"":""title"",""text"":""投票結果：カナ・アナベラル - 第11回 東方Project 人気投票"",""numbers"":[]}]",13205,7bbea5337322ff0d99752867988210c10c5a9718fed19b75f67454a8845554f8
11,detail,character,265933137f61bd,http://thwiki.info/th/vote11/result_details.php?class=character&name=%E3%82%AD%E3%82%B9%E3%83%A1&sname=%E3%82%AD%E3%82%B9%E3%83%A1,投票結果：キスメ - 第11回 東方Project 人気投票,"[{""kind"":""title"",""text"":""投票結果：キスメ - 第11回 東方Project 人気投票"",""numbers"":[]}]",13822,28a15d41f6864c5db9d17d41faba0fc4e95189eb067b32b7d1f35a8d6b3d028a
11,detail,character,632461e884241b,http://thwiki.info/th/vote11/result_details.php?class=character&name=%E3%82%B3%E3%83%B3%E3%82%AC%E3%83%A9&sname=%E3%82%B3%E3%83%B3%E3%82%AC%E3%83%A9,投票結果：コンガラ - 第11回 東方Project 人気投票,"[{""kind"":""title"",""text"":""投票結果：コンガラ - 第11回 東方Project 人気投票"",""numbers"":[]}]",10353,8c488c6c1bbd04c825052a3d20480056ed4cc10467c56ba7a6bee623c838c0ae
11,detail,character,c85c2ec53577f1,http://thwiki.info/th/vote11/result_details.php?class=character&name=%E3%82%B5%E3%83%8B%E3%83%BC%E3%83%9F%E3%83%AB%E3%82%AF&sname=%E3%82%B5%E3%83%8B%E3%83%BC%E3%83%9F%E3%83%AB%E3%82%AF,投票結果：サニーミルク - 第11回 東方Project 人気投票,"[{""kind"":""title"",""text"":""投票結果：サニーミルク - 第11回 東方Project 人気投票"",""numbers"":[]}]",15822,74d58030a6ac96cd3d74ffe1d886b5bd797e3ff3dbd487bcf29b3dbd09f22af8
