round,category,id,group,question_index,question_id,question,multi,option_index,option,all_count,male_count,female_count,sum_count,all_percent,male_percent,female_percent,total_all,total_male,total_female,total_diff
7,chara,1,,0,3,您正式接触东方Project多久,0,0,不到一个月,17,14,3,17,0.24,0.25,0.24,6941,5707,1233,1
7,chara,1,,0,3,您正式接触东方Project多久,0,1,半年以内,139,119,20,139,2,2.09,1.62,6941,5707,1233,1
7,chara,1,,0,3,您正式接触东方Project多久,0,2,半年到一年（2017年下半年或之后）,351,297,54,351,5.06,5.2,4.38,6941,5707,1233,1
7,chara,1,,0,3,您正式接触东方Project多久,0,3,一年到三年（2015年或之后）,965,806,159,965,13.9,14.12,12.9,6941,5707,1233,1
7,chara,1,,0,3,您正式接触东方Project多久,0,4,三年到五年（2013年或之后）,469,374,95,469,6.76,6.55,7.7,6941,5707,1233,1
7,chara,1,,0,3,您正式接触东方Project多久,0,5,五年到七年（2011年或之后）,234,179,55,234,3.37,3.14,4.46,6941,5707,1233,1
7,chara,1,,0,3,您正式接触东方Project多久,0,6,七年到十年（2008年或之后）,80,64,16,80,1.15,1.12,1.3,6941,5707,1233,1
7,chara,1,,0,3,您正式接触东方Project多久,0,7,十年以上,16,12,4,16,0.23,0.21,0.32,6941,5707,1233,1
7,chara,1,,1,5,原作和二次同人您更热衷于,0,0,原作,327,269,58,327,4.72,4.73,4.72,6923,5693,1229,1
7,chara,1,,1,5,原作和二次同人您更热衷于,0,1,二次同人,127,111,16,127,1.83,1.95,1.3,6923,5693,1229,1
7,chara,1,,1,5,原作和二次同人您更热衷于,0,2,都很喜欢,1796,1467,329,1796,25.94,25.77,26.77,6923,5693,1229,1
7,chara,1,,1,5,原作和二次同人您更热衷于,0,3,都没兴趣,15,14,1,15,0.22,0.25,0.08,6923,5693,1229,1
7,chara,1,,2,1,您更喜欢官方游戏中的哪一类,0,0,STG（射击类）,948,759,189,948,13.66,13.3,15.33,6941,5707,1233,1
7,chara,1,,2,1,您更喜欢官方游戏中的哪一类,0,1,FTG（格斗类）,311,275,36,311,4.48,4.82,2.92,6941,5707,1233,1
7,chara,1,,2,1,您更喜欢官方游戏中的哪一类,0,2,都喜欢,945,776,169,945,13.61,13.6,13.71,6941,5707,1233,1
7,chara,1,,2,1,您更喜欢官方游戏中的哪一类,0,3,对官方游戏不感兴趣，也不会去玩,67,55,12,67,0.97,0.96,0.97,6941,5707,1233,1
7,chara,1,,3,1,您是否玩过旧五作,0,0,玩过,698,548,150,698,10.35,9.88,12.53,6746,5548,1197,1
7,chara,1,,3,1,您是否玩过旧五作,0,1,并未玩过,1490,1252,238,1490,22.09,22.57,19.88,6746,5548,1197,1
7,chara,1,,3,1,您是否玩过旧五作,0,2,不知道旧五作是什么,16,10,6,16,0.24,0.18,0.5,6746,5548,1197,1
7,chara,1,,4,3,您最喜欢东方原作的哪方面,1,0,游戏本身,1440,1169,271,1440,20.83,20.56,22.09,6913,5685,1227,1
7,chara,1,,4,3,您最喜欢东方原作的哪方面,1,1,音乐曲目,2127,1748,379,2127,30.77,30.75,30.89,6913,5685,1227,1
7,chara,1,,4,3,您最喜欢东方原作的哪方面,1,2,人物设定,2077,1698,379,2077,30.04,29.87,30.89,6913,5685,1227,1
7,chara,1,,4,3,您最喜欢东方原作的哪方面,1,3,故事剧情,1708,1390,318,1708,24.71,24.45,25.92,6913,5685,1227,1
7,chara,1,,4,3,您最喜欢东方原作的哪方面,1,4,对原作完全不感兴趣,8,8,0,8,0.12,0.14,0,6913,5685,1227,1
7,chara,1,,5,2,您关注哪些近期连载的官方连载作品,1,0,东方茨歌仙（双月刊）,1319,1066,253,1319,19.08,18.75,20.65,6912,5686,1225,1
7,chara,1,,5,2,您关注哪些近期连载的官方连载作品,1,1,新东方三月精（季刊）,975,798,177,975,14.11,14.03,14.45,6912,5686,1225,1
7,chara,1,,5,2,您关注哪些近期连载的官方连载作品,1,2,新东方香霖堂（半年刊）,684,551,133,684,9.9,9.69,10.86,6912,5686,1225,1
