id,name,jpname,group,vote,first,weight,info,ratio,vratio,fratio,male,female,hmratio,hfratio,hmaratio,hfaratio,vvratio
1,博丽灵梦,博麗霊夢,主角,4038,718,4756,<a href='./?m=info&type=chara&id=1' target='_blank'>点击查看详情</a>,17.78%,35.57%,6.52%,3430,608,84.94%,15.06%,34.46%,35.37%,
2,雾雨魔理沙,霧雨魔理沙,主角,3660,696,4356,<a href='./?m=info&type=chara&id=2' target='_blank'>点击查看详情</a>,19.02%,32.24%,6.32%,3084,576,84.26%,15.74%,30.98%,33.51%,
3,露米娅,ルーミア,东方红魔乡,542,49,591,<a href='./?m=info&type=chara&id=3' target='_blank'>点击查看详情</a>,9.04%,4.77%,0.45%,483,59,89.11%,10.89%,4.85%,3.43%,
4,大妖精,大妖精,东方红魔乡,328,26,354,<a href='./?m=info&type=chara&id=4' target='_blank'>点击查看详情</a>,7.93%,2.89%,0.24%,308,20,93.9%,6.1%,3.09%,1.16%,
5,琪露诺,チルノ,东方红魔乡,1590,305,1895,<a href='./?m=info&type=chara&id=5' target='_blank'>点击查看详情</a>,19.18%,14.01%,2.77%,1402,188,88.18%,11.82%,14.08%,10.94%,
6,红美铃,紅美鈴,东方红魔乡,845,112,957,<a href='./?m=info&type=chara&id=6' target='_blank'>点击查看详情</a>,13.25%,7.44%,1.02%,704,141,83.31%,16.69%,7.07%,8.2%,
7,小恶魔,小悪魔,东方红魔乡,229,20,249,<a href='./?m=info&type=chara&id=7' target='_blank'>点击查看详情</a>,8.73%,2.02%,0.18%,208,21,90.83%,9.17%,2.09%,1.22%,
8,帕秋莉·诺蕾姬,パチュリー·ノーレッジ,东方红魔乡,1141,182,1323,<a href='./?m=info&type=chara&id=8' target='_blank'>点击查看详情</a>,15.95%,10.05%,1.65%,998,143,87.47%,12.53%,10.03%,8.32%,
9,十六夜咲夜,十六夜咲夜,东方红魔乡,2529,454,2983,<a href='./?m=info&type=chara&id=9' target='_blank'>点击查看详情</a>,17.95%,22.28%,4.13%,2170,359,85.8%,14.2%,21.8%,20.88%,
10,蕾米莉亚·斯卡蕾特,レミリア·スカーレット,东方红魔乡,2046,354,2400,<a href='./?m=info&type=chara&id=10' target='_blank'>点击查看详情</a>,17.3%,18.02%,3.22%,1787,259,87.34%,12.66%,17.95%,15.07%,
11,芙兰朵露·斯卡蕾特,フランドール·スカーレット,东方红魔乡,1776,368,2144,<a href='./?m=info&type=chara&id=11' target='_blank'>点击查看详情</a>,20.72%,15.65%,3.34%,1501,275,84.52%,15.48%,15.08%,16%,
12,冴月麟,さつき りん,东方红魔乡,281,29,310,<a href='./?m=info&type=chara&id=12' target='_blank'>点击查看详情</a>,10.32%,2.48%,0.26%,226,55,80.43%,19.57%,2.27%,3.2%,
13,蕾蒂·霍瓦特洛克,レティ·ホワイトロック,东方妖妖梦,97,11,108,<a href='./?m=info&type=chara&id=13' target='_blank'>点击查看详情</a>,11.34%,0.85%,0.1%,71,26,73.2%,26.8%,0.71%,1.51%,
14,橙,橙,东方妖妖梦,185,20,205,<a href='./?m=info&type=chara&id=14' target='_blank'>点击查看详情</a>,10.81%,1.63%,0.18%,168,17,90.81%,9.19%,1.69%,0.99%,
15,爱丽丝·玛格特洛依德,アリス·マーガトロイド,东方妖妖梦,1657,296,1953,<a href='./?m=info&type=chara&id=15' target='_blank'>点击查看详情</a>,17.86%,14.6%,2.69%,1424,233,85.94%,14.06%,14.3%,13.55%,
16,莉莉白,リリーホワイト,东方妖妖梦,421,37,458,<a href='./?m=info&type=chara&id=16' target='_blank'>点击查看详情</a>,8.79%,3.71%,0.34%,390,31,92.64%,7.36%,3.92%,1.8%,
17,露娜萨·普莉兹姆利巴,ルナサ·プリズムリバー,东方妖妖梦,76,5,81,<a href='./?m=info&type=chara&id=17' target='_blank'>点击查看详情</a>,6.58%,0.67%,0.05%,63,13,82.89%,17.11%,0.63%,0.76%,
18,梅露兰·普莉兹姆利巴,メルラン·プリズムリバー,东方妖妖梦,31,2,33,<a href='./?m=info&type=chara&id=18' target='_blank'>点击查看详情</a>,6.45%,0.27%,0.02%,25,6,80.65%,19.35%,0.25%,0.35%,
19,莉莉卡·普莉兹姆利巴,リリカ·プリズムリバー,东方妖妖梦,32,2,34,<a href='./?m=info&type=chara&id=19' target='_blank'>点击查看详情</a>,6.25%,0.28%,0.02%,27,5,84.38%,15.63%,0.27%,0.29%,
20,魂魄妖梦,魂魄妖夢,东方妖妖梦,2172,380,2552,<a href='./?m=info&type=chara&id=20' target='_blank'>点击查看详情</a>,17.5%,19.13%,3.45%,1986,186,91.44%,8.56%,19.95%,10.82%,
21,西行寺幽幽子,西行寺幽々子,东方妖妖梦,1753,387,2140,<a href='./?m=info&type=chara&id=21' target='_blank'>点击查看详情</a>,22.08%,15.44%,3.52%,1488,265,84.88%,15.12%,14.95%,15.42%,
22,八云蓝,八雲藍,东方妖妖梦,350,36,386,<a href='./?m=info&type=chara&id=22' target='_blank'>点击查看详情</a>,10.29%,3.08%,0.33%,301,49,86%,14%,3.02%,2.85%,
23,八云紫,八雲紫,东方妖妖梦,1763,295,2058,<a href='./?m=info&type=chara&id=23' target='_blank'>点击查看详情</a>,16.73%,15.53%,2.68%,1484,279,84.17%,15.83%,14.91%,16.23%,
24,魂魄妖忌,魂魄妖忌,东方妖妖梦,43,0,43,<a href='./?m=info&type=chara&id=24' target='_blank'>点击查看详情</a>,0%,0.38%,0%,39,4,90.7%,9.3%,0.39%,0.23%,
25,蕾拉·普莉兹姆利巴,レイラ·プリズムリバー,东方妖妖梦,23,6,29,<a href='./?m=info&type=chara&id=25' target='_blank'>点击查看详情</a>,26.09%,0.2%,0.05%,15,8,65.22%,34.78%,0.15%,0.47%,
26,伊吹萃香,伊吹萃香,东方萃梦想,1177,159,1336,<a href='./?m=info&type=chara&id=26' target='_blank'>点击查看详情</a>,13.51%,10.37%,1.44%,1059,118,89.97%,10.03%,10.64%,6.86%,
27,莉格露·奈特巴格,リグル·ナイトバグ,东方永夜抄,86,18,104,<a href='./?m=info&type=chara&id=27' target='_blank'>点击查看详情</a>,20.93%,0.76%,0.16%,69,17,80.23%,19.77%,0.69%,0.99%,
28,米斯蒂娅·萝蕾拉,ミスティア·ローレライ,东方永夜抄,206,32,238,<a href='./?m=info&type=chara&id=28' target='_blank'>点击查看详情</a>,15.53%,1.81%,0.29%,185,21,89.81%,10.19%,1.86%,1.22%,
29,上白泽慧音,上白沢慧音,东方永夜抄,487,52,539,<a href='./?m=info&type=chara&id=29' target='_blank'>点击查看详情</a>,10.68%,4.29%,0.47%,391,96,80.29%,19.71%,3.93%,5.58%,
30,因幡天为（因幡帝）,因幡てゐ,东方永夜抄,239,31,270,<a href='./?m=info&type=chara&id=30' target='_blank'>点击查看详情</a>,12.97%,2.11%,0.28%,203,36,84.94%,15.06%,2.04%,2.09%,
31,铃仙·优昙华院·因幡,鈴仙·優曇華院·イナバ,东方永夜抄,1520,223,1743,<a href='./?m=info&type=chara&id=31' target='_blank'>点击查看详情</a>,14.67%,13.39%,2.03%,1366,154,89.87%,10.13%,13.72%,8.96%,
32,八意永琳,八意永琳,东方永夜抄,417,47,464,<a href='./?m=info&type=chara&id=32' target='_blank'>点击查看详情</a>,11.27%,3.67%,0.43%,335,82,80.34%,19.66%,3.37%,4.77%,
33,蓬莱山辉夜,蓬莱山輝夜,东方永夜抄,1070,135,1205,<a href='./?m=info&type=chara&id=33' target='_blank'>点击查看详情</a>,12.62%,9.43%,1.23%,897,173,83.83%,16.17%,9.01%,10.06%,
34,藤原妹红,藤原妹紅,东方永夜抄,1828,308,2136,<a href='./?m=info&type=chara&id=34' target='_blank'>点击查看详情</a>,16.85%,16.1%,2.8%,1493,335,81.67%,18.33%,15%,19.49%,
35,射命丸文,射命丸文,东方花映塚,1992,343,2335,<a href='./?m=info&type=chara&id=35' target='_blank'>点击查看详情</a>,17.22%,17.55%,3.12%,1781,211,89.41%,10.59%,17.89%,12.27%,
36,梅蒂欣·梅兰可莉,メディスン·メランコリー,东方花映塚,94,20,114,<a href='./?m=info&type=chara&id=36' target='_blank'>点击查看详情</a>,21.28%,0.83%,0.18%,68,26,72.34%,27.66%,0.68%,1.51%,
37,风见幽香,風見幽香,东方花映塚,909,155,1064,<a href='./?m=info&type=chara&id=37' target='_blank'>点击查看详情</a>,17.05%,8.01%,1.41%,774,135,85.15%,14.85%,7.77%,7.85%,
38,小野塚小町,小野塚小町,东方花映塚,219,22,241,<a href='./?m=info&type=chara&id=38' target='_blank'>点击查看详情</a>,10.05%,1.93%,0.2%,178,41,81.28%,18.72%,1.79%,2.39%,
39,四季映姬·夜摩仙那度,四季映姫·ヤマザナドゥ,东方花映塚,868,120,988,<a href='./?m=info&type=chara&id=39' target='_blank'>点击查看详情</a>,13.82%,7.65%,1.09%,751,117,86.52%,13.48%,7.54%,6.81%,
40,秋静叶,秋静葉,东方风神录,121,14,135,<a href='./?m=info&type=chara&id=40' target='_blank'>点击查看详情</a>,11.57%,1.07%,0.13%,98,23,80.99%,19.01%,0.98%,1.34%,
41,秋穰子,秋穣子,东方风神录,105,8,113,<a href='./?m=info&type=chara&id=41' target='_blank'>点击查看详情</a>,7.62%,0.93%,0.07%,94,11,89.52%,10.48%,0.94%,0.64%,
42,键山雏,鍵山雛,东方风神录,822,136,958,<a href='./?m=info&type=chara&id=42' target='_blank'>点击查看详情</a>,16.55%,7.24%,1.24%,698,124,84.91%,15.09%,7.01%,7.21%,
43,河城荷取,河城にとり,东方风神录,336,44,380,<a href='./?m=info&type=chara&id=43' target='_blank'>点击查看详情</a>,13.1%,2.96%,0.4%,298,38,88.69%,11.31%,2.99%,2.21%,
44,犬走椛,犬走椛,东方风神录,432,44,476,<a href='./?m=info&type=chara&id=44' target='_blank'>点击查看详情</a>,10.19%,3.81%,0.4%,398,34,92.13%,7.87%,4%,1.98%,
45,东风谷早苗,東風谷早苗,东方风神录,1913,321,2234,<a href='./?m=info&type=chara&id=45' target='_blank'>点击查看详情</a>,16.78%,16.85%,2.92%,1698,215,88.76%,11.24%,17.06%,12.51%,
46,八坂神奈子,八坂神奈子,东方风神录,333,29,362,<a href='./?m=info&type=chara&id=46' target='_blank'>点击查看详情</a>,8.71%,2.93%,0.26%,241,92,72.37%,27.63%,2.42%,5.35%,
47,洩矢诹访子,洩矢諏訪子,东方风神录,716,96,812,<a href='./?m=info&type=chara&id=47' target='_blank'>点击查看详情</a>,13.41%,6.31%,0.87%,588,128,82.12%,17.88%,5.91%,7.45%,
48,永江衣玖,永江衣玖,东方绯想天,241,45,286,<a href='./?m=info&type=chara&id=48' target='_blank'>点击查看详情</a>,18.67%,2.12%,0.41%,208,33,86.31%,13.69%,2.09%,1.92%,
49,比那名居天子,比那名居天子,东方绯想天,1447,276,1723,<a href='./?m=info&type=chara&id=49' target='_blank'>点击查看详情</a>,19.07%,12.75%,2.51%,1300,147,89.84%,10.16%,13.06%,8.55%,
50,琪斯美,キスメ,东方地灵殿,19,1,20,<a href='./?m=info&type=chara&id=50' target='_blank'>点击查看详情</a>,5.26%,0.17%,0.01%,15,4,78.95%,21.05%,0.15%,0.23%,
51,黑谷山女,黒谷ヤマメ,东方地灵殿,54,5,59,<a href='./?m=info&type=chara&id=51' target='_blank'>点击查看详情</a>,9.26%,0.48%,0.05%,45,9,83.33%,16.67%,0.45%,0.52%,
52,水桥帕露西,水橋パルスィ,东方地灵殿,427,67,494,<a href='./?m=info&type=chara&id=52' target='_blank'>点击查看详情</a>,15.69%,3.76%,0.61%,327,100,76.58%,23.42%,3.28%,5.82%,
53,星熊勇仪,星熊勇儀,东方地灵殿,136,11,147,<a href='./?m=info&type=chara&id=53' target='_blank'>点击查看详情</a>,8.09%,1.2%,0.1%,114,22,83.82%,16.18%,1.15%,1.28%,
54,古明地觉,古明地さとり,东方地灵殿,2111,388,2499,<a href='./?m=info&type=chara&id=54' target='_blank'>点击查看详情</a>,18.38%,18.6%,3.53%,1841,270,87.21%,12.79%,18.49%,15.71%,
55,火焰猫燐,火焔猫燐,东方地灵殿,405,40,445,<a href='./?m=info&type=chara&id=55' target='_blank'>点击查看详情</a>,9.88%,3.57%,0.36%,359,46,88.64%,11.36%,3.61%,2.68%,
56,灵乌路空,霊烏路空,东方地灵殿,468,70,538,<a href='./?m=info&type=chara&id=56' target='_blank'>点击查看详情</a>,14.96%,4.12%,0.64%,407,61,86.97%,13.03%,4.09%,3.55%,
57,古明地恋,古明地こいし,东方地灵殿,3004,753,3757,<a href='./?m=info&type=chara&id=57' target='_blank'>点击查看详情</a>,25.07%,26.46%,6.84%,2580,424,85.89%,14.11%,25.92%,24.67%,
58,娜兹玲,ナズーリン,东方星莲船,136,12,148,<a href='./?m=info&type=chara&id=58' target='_blank'>点击查看详情</a>,8.82%,1.2%,0.11%,110,26,80.88%,19.12%,1.1%,1.51%,
59,多多良小伞,多々良小傘,东方星莲船,956,127,1083,<a href='./?m=info&type=chara&id=59' target='_blank'>点击查看详情</a>,13.28%,8.42%,1.15%,894,62,93.51%,6.49%,8.98%,3.61%,
60,云山,雲山,东方星莲船,10,0,10,<a href='./?m=info&type=chara&id=60' target='_blank'>点击查看详情</a>,0%,0.09%,0%,8,2,80%,20%,0.08%,0.12%,
61,云居一轮,雲居一輪,东方星莲船,113,9,122,<a href='./?m=info&type=chara&id=61' target='_blank'>点击查看详情</a>,7.96%,1%,0.08%,84,29,74.34%,25.66%,0.84%,1.69%,
62,村纱水蜜,村紗水蜜,东方星莲船,182,21,203,<a href='./?m=info&type=chara&id=62' target='_blank'>点击查看详情</a>,11.54%,1.6%,0.19%,131,51,71.98%,28.02%,1.32%,2.97%,
63,寅丸星,寅丸星,东方星莲船,84,5,89,<a href='./?m=info&type=chara&id=63' target='_blank'>点击查看详情</a>,5.95%,0.74%,0.05%,58,26,69.05%,30.95%,0.58%,1.51%,
64,圣白莲,聖白蓮,东方星莲船,546,70,616,<a href='./?m=info&type=chara&id=64' target='_blank'>点击查看详情</a>,12.82%,4.81%,0.64%,435,111,79.67%,20.33%,4.37%,6.46%,
65,封兽鵺,封獣ぬえ,东方星莲船,332,38,370,<a href='./?m=info&type=chara&id=65' target='_blank'>点击查看详情</a>,11.45%,2.92%,0.35%,279,53,84.04%,15.96%,2.8%,3.08%,
66,命莲,命蓮,东方星莲船,8,0,8,<a href='./?m=info&type=chara&id=66' target='_blank'>点击查看详情</a>,0%,0.07%,0%,5,3,62.5%,37.5%,0.05%,0.17%,
