id,name,group,vote,first,info,ratio,vratio,fratio,vote1,first1,ratio1,vratio1,fratio1,vote2,first2,ratio2,vratio2,fratio2
89,阿菊,东方深秘录,2,0,<a href='./?m=info&type=chara&id=89' target='_blank'>点击查看详情</a>,0%,0.02%,0%,1,0,0%,0.01%,0%,2,0,0%,0.03%,0%
90,八尺大人,东方深秘录,0,0,<a href='./?m=info&type=chara&id=90' target='_blank'>点击查看详情</a>,0%,0%,0%,0,0,0%,0%,0%,0,0,0%,0%,0%
91,彭祖,东方深秘录,3,0,<a href='./?m=info&type=chara&id=91' target='_blank'>点击查看详情</a>,0%,0.03%,0%,3,0,0%,0.04%,0%,1,0,0%,0.01%,0%
92,黄帝,东方深秘录,6,0,<a href='./?m=info&type=chara&id=92' target='_blank'>点击查看详情</a>,0%,0.05%,0%,4,0,0%,0.05%,0%,2,0,0%,0.03%,0%
93,尼西号,东方深秘录,1,0,<a href='./?m=info&type=chara&id=93' target='_blank'>点击查看详情</a>,0%,0.01%,0%,0,0,0%,0%,0%,1,0,0%,0.01%,0%
94,清兰,东方绀珠传,82,3,<a href='./?m=info&type=chara&id=94' target='_blank'>点击查看详情</a>,3.66%,0.72%,0.03%,47,3,6.38%,0.58%,0.04%,35,1,2.86%,0.52%,0.02%
95,铃瑚,东方绀珠传,32,0,<a href='./?m=info&type=chara&id=95' target='_blank'>点击查看详情</a>,0%,0.28%,0%,29,1,3.45%,0.36%,0.01%,25,1,4%,0.37%,0.02%
96,哆来咪·苏伊特,东方绀珠传,438,60,<a href='./?m=info&type=chara&id=96' target='_blank'>点击查看详情</a>,13.7%,3.86%,0.55%,432,42,9.72%,5.31%,0.53%,415,45,10.84%,6.13%,0.68%
97,稀神探女,东方绀珠传,725,95,<a href='./?m=info&type=chara&id=97' target='_blank'>点击查看详情</a>,13.1%,6.39%,0.86%,573,55,9.6%,7.04%,0.7%,567,56,9.88%,8.37%,0.85%
98,克劳恩皮丝,东方绀珠传,355,25,<a href='./?m=info&type=chara&id=98' target='_blank'>点击查看详情</a>,7.04%,3.13%,0.23%,334,23,6.89%,4.11%,0.29%,344,21,6.1%,5.08%,0.32%
99,纯狐,东方绀珠传,1146,125,<a href='./?m=info&type=chara&id=99' target='_blank'>点击查看详情</a>,10.91%,10.1%,1.14%,724,78,10.77%,8.9%,0.99%,579,71,12.26%,8.55%,1.08%
100,赫卡提亚·拉碧斯拉祖利,东方绀珠传,239,20,<a href='./?m=info&type=chara&id=100' target='_blank'>点击查看详情</a>,8.37%,2.11%,0.18%,217,19,8.76%,2.67%,0.24%,165,9,5.45%,2.44%,0.14%
101,神玉,东方灵异传,11,0,<a href='./?m=info&type=chara&id=101' target='_blank'>点击查看详情</a>,0%,0.1%,0%,5,0,0%,0.06%,0%,2,0,0%,0.03%,0%
102,魅魔,东方灵异传,224,13,<a href='./?m=info&type=chara&id=102' target='_blank'>点击查看详情</a>,5.8%,1.97%,0.12%,130,11,8.46%,1.6%,0.14%,136,10,7.35%,2.01%,0.15%
103,菊理,东方灵异传,11,3,<a href='./?m=info&type=chara&id=103' target='_blank'>点击查看详情</a>,27.27%,0.1%,0.03%,5,0,0%,0.06%,0%,1,0,0%,0.01%,0%
