merge_group_id,canonical_track,source_row_count,sites,mapped_characters
music:b7a4430d6ebac391,Magical and Hopeless,30,"[""cn"", ""jp""]",[]
music:c77b6d8ffa126a37,Magus Night,24,"[""cn"", ""jp""]","[""雾雨魔理沙""]"
music:076a7deb724d4830,Maniacal Princess,30,"[""cn"", ""jp""]",[]
music:337b1485263d835e,Maple Dream...,31,"[""cn"", ""jp""]",[]
music:54856188a56a388d,Maple Wise,31,"[""cn"", ""jp""]",[]
music:eb0576ad2ffaaa54,Midnight Spell Card,20,"[""cn"", ""jp""]","[""鬼人正邪""]"
music:22f2c787cd9d2252,Mist Lake,23,"[""cn"", ""jp""]",[]
music:4a4d37c72697d884,Mushroom·Waltz,15,"[""cn"", ""jp""]",[]
music:ca78d5f4c9e1517c,My Maid,2,"[""cn""]",[]
music:e4e8ca7467222176,My Maid Sweet Maid,8,"[""jp""]",[]
music:0ff097274c45fa69,"My Maid, Sweet Maid",14,"[""cn"", ""jp""]",[]
music:57b9d46c5d134a50,"My Maid, Sweet Maid""",5,"[""jp""]",[]
music:16092b247942adef,"My Maid,Sweet Maid",1,"[""jp""]",[]
music:3739a6069ec419a5,Mysterious Shrine,11,"[""cn"", ""jp""]",[]
music:7e114f6e38be338a,Mystic Dream,29,"[""cn"", ""jp""]",[]
music:4f0ea2efac3ce95d,Native Faith,29,"[""cn"", ""jp""]","[""洩矢诹访子""]"
music:34d64f99d1e9dc80,Necro-Fantasia,29,"[""cn"", ""jp""]","[""八云紫""]"
music:2f26de5a5e4d233b,Newshound,26,"[""cn"", ""jp""]","[""射命丸文""]"
music:95b0fc0bfda7d4ab,Nightmare Diary,13,"[""cn"", ""jp""]","[""宇佐见堇子""]"
music:690960b5fd0f0c42,Occult Attract,6,"[""cn""]",[]
music:a27bb9527f6f8e3b,Oriental Dark Flight,30,"[""cn"", ""jp""]","[""雾雨魔理沙""]"
music:499151f7638dd323,Oriental Magician,28,"[""cn"", ""jp""]",[]
music:7bc424e6c17d92ae,Outsider Cocktail,17,"[""cn"", ""jp""]",[]
music:cdb711a64183f5de,Pandemonic Planet,19,"[""cn"", ""jp""]","[""赫卡提亚·拉碧斯拉祖利""]"
music:ca5ea4ec57b2b2e1,Peaceful,26,"[""cn"", ""jp""]",[]
music:4bce36d5251cc706,Peaceful Romancer,31,"[""cn"", ""jp""]",[]
music:f909d659487b8df4,Phantasmagoria,30,"[""cn"", ""jp""]",[]
music:2afe2e098a47b8ed,Plain Asia,31,"[""cn"", ""jp""]","[""上白泽慧音""]"
music:68fbaeb6f272d8fd,Plastic Mind,31,"[""cn"", ""jp""]",[]
music:8445975e58a800e5,Plastic Space,28,"[""cn"", ""jp""]",[]
music:34b8f946afb9a268,Player's Score,29,"[""cn"", ""jp""]",[]
music:2059b287ace80e43,Primrose Shiver,29,"[""cn"", ""jp""]",[]
music:7bcd103486bdc624,Pure Furies,19,"[""cn"", ""jp""]","[""纯狐""]"
music:f7c13cce13f8454e,Reincarnation,31,"[""cn"", ""jp""]",[]
music:abcfb85813692995,Reverse Ideology,23,"[""cn"", ""jp""]","[""鬼人正邪""]"
music:1ac9a93ec9694a4d,Rigid Paradise,23,"[""cn"", ""jp""]","[""宫古芳香""]"
music:0cd165b5198e6653,Romantic Children,31,"[""cn"", ""jp""]",[]
music:bb8d63e650441ffb,Sacred Battle,31,"[""cn"", ""jp""]",[]
music:df4162fdf37d9971,Sailor of Time,31,"[""cn"", ""jp""]",[]
music:ca4067071fcf6185,Selection,28,"[""cn"", ""jp""]",[]
music:b1d726eed3e2144b,Selene's light,31,"[""cn"", ""jp""]",[]
