round,source_rank,source_record_id,raw_title_jp,raw_title_cn,canonical_track,merge_basis,mapped_character,matched_existing_repaired_mapping,mapped_by_character_theme_overlay
21,42.0,9,ラクトガール ~ 少女密室,Locked Girl ~ 少女密室,Locked Girl,official_jp_user_repaired_exact,帕秋莉·诺蕾姬,True,False
21,43.0,747,あの賑やかな市場は今どこに 〜 Immemorial Marketeers,熙攘市场今何在 ~ Immemorial Marketeers,熙攘市场今何在,official_jp_user_repaired_exact,天弓千亦,True,False
21,44.0,31,ボーダーオブライフ,Border of Life,Border of Life,official_jp_user_repaired_exact,西行寺幽幽子,True,False
21,45.0,793,世界は可愛く出来ている,世间万物皆可爱,世间万物皆可爱,official_jp_user_repaired_exact,博丽灵梦,True,False
21,46.0,374,秘神マターラ ~ Hidden Star in All Seasons.,秘神摩多罗 ~ Hidden Star in All Seasons.,秘神摩多罗,official_jp_user_repaired_exact,摩多罗隐岐奈,True,False
21,47.0,127,少女が見た日本の原風景,少女曾见的日本原风景,少女曾见的日本原风景,official_jp_user_repaired_exact,东风谷早苗,True,False
21,48.0,589,蓬莱伝説,蓬莱传说,蓬莱传说,official_jp_repaired_exact,,True,False
21,49.0,250,聖徳伝説 ~ True Administrator,圣德传说 ~ True Administrator,圣德传说,official_jp_user_repaired_exact,丰聪耳神子,True,False
21,50.0,126,妖怪の山 ~ Mysterious Mountain,妖怪之山 ~ Mysterious Mountain,妖怪之山,official_jp_user_repaired_exact,姬海棠果|射命丸文,True,False
21,51.0,2,ほおずきみたいに紅い魂,如鬼灯般的红色之魂,如鬼灯般的红色之魂,official_jp_repaired_exact,,True,False
21,52.0,131,明日ハレの日、ケの昨日,"明日之盛,昨日之俗","明日之盛,昨日之俗",official_jp_user_repaired_exact,洩矢诹访子,True,False
21,53.0,235,メイガスナイト,Magus Night,Magus Night,official_jp_user_repaired_exact,雾雨魔理沙,True,False
21,54.0,27,東方妖々夢 ~ Ancient Temple,东方妖妖梦 ~ Ancient Temple,东方妖妖梦,official_jp_user_repaired_exact,魂魄妖梦,True,False
21,55.0,176,廃獄ララバイ,废狱摇篮曲,废狱摇篮曲,official_jp_user_repaired_exact,火焰猫燐,True,False
21,56.0,346,故郷の星が映る海,故乡之星倒映之海,故乡之星倒映之海,official_jp_user_repaired_exact,纯狐,True,False
21,57.0,124,芥川龍之介の河童 ~ Candid Friend,芥川龙之介的河童 ~ Candid Friend,芥川龙之介的河童,official_jp_user_repaired_exact,河城荷取,True,False
21,58.0,50,ヴォヤージュ1969,Voyage1969,Voyage1969,official_jp_user_repaired_exact,蓬莱山辉夜|八意永琳,True,False
21,59.0,349,パンデモニックプラネット,Pandemonic Planet,Pandemonic Planet,official_jp_user_repaired_exact,赫卡提亚·拉碧斯拉祖利,True,False
21,60.0,613,童祭 ~ Innocent Treasures,童祭 ~ Innocent Treasures,童祭 ~ Innocent Treasures,official_jp_repaired_exact,,True,False
21,61.0,121,厄神様の通り道 ~ Dark Road,厄神降临之路 ~ Dark Road,厄神降临之路,official_jp_user_repaired_exact,键山雏,True,False
21,62.0,372,秘匿されたフォーシーズンズ,被秘匿的四个季节,被秘匿的四个季节,official_jp_user_repaired_exact,摩多罗隐岐奈,True,False
21,63.0,624,ヒロシゲ36号 ~ Neo Super-Express,广重36号 ~ Neo Super-Express,广重36号 ~ Neo Super-Express,official_jp_repaired_exact,,True,False
21,64.0,199,平安のエイリアン,平安时代的外星人,平安时代的外星人,official_jp_user_repaired_exact,封兽鵺,True,False
21,65.0,150,有頂天変 ~ Wonderful Heaven,有顶天变 ~ Wonderful Heaven,有顶天变,official_jp_user_repaired_exact,比那名居天子,True,False
21,66.0,130,神さびた古戦場 ~ Suwa Foughten Field,神圣庄严的古战场 ~ Suwa Foughten Field,神圣庄严的古战场,official_jp_user_repaired_exact,八坂神奈子,True,False
21,67.0,21,遠野幻想物語,远野幻想物语,远野幻想物语,official_jp_user_repaired_exact,橙,True,False
21,68.0,33,少女幻葬 ~ Necro-Fantasy,少女幻葬 ~ Necro-Fantasy,少女幻葬,official_jp_user_repaired_exact,八云蓝,True,False
21,69.0,288,リバースイデオロギー,Reverse Ideology,Reverse Ideology,official_jp_user_repaired_exact,鬼人正邪,True,False
21,70.0,25,天空の花の都,天空的花都,天空的花都,official_jp_user_repaired_exact,莉莉白,True,False
21,70.0,186,春の湊に,春之港湾,春之港湾,official_jp_user_repaired_exact,娜兹玲,True,False
21,72.0,292,始原のビート ~ Pristine Beat,原初的节拍 ~ Pristine Beat,原初的节拍,official_jp_user_repaired_exact,堀川雷鼓,True,False
21,73.0,550,不思議の国のアリス,不可思议之国的爱丽丝,不可思议之国的爱丽丝,official_jp_user_repaired_exact,爱丽丝·玛格特洛依德,True,False
21,74.0,9004,二色蓮花蝶,二色莲花蝶,二色莲花蝶,official_jp_user_repaired_exact,灵梦,True,False
21,75.0,42,もう歌しか聞こえない,已经只能听见歌声了,已经只能听见歌声了,official_jp_user_repaired_exact,米斯蒂娅·萝蕾拉,True,False
21,76.0,54,エクステンドアッシュ ~ 蓬莱人,Extend Ash ~ 蓬莱人,Extend Ash ~ 蓬莱人,official_jp_repaired_exact,,True,False
21,77.0,345,星条旗のピエロ,星条旗的小丑,星条旗的小丑,official_jp_user_repaired_exact,克劳恩皮丝,True,False
21,78.0,8,ヴワル魔法図書館,伏瓦鲁魔法图书馆,伏瓦鲁魔法图书馆,official_jp_user_repaired_exact,帕秋莉·诺蕾姬,True,False
21,78.0,122,運命のダークサイド,命运的阴暗面,命运的阴暗面,official_jp_user_repaired_exact,键山雏,True,False
21,80.0,636,天空のグリニッジ,天空的格林尼治,天空的格林尼治,official_jp_repaired_exact,,True,False
21,81.0,4,ルーネイトエルフ,Lunate Elf,Lunate Elf,official_jp_user_repaired_exact,大妖精,True,False
21,82.0,171,緑眼のジェラシー,绿眼的嫉妒,绿眼的嫉妒,official_jp_user_repaired_exact,水桥帕露西,True,False
21,83.0,370,クレイジーバックダンサーズ,Crazy Back Dancers,Crazy Back Dancers,official_jp_user_repaired_exact,尔子田里乃|丁礼田舞,True,False
21,84.0,120,稲田姫様に叱られるから,会受稻田姬的斥责啦,会受稻田姬的斥责啦,official_jp_user_repaired_exact,秋穰子,True,False
21,85.0,43,懐かしき東方の血 ~ Old World,令人怀念的东方之血 ~ Old World,令人怀念的东方之血,official_jp_user_repaired_exact,上白泽慧音,True,False
21,86.0,37,さくらさくら ~ Japanize Dream...,樱花樱花 ~ Japanize Dream...,樱花樱花 ~ Japanize Dream...,official_jp_repaired_exact,,True,False
21,87.0,153,東方緋想天,东方绯想天,东方绯想天,official_jp_repaired_exact,,True,False
21,88.0,834,プレステ・ジョアンの黄金境,,プレステ・ジョアンの黄金境,official_jp_exact_title,,False,False
21,89.0,44,プレインエイジア,Plain Asia,Plain Asia,official_jp_user_repaired_exact,上白泽慧音,True,False
21,90.0,189,万年置き傘にご注意を,请注意万年备用伞,请注意万年备用伞,official_jp_user_repaired_exact,多多良小伞,True,False
21,91.0,490,夢消失 ~ Lost Dream,梦消失 ~ Lost Dream,梦消失 ~ Lost Dream,official_jp_repaired_exact,,True,False
21,92.0,48,シンデレラケージ ~ Kagome-Kagome,灰姑娘的笼子 ~ Kagome-Kagome,灰姑娘的笼子,official_jp_user_repaired_exact,因幡天为(因幡帝),True,False
21,93.0,266,亡失のエモーション,亡失的情感,亡失的情感,official_jp_user_repaired_exact,秦心,True,False
21,94.0,341,永遠の春夢,永远的春梦,永远的春梦,official_jp_user_repaired_exact,哆来咪·苏伊特,True,False
21,95.0,12,ツェペシュの幼き末裔,特佩斯的年幼末裔,特佩斯的年幼末裔,official_jp_repaired_exact,,True,False
21,96.0,23,ブクレシュティの人形師,布加勒斯特的人偶师,布加勒斯特的人偶师,official_jp_user_repaired_exact,爱丽丝·玛格特洛依德,True,False
21,97.0,246,古きユアンシェン,古老的元神,古老的元神,official_jp_user_repaired_exact,霍青娥,True,False
21,98.0,344,遥か38万キロのボヤージュ,遥遥38万公里的航程,遥遥38万公里的航程,official_jp_user_repaired_exact,克劳恩皮丝,True,False
21,99.0,45,永夜の報い ~ Imperishable Night,永夜的报应 ~ Imperishable Night,永夜的报应 ~ Imperishable Night,official_jp_repaired_exact,,True,False
21,100.0,598,リーインカーネイション,Reincarnation,Reincarnation,official_jp_repaired_exact,,True,False
21,101.0,74,Demystify Feast,Demystify Feast,Demystify Feast,official_jp_repaired_exact,,True,False
