round,group,question_index,question_id,question,multi,option_index,option,all_count,male_count,female_count,sum_count,all_percent,male_percent,female_percent,total_all,total_male,total_female,total_diff
6,1,0,3,您正式接触东方Project多久,0,0,不到一个月,48,37,11,48,0.62,0.6,0.72,7759,6218,1538,3
6,1,0,3,您正式接触东方Project多久,0,1,半年以内,410,305,104,409,5.28,4.91,6.76,7759,6218,1538,3
6,1,0,3,您正式接触东方Project多久,0,2,半年到一年（2016年下半年或之后）,1214,1002,211,1213,15.65,16.11,13.72,7759,6218,1538,3
6,1,0,3,您正式接触东方Project多久,0,3,一年到三年（2014年或之后）,3344,2746,598,3344,43.1,44.16,38.88,7759,6218,1538,3
6,1,0,3,您正式接触东方Project多久,0,4,三年到五年（2012年或之后）,1691,1348,342,1690,21.79,21.68,22.24,7759,6218,1538,3
6,1,0,3,您正式接触东方Project多久,0,5,五年到七年（2010年或之后）,765,561,204,765,9.86,9.02,13.26,7759,6218,1538,3
6,1,0,3,您正式接触东方Project多久,0,6,七年到十年（2007年或之后）,249,187,62,249,3.21,3.01,4.03,7759,6218,1538,3
6,1,0,3,您正式接触东方Project多久,0,7,十年以上,38,32,6,38,0.49,0.51,0.39,7759,6218,1538,3
6,1,1,4,您的受教育程度,0,0,小学及以下,33,19,14,33,0.43,0.31,0.91,7758,6217,1538,3
6,1,1,4,您的受教育程度,0,1,初中,778,509,268,777,10.03,8.19,17.43,7758,6217,1538,3
6,1,1,4,您的受教育程度,0,2,高中,3076,2433,641,3074,39.65,39.13,41.68,7758,6217,1538,3
6,1,1,4,您的受教育程度,0,3,大学及以上,3746,3154,592,3746,48.29,50.73,38.49,7758,6217,1538,3
6,1,1,4,您的受教育程度,0,4,其他,125,102,23,125,1.61,1.64,1.5,7758,6217,1538,3
6,1,2,5,您的工作类型是,0,0,在校学生,6483,5165,1316,6481,83.6,83.11,85.62,7755,6215,1537,3
6,1,2,5,您的工作类型是,0,1,固定工作者,753,624,129,753,9.71,10.04,8.39,7755,6215,1537,3
6,1,2,5,您的工作类型是,0,2,自由职业者,223,187,35,222,2.88,3.01,2.28,7755,6215,1537,3
6,1,2,5,您的工作类型是,0,3,待业/无业/失业,163,135,28,163,2.1,2.17,1.82,7755,6215,1537,3
6,1,2,5,您的工作类型是,0,4,其他,133,104,29,133,1.72,1.67,1.89,7755,6215,1537,3
6,2,0,1,您更喜欢官方游戏中的哪一类,0,0,STG（射击类）,3259,2550,708,3258,42.06,41.08,46.03,7749,6208,1538,3
6,2,0,1,您更喜欢官方游戏中的哪一类,0,1,FTG（格斗类）,1136,973,163,1136,14.66,15.67,10.6,7749,6208,1538,3
6,2,0,1,您更喜欢官方游戏中的哪一类,0,2,都喜欢,3148,2530,617,3147,40.62,40.75,40.12,7749,6208,1538,3
6,2,0,1,您更喜欢官方游戏中的哪一类,0,3,对官方游戏不感兴趣，也不会去玩,206,155,50,205,2.66,2.5,3.25,7749,6208,1538,3
6,2,1,1,您是否玩过旧五作,0,0,玩过,2434,1886,548,2434,32.28,31.17,36.85,7540,6051,1487,2
6,2,1,1,您是否玩过旧五作,0,1,并未玩过,5068,4134,932,5066,67.21,68.32,62.68,7540,6051,1487,2
6,2,1,1,您是否玩过旧五作,0,2,不知道旧五作是什么,38,31,7,38,0.5,0.51,0.47,7540,6051,1487,2
6,2,2,2,您是否玩过 东方天空璋,0,0,玩过,4149,3329,819,4148,53.68,53.74,53.49,7729,6195,1531,3
6,2,2,2,您是否玩过 东方天空璋,0,1,未玩过,3548,2841,705,3546,45.91,45.86,46.05,7729,6195,1531,3
6,2,2,2,您是否玩过 东方天空璋,0,2,不知道是什么,32,25,7,32,0.41,0.4,0.46,7729,6195,1531,3
6,2,3,3,您是否玩过 东方凭依华 体验版,0,0,玩过,1042,864,178,1042,13.49,13.96,11.63,7723,6190,1530,3
6,2,3,3,您是否玩过 东方凭依华 体验版,0,1,未玩过,6530,5204,1323,6527,84.55,84.07,86.47,7723,6190,1530,3
