round,category,ballots
17,character,40363
17,music,30104
17,work,23047
18,character,51652
18,music,37659
18,work,28558
19,character,52447
19,music,36451
19,work,28171
20,character,56855
20,music,37742
20,work,29083
21,character,58509
21,music,37970
21,work,29791
22,character,64454
22,music,43305
22,work,34468
