site,character,character_score,character_total_score,character_rate,character_z,has_music_association,music_count,weight_sum,music_weighted_z_sum,music_weighted_z_mean,music_weighted_rate_sum,music_weighted_rate_mean,music_total_score
cn,博丽灵梦,4825,89467.0,0.05393049951378721,4.557564749748451,True,3,2.25,2.0210989675649187,0.8982662078066306,0.0179824749106627,0.007992211071405644,93466.0
cn,雾雨魔理沙,4671,89467.0,0.0522091944515855,4.388539144445844,True,5,2.75,-0.15233823800693064,-0.05539572291161114,0.009155735775576145,0.0033293584638458707,93466.0
cn,古明地恋,4137,89467.0,0.04624051326187309,3.802437370214729,True,2,1.75,4.709859750843402,2.691348429053373,0.029328846853401237,0.01675934105908642,93466.0
cn,芙兰朵露·斯卡蕾特,3140,89467.0,0.035096739579956855,2.708161211210193,True,3,2.25,3.222973596250137,1.4324327094445053,0.023858943359082445,0.010603974826258864,93466.0
cn,古明地觉,2825,89467.0,0.03157588831636246,2.362427018545771,True,1,1.0,2.012065363019696,2.012065363019696,0.013438041640810562,0.013438041640810562,93466.0
cn,蕾米莉亚·斯卡蕾特,2760,89467.0,0.030849363452446155,2.2910850422816837,True,1,1.0,2.1805575731403364,2.1805575731403364,0.014261870626751974,0.014261870626751974,93466.0
cn,十六夜咲夜,2569,89467.0,0.02871449808309209,2.0814493889518277,True,3,2.25,1.0095986542108137,0.4487105129825839,0.013036826225579355,0.0057941449891463805,93466.0
cn,琪露诺,2343,89467.0,0.026188427017783095,1.8333988253259246,True,2,1.75,0.33890923505146153,0.1936624200294066,0.007957439068752273,0.004547108039287013,93466.0
cn,东风谷早苗,2114,89467.0,0.02362882403567796,1.5820555551032176,True,2,1.75,2.3794155459280497,1.3596660262445999,0.017934329060834957,0.010248188034762833,93466.0
cn,魂魄妖梦,1999,89467.0,0.022343433891826036,1.4558351355590633,True,2,1.75,-0.239872447765544,-0.13706997015173944,0.005127533006654826,0.002930018860945615,93466.0
cn,射命丸文,1976,89467.0,0.022086355863055653,1.4305910516502327,True,5,2.75,0.5889180759978356,0.2141520276355766,0.012780048359831384,0.0046472903126659575,93466.0
cn,西行寺幽幽子,1901,89467.0,0.021248057943152224,1.348273386730132,True,4,2.5,2.380787519191246,0.9523150076764985,0.020641195728928165,0.008256478291571267,93466.0
cn,比那名居天子,1804,89467.0,0.020163859300077122,1.2418092067668018,True,2,1.75,-0.0708331850146415,-0.04047610572265229,0.005954036762031114,0.0034023067211606363,93466.0
cn,爱丽丝·玛格特洛依德,1796,89467.0,0.020074440855287423,1.2330286558419912,True,4,2.5,-0.18324815884590392,-0.07329926353836157,0.008104551387670382,0.0032418205550681528,93466.0
cn,藤原妹红,1789,89467.0,0.01999619971609644,1.225345673782782,True,1,1.0,3.4190847280530963,3.4190847280530963,0.020317548627308325,0.020317548627308325,93466.0
cn,铃仙·优昙华院·因幡,1689,89467.0,0.0188784691562252,1.115588787222648,True,1,1.0,0.72977399768599,0.72977399768599,0.007168382085464233,0.007168382085464233,93466.0
cn,八云紫,1620,89467.0,0.018107235069914046,1.0398565354961553,True,3,2.25,-0.3881208161081361,-0.17249814049250492,0.0062027903194744605,0.0027567956975442045,93466.0
cn,帕秋莉·诺蕾姬,1609,89467.0,0.017984284708328212,1.0277832779745406,True,3,2.25,0.4751282344450157,0.21116810419778476,0.010423576487706759,0.004632700661203004,93466.0
cn,秦心,1354,89467.0,0.015134071780656556,0.7479032172461987,True,1,1.0,-0.18489800011177285,-0.18489800011177285,0.0026961675903537114,0.0026961675903537114,93466.0
cn,蓬莱山辉夜,1182,89467.0,0.013211575217678026,0.559121372362768,True,3,2.25,3.3772424379839703,1.5009966391039868,0.024613228339717116,0.010939212595429829,93466.0
cn,纯狐,1178,89467.0,0.013166865995283177,0.5547310969003627,True,2,1.75,3.809411121432447,2.1768063551042554,0.02492617636359746,0.014243529350627119,93466.0
cn,多多良小伞,1078,89467.0,0.01204913543541194,0.44497421034022866,True,1,1.0,-0.17614515802758376,-0.17614515802758376,0.0027389639013117068,0.0027389639013117068,93466.0
cn,四季映姬·夜摩仙那度,1034,89467.0,0.011557333989068596,0.3966811802537697,True,1,1.0,0.8873251552013942,0.8873251552013942,0.007938715682708151,0.007938715682708151,93466.0
cn,依神紫苑,1003,89467.0,0.011210837515508512,0.36265654542012815,True,1,1.0,2.550365151197327,2.550365151197327,0.016070014764727282,0.016070014764727282,93466.0
cn,伊吹萃香,994,89467.0,0.0111102417651201,0.3527784256297161,True,3,2.25,1.7656253892326488,0.7847223952145106,0.01673335758457621,0.007437047815367205,93466.0
cn,风见幽香,969,89467.0,0.010830809125152292,0.32533920398968263,True,1,1.0,-0.3380727365850824,-0.3380727365850824,0.0019472321485887916,0.0019472321485887916,93466.0
cn,洩矢诹访子,947,89467.0,0.010584908401980618,0.30119268894645296,True,2,1.75,0.6337706027625823,0.36215463015004706,0.009399139794149745,0.005370937025228425,93466.0
