id,name,jpname,group,vote,first,weight,info,ratio,vratio,fratio,male,female,hmratio,hfratio,hmaratio,hfaratio,vvratio
1,博丽灵梦,博麗霊夢,主角,2582,513,3095,<a href='./?m=info&type=chara&id=1' target='_blank'>点击查看详情</a>,19.87%,34.68%,7.12%,2080,501,80.56%,19.4%,33.44%,32.53%,
2,雾雨魔理沙,霧雨魔理沙,主角,2047,381,2428,<a href='./?m=info&type=chara&id=2' target='_blank'>点击查看详情</a>,18.61%,27.49%,5.29%,1600,445,78.16%,21.74%,25.72%,28.9%,
3,露米娅,ルーミア,东方红魔乡,366,47,413,<a href='./?m=info&type=chara&id=3' target='_blank'>点击查看详情</a>,12.84%,4.92%,0.65%,315,51,86.07%,13.93%,5.06%,3.31%,
4,大妖精,大妖精,东方红魔乡,217,13,230,<a href='./?m=info&type=chara&id=4' target='_blank'>点击查看详情</a>,5.99%,2.91%,0.18%,179,38,82.49%,17.51%,2.88%,2.47%,
5,琪露诺,チルノ,东方红魔乡,1103,197,1300,<a href='./?m=info&type=chara&id=5' target='_blank'>点击查看详情</a>,17.86%,14.81%,2.73%,944,158,85.58%,14.32%,15.18%,10.26%,
6,红美铃,紅美鈴,东方红魔乡,538,86,624,<a href='./?m=info&type=chara&id=6' target='_blank'>点击查看详情</a>,15.99%,7.23%,1.19%,423,114,78.62%,21.19%,6.8%,7.4%,
7,小恶魔,小悪魔,东方红魔乡,110,6,116,<a href='./?m=info&type=chara&id=7' target='_blank'>点击查看详情</a>,5.45%,1.48%,0.08%,91,19,82.73%,17.27%,1.46%,1.23%,
8,帕秋莉·诺蕾姬,パチュリー·ノーレッジ,东方红魔乡,870,142,1012,<a href='./?m=info&type=chara&id=8' target='_blank'>点击查看详情</a>,16.32%,11.68%,1.97%,721,149,82.87%,17.13%,11.59%,9.68%,
9,十六夜咲夜,十六夜咲夜,东方红魔乡,1574,297,1871,<a href='./?m=info&type=chara&id=9' target='_blank'>点击查看详情</a>,18.87%,21.14%,4.12%,1257,315,79.86%,20.01%,20.21%,20.45%,
10,蕾米莉亚·斯卡蕾特,レミリア·スカーレット,东方红魔乡,1456,263,1719,<a href='./?m=info&type=chara&id=10' target='_blank'>点击查看详情</a>,18.06%,19.55%,3.65%,1179,277,80.98%,19.02%,18.95%,17.99%,
11,芙兰朵露·斯卡蕾特,フランドール·スカーレット,东方红魔乡,1086,212,1298,<a href='./?m=info&type=chara&id=11' target='_blank'>点击查看详情</a>,19.52%,14.59%,2.94%,869,215,80.02%,19.8%,13.97%,13.96%,
12,冴月麟,さつき りん,东方红魔乡,141,16,157,<a href='./?m=info&type=chara&id=12' target='_blank'>点击查看详情</a>,11.35%,1.89%,0.22%,114,27,80.85%,19.15%,1.83%,1.75%,
13,蕾蒂·霍瓦特洛克,レティ·ホワイトロック,东方妖妖梦,59,8,67,<a href='./?m=info&type=chara&id=13' target='_blank'>点击查看详情</a>,13.56%,0.79%,0.11%,43,16,72.88%,27.12%,0.69%,1.04%,
14,橙,橙,东方妖妖梦,134,9,143,<a href='./?m=info&type=chara&id=14' target='_blank'>点击查看详情</a>,6.72%,1.8%,0.12%,112,22,83.58%,16.42%,1.8%,1.43%,
15,爱丽丝·玛格特洛依德,アリス·マーガトロイド,东方妖妖梦,1182,220,1402,<a href='./?m=info&type=chara&id=15' target='_blank'>点击查看详情</a>,18.61%,15.87%,3.05%,929,253,78.6%,21.4%,14.94%,16.43%,
16,莉莉白,リリーホワイト,东方妖妖梦,116,9,125,<a href='./?m=info&type=chara&id=16' target='_blank'>点击查看详情</a>,7.76%,1.56%,0.12%,103,13,88.79%,11.21%,1.66%,0.84%,
17,露娜萨·普莉兹姆利巴,ルナサ·プリズムリバー,东方妖妖梦,48,1,49,<a href='./?m=info&type=chara&id=17' target='_blank'>点击查看详情</a>,2.08%,0.64%,0.01%,39,9,81.25%,18.75%,0.63%,0.58%,
18,梅露兰·普莉兹姆利巴,メルラン·プリズムリバー,东方妖妖梦,23,2,25,<a href='./?m=info&type=chara&id=18' target='_blank'>点击查看详情</a>,8.7%,0.31%,0.03%,18,5,78.26%,21.74%,0.29%,0.32%,
19,莉莉卡·普莉兹姆利巴,リリカ·プリズムリバー,东方妖妖梦,23,2,25,<a href='./?m=info&type=chara&id=19' target='_blank'>点击查看详情</a>,8.7%,0.31%,0.03%,19,4,82.61%,17.39%,0.31%,0.26%,
20,魂魄妖梦,魂魄妖夢,东方妖妖梦,1197,210,1407,<a href='./?m=info&type=chara&id=20' target='_blank'>点击查看详情</a>,17.54%,16.08%,2.91%,1050,147,87.72%,12.28%,16.88%,9.55%,
21,西行寺幽幽子,西行寺幽々子,东方妖妖梦,1450,351,1801,<a href='./?m=info&type=chara&id=21' target='_blank'>点击查看详情</a>,24.21%,19.47%,4.87%,1199,250,82.69%,17.24%,19.28%,16.23%,
22,八云蓝,八雲藍,东方妖妖梦,215,24,239,<a href='./?m=info&type=chara&id=22' target='_blank'>点击查看详情</a>,11.16%,2.89%,0.33%,185,30,86.05%,13.95%,2.97%,1.95%,
23,八云紫,八雲紫,东方妖妖梦,1512,276,1788,<a href='./?m=info&type=chara&id=23' target='_blank'>点击查看详情</a>,18.25%,20.31%,3.83%,1225,286,81.02%,18.92%,19.69%,18.57%,
24,魂魄妖忌,魂魄妖忌,东方妖妖梦,37,2,39,<a href='./?m=info&type=chara&id=24' target='_blank'>点击查看详情</a>,5.41%,0.5%,0.03%,34,3,91.89%,8.11%,0.55%,0.19%,
25,蕾拉·普莉兹姆利巴,レイラ·プリズムリバー,东方妖妖梦,25,2,27,<a href='./?m=info&type=chara&id=25' target='_blank'>点击查看详情</a>,8%,0.34%,0.03%,15,10,60%,40%,0.24%,0.65%,
26,伊吹萃香,伊吹萃香,东方萃梦想,639,91,730,<a href='./?m=info&type=chara&id=26' target='_blank'>点击查看详情</a>,14.24%,8.58%,1.26%,555,84,86.85%,13.15%,8.92%,5.45%,
27,莉格露·奈特巴格,リグル·ナイトバグ,东方永夜抄,49,13,62,<a href='./?m=info&type=chara&id=27' target='_blank'>点击查看详情</a>,26.53%,0.66%,0.18%,32,17,65.31%,34.69%,0.51%,1.1%,
28,米斯蒂娅·萝蕾拉,ミスティア·ローレライ,东方永夜抄,157,27,184,<a href='./?m=info&type=chara&id=28' target='_blank'>点击查看详情</a>,17.2%,2.11%,0.37%,142,15,90.45%,9.55%,2.28%,0.97%,
29,上白泽慧音,上白沢慧音,东方永夜抄,381,26,407,<a href='./?m=info&type=chara&id=29' target='_blank'>点击查看详情</a>,6.82%,5.12%,0.36%,269,112,70.6%,29.4%,4.32%,7.27%,
30,因幡帝,因幡てゐ,东方永夜抄,170,19,189,<a href='./?m=info&type=chara&id=30' target='_blank'>点击查看详情</a>,11.18%,2.28%,0.26%,137,33,80.59%,19.41%,2.2%,2.14%,
31,铃仙·优昙华院·因幡,鈴仙·優曇華院·イナバ,东方永夜抄,883,134,1017,<a href='./?m=info&type=chara&id=31' target='_blank'>点击查看详情</a>,15.18%,11.86%,1.86%,757,125,85.73%,14.16%,12.17%,8.12%,
32,八意永琳,八意永琳,东方永夜抄,386,46,432,<a href='./?m=info&type=chara&id=32' target='_blank'>点击查看详情</a>,11.92%,5.18%,0.64%,274,112,70.98%,29.02%,4.41%,7.27%,
33,蓬莱山辉夜,蓬莱山輝夜,东方永夜抄,869,138,1007,<a href='./?m=info&type=chara&id=33' target='_blank'>点击查看详情</a>,15.88%,11.67%,1.92%,672,196,77.33%,22.55%,10.8%,12.73%,
34,藤原妹红,藤原妹紅,东方永夜抄,1344,252,1596,<a href='./?m=info&type=chara&id=34' target='_blank'>点击查看详情</a>,18.75%,18.05%,3.5%,1002,342,74.55%,25.45%,16.11%,22.21%,
35,射命丸文,射命丸文,东方花映塚,1237,269,1506,<a href='./?m=info&type=chara&id=35' target='_blank'>点击查看详情</a>,21.75%,16.61%,3.73%,1047,190,84.64%,15.36%,16.83%,12.34%,
36,梅蒂欣·梅兰可莉,メディスン·メランコリー,东方花映塚,74,6,80,<a href='./?m=info&type=chara&id=36' target='_blank'>点击查看详情</a>,8.11%,0.99%,0.08%,58,16,78.38%,21.62%,0.93%,1.04%,
37,风见幽香,風見幽香,东方花映塚,719,134,853,<a href='./?m=info&type=chara&id=37' target='_blank'>点击查看详情</a>,18.64%,9.66%,1.86%,568,150,79%,20.86%,9.13%,9.74%,
38,小野塚小町,小野塚小町,东方花映塚,162,8,170,<a href='./?m=info&type=chara&id=38' target='_blank'>点击查看详情</a>,4.94%,2.18%,0.11%,114,48,70.37%,29.63%,1.83%,3.12%,
39,四季映姬·亚玛萨那度,四季映姫·ヤマザナドゥ,东方花映塚,600,100,700,<a href='./?m=info&type=chara&id=39' target='_blank'>点击查看详情</a>,16.67%,8.06%,1.39%,463,136,77.17%,22.67%,7.44%,8.83%,
40,秋静叶,秋静葉,东方风神录,94,7,101,<a href='./?m=info&type=chara&id=40' target='_blank'>点击查看详情</a>,7.45%,1.26%,0.1%,83,11,88.3%,11.7%,1.33%,0.71%,
41,秋穰子,秋穣子,东方风神录,96,9,105,<a href='./?m=info&type=chara&id=41' target='_blank'>点击查看详情</a>,9.38%,1.29%,0.12%,82,14,85.42%,14.58%,1.32%,0.91%,
42,键山雏,鍵山雛,东方风神录,508,91,599,<a href='./?m=info&type=chara&id=42' target='_blank'>点击查看详情</a>,17.91%,6.82%,1.26%,421,87,82.87%,17.13%,6.77%,5.65%,
43,河城荷取,河城にとり,东方风神录,193,15,208,<a href='./?m=info&type=chara&id=43' target='_blank'>点击查看详情</a>,7.77%,2.59%,0.21%,153,40,79.27%,20.73%,2.46%,2.6%,
44,犬走椛,犬走椛,东方风神录,279,30,309,<a href='./?m=info&type=chara&id=44' target='_blank'>点击查看详情</a>,10.75%,3.75%,0.42%,246,33,88.17%,11.83%,3.95%,2.14%,
45,东风谷早苗,東風谷早苗,东方风神录,1180,214,1394,<a href='./?m=info&type=chara&id=45' target='_blank'>点击查看详情</a>,18.14%,15.85%,2.97%,1009,171,85.51%,14.49%,16.22%,11.1%,
46,八坂神奈子,八坂神奈子,东方风神录,153,19,172,<a href='./?m=info&type=chara&id=46' target='_blank'>点击查看详情</a>,12.42%,2.05%,0.26%,111,42,72.55%,27.45%,1.78%,2.73%,
47,洩矢诹访子,洩矢諏訪子,东方风神录,556,65,621,<a href='./?m=info&type=chara&id=47' target='_blank'>点击查看详情</a>,11.69%,7.47%,0.9%,448,108,80.58%,19.42%,7.2%,7.01%,
