id,name,group,vote,first,info,ratio,vratio,fratio,vote1,first1,ratio1,vratio1,fratio1,vote2,first2,ratio2,vratio2,fratio2
1,博丽灵梦,主角,2582,513,<a href='./?m=info&type=chara&id=1' target='_blank'>点击查看详情</a>,19.87%,34.68%,7.12%,2855,660,23.12%,39.13%,9.34%,2290,543,23.71%,38.89%,9.66%
2,雾雨魔理沙,主角,2047,381,<a href='./?m=info&type=chara&id=2' target='_blank'>点击查看详情</a>,18.61%,27.49%,5.29%,1984,345,17.39%,27.19%,4.88%,1583,307,19.39%,26.89%,5.46%
3,露米娅,东方红魔乡,366,47,<a href='./?m=info&type=chara&id=3' target='_blank'>点击查看详情</a>,12.84%,4.92%,0.65%,423,45,10.64%,5.8%,0.64%,241,21,8.71%,4.09%,0.37%
4,大妖精,东方红魔乡,217,13,<a href='./?m=info&type=chara&id=4' target='_blank'>点击查看详情</a>,5.99%,2.91%,0.18%,212,9,4.25%,2.91%,0.13%,127,2,1.57%,2.16%,0.04%
5,琪露诺,东方红魔乡,1103,197,<a href='./?m=info&type=chara&id=5' target='_blank'>点击查看详情</a>,17.86%,14.81%,2.73%,1104,177,16.03%,15.13%,2.5%,752,128,17.02%,12.77%,2.28%
6,红美铃,东方红魔乡,538,86,<a href='./?m=info&type=chara&id=6' target='_blank'>点击查看详情</a>,15.99%,7.23%,1.19%,596,80,13.42%,8.17%,1.13%,450,64,14.22%,7.64%,1.14%
7,小恶魔,东方红魔乡,110,6,<a href='./?m=info&type=chara&id=7' target='_blank'>点击查看详情</a>,5.45%,1.48%,0.08%,177,22,12.43%,2.43%,0.31%,119,8,6.72%,2.02%,0.14%
8,帕秋莉·诺蕾姬,东方红魔乡,870,142,<a href='./?m=info&type=chara&id=8' target='_blank'>点击查看详情</a>,16.32%,11.68%,1.97%,933,166,17.79%,12.79%,2.35%,777,138,17.76%,13.2%,2.46%
9,十六夜咲夜,东方红魔乡,1574,297,<a href='./?m=info&type=chara&id=9' target='_blank'>点击查看详情</a>,18.87%,21.14%,4.12%,1710,354,20.7%,23.44%,5.01%,1332,243,18.24%,22.62%,4.32%
10,蕾米莉亚·斯卡蕾特,东方红魔乡,1456,263,<a href='./?m=info&type=chara&id=10' target='_blank'>点击查看详情</a>,18.06%,19.55%,3.65%,1563,285,18.23%,21.42%,4.03%,1217,227,18.65%,20.67%,4.04%
11,芙兰朵露·斯卡蕾特,东方红魔乡,1086,212,<a href='./?m=info&type=chara&id=11' target='_blank'>点击查看详情</a>,19.52%,14.59%,2.94%,1321,280,21.2%,18.11%,3.96%,1089,242,22.22%,18.5%,4.31%
12,冴月麟,东方红魔乡,141,16,<a href='./?m=info&type=chara&id=12' target='_blank'>点击查看详情</a>,11.35%,1.89%,0.22%,129,12,9.3%,1.77%,0.17%,99,15,15.15%,1.68%,0.27%
13,蕾蒂·霍瓦特洛克,东方妖妖梦,59,8,<a href='./?m=info&type=chara&id=13' target='_blank'>点击查看详情</a>,13.56%,0.79%,0.11%,62,4,6.45%,0.85%,0.06%,35,2,5.71%,0.59%,0.04%
14,橙,东方妖妖梦,134,9,<a href='./?m=info&type=chara&id=14' target='_blank'>点击查看详情</a>,6.72%,1.8%,0.12%,151,14,9.27%,2.07%,0.2%,126,13,10.32%,2.14%,0.23%
15,爱丽丝·玛格特洛依德,东方妖妖梦,1182,220,<a href='./?m=info&type=chara&id=15' target='_blank'>点击查看详情</a>,18.61%,15.87%,3.05%,1207,235,19.47%,16.54%,3.32%,1031,195,18.91%,17.51%,3.47%
