round,category,id,geo_key,geo_name,all,sum,male,female,per,maleper,femaleper
9,chara,20,04,天津,253,53,51,2,20.95,24.17,6.06
9,chara,20,05,重庆,244,33,32,1,13.52,15.46,3.13
9,chara,20,06,四川,604,107,101,6,17.72,19.77,6.59
9,chara,20,07,江苏,993,184,166,18,18.53,19.21,14.17
9,chara,20,08,浙江,853,165,151,14,19.34,20.94,10.94
9,chara,20,09,湖北,576,130,122,8,22.57,24.45,10.67
9,chara,20,10,湖南,356,74,68,6,20.79,23.45,9.68
9,chara,20,11,山东,592,116,107,9,19.59,20.94,11.84
9,chara,20,12,山西,137,22,21,1,16.06,17.5,6.25
9,chara,20,13,河北,281,48,46,2,17.08,18.7,6.06
9,chara,20,14,河南,380,55,52,3,14.47,15.57,6.82
9,chara,20,15,黑龙江,192,41,40,1,21.35,23.53,4.55
9,chara,20,16,吉林,123,30,27,3,24.39,25.23,18.75
9,chara,20,17,辽宁,303,54,44,10,17.82,17.25,20.83
9,chara,20,18,陕西,250,61,57,4,24.4,26.27,12.12
9,chara,20,19,内蒙古,87,12,10,2,13.79,13.7,14.29
9,chara,20,20,安徽,349,83,78,5,23.78,25.49,11.9
9,chara,20,21,福建,480,75,67,8,15.63,16.96,9.41
9,chara,20,22,江西,337,66,62,4,19.58,21.75,7.69
9,chara,20,23,广西,392,58,52,6,14.8,16.25,8.33
9,chara,20,24,海南,76,13,12,1,17.11,19.05,7.69
9,chara,20,25,贵州,143,33,27,6,23.08,22.13,28.57
9,chara,20,26,云南,125,29,26,3,23.2,23.42,21.43
9,chara,20,27,甘肃,57,10,8,2,17.54,17.39,18.18
9,chara,20,28,宁夏,10,4,4,,40,40,
9,chara,20,29,青海,15,2,1,1,13.33,7.69,50
9,chara,20,30,新疆,57,15,14,1,26.32,29.79,10
9,chara,20,31,西藏,1,,,,,,
9,chara,20,32,香港,66,7,6,1,10.61,11.54,7.14
9,chara,20,33,澳门,12,1,1,,8.33,10,
9,chara,20,34,台湾,68,6,6,,8.82,10.34,
9,chara,21,01,北京,713,142,116,26,19.92,19.76,21.31
9,chara,21,02,上海,757,110,92,18,14.53,15.16,13.95
9,chara,21,03,广东,1570,194,157,37,12.36,11.75,16.89
9,chara,21,04,天津,253,35,32,3,13.83,15.17,9.09
9,chara,21,05,重庆,244,31,26,5,12.7,12.56,15.63
9,chara,21,06,四川,604,93,82,11,15.4,16.05,12.09
9,chara,21,07,江苏,993,147,127,20,14.8,14.7,15.75
9,chara,21,08,浙江,853,129,109,20,15.12,15.12,15.63
9,chara,21,09,湖北,576,96,83,13,16.67,16.63,17.33
9,chara,21,10,湖南,356,53,42,11,14.89,14.48,17.74
9,chara,21,11,山东,592,69,63,6,11.66,12.33,7.89
9,chara,21,12,山西,137,22,20,2,16.06,16.67,12.5
9,chara,21,13,河北,281,39,36,3,13.88,14.63,9.09
9,chara,21,14,河南,380,52,44,8,13.68,13.17,18.18
9,chara,21,15,黑龙江,192,35,33,2,18.23,19.41,9.09
9,chara,21,16,吉林,123,17,14,3,13.82,13.08,18.75
9,chara,21,17,辽宁,303,43,32,11,14.19,12.55,22.92
9,chara,21,18,陕西,250,41,34,7,16.4,15.67,21.21
9,chara,21,19,内蒙古,87,11,10,1,12.64,13.7,7.14
9,chara,21,20,安徽,349,64,58,6,18.34,18.95,14.29
9,chara,21,21,福建,480,81,68,13,16.88,17.22,15.29
9,chara,21,22,江西,337,48,44,4,14.24,15.44,7.69
9,chara,21,23,广西,392,55,45,10,14.03,14.06,13.89
9,chara,21,24,海南,76,11,10,1,14.47,15.87,7.69
9,chara,21,25,贵州,143,30,27,3,20.98,22.13,14.29
9,chara,21,26,云南,125,21,19,2,16.8,17.12,14.29
9,chara,21,27,甘肃,57,14,10,4,24.56,21.74,36.36
9,chara,21,28,宁夏,10,1,1,,10,10,
9,chara,21,29,青海,15,3,3,,20,23.08,
9,chara,21,30,新疆,57,8,6,2,14.04,12.77,20
9,chara,21,31,西藏,1,,,,,,
9,chara,21,32,香港,66,7,4,3,10.61,7.69,21.43
