round,category,id,title,primary_heading,html_path,parsed_path,table_count,status
9,chara,1,博丽灵梦 - 东方Project人气投票 第⑨回 - THBWiki,角色信息,data_raw/cn_official_legacy/round_09/raw/details/chara/1.html,data_raw/cn_official_legacy/round_09/processed/details/chara/1.json,7,ok
9,chara,2,雾雨魔理沙 - 东方Project人气投票 第⑨回 - THBWiki,角色信息,data_raw/cn_official_legacy/round_09/raw/details/chara/2.html,data_raw/cn_official_legacy/round_09/processed/details/chara/2.json,7,ok
9,chara,3,露米娅 - 东方Project人气投票 第⑨回 - THBWiki,角色信息,data_raw/cn_official_legacy/round_09/raw/details/chara/3.html,data_raw/cn_official_legacy/round_09/processed/details/chara/3.json,7,ok
9,chara,4,大妖精 - 东方Project人气投票 第⑨回 - THBWiki,角色信息,data_raw/cn_official_legacy/round_09/raw/details/chara/4.html,data_raw/cn_official_legacy/round_09/processed/details/chara/4.json,7,ok
9,chara,5,琪露诺 - 东方Project人气投票 第⑨回 - THBWiki,角色信息,data_raw/cn_official_legacy/round_09/raw/details/chara/5.html,data_raw/cn_official_legacy/round_09/processed/details/chara/5.json,7,ok
9,chara,6,红美铃 - 东方Project人气投票 第⑨回 - THBWiki,角色信息,data_raw/cn_official_legacy/round_09/raw/details/chara/6.html,data_raw/cn_official_legacy/round_09/processed/details/chara/6.json,7,ok
9,chara,7,小恶魔 - 东方Project人气投票 第⑨回 - THBWiki,角色信息,data_raw/cn_official_legacy/round_09/raw/details/chara/7.html,data_raw/cn_official_legacy/round_09/processed/details/chara/7.json,7,ok
9,chara,8,帕秋莉·诺蕾姬 - 东方Project人气投票 第⑨回 - THBWiki,角色信息,data_raw/cn_official_legacy/round_09/raw/details/chara/8.html,data_raw/cn_official_legacy/round_09/processed/details/chara/8.json,7,ok
9,chara,9,十六夜咲夜 - 东方Project人气投票 第⑨回 - THBWiki,角色信息,data_raw/cn_official_legacy/round_09/raw/details/chara/9.html,data_raw/cn_official_legacy/round_09/processed/details/chara/9.json,7,ok
9,chara,10,蕾米莉亚·斯卡蕾特 - 东方Project人气投票 第⑨回 - THBWiki,角色信息,data_raw/cn_official_legacy/round_09/raw/details/chara/10.html,data_raw/cn_official_legacy/round_09/processed/details/chara/10.json,7,ok
9,chara,11,芙兰朵露·斯卡蕾特 - 东方Project人气投票 第⑨回 - THBWiki,角色信息,data_raw/cn_official_legacy/round_09/raw/details/chara/11.html,data_raw/cn_official_legacy/round_09/processed/details/chara/11.json,7,ok
9,chara,12,冴月麟 - 东方Project人气投票 第⑨回 - THBWiki,角色信息,data_raw/cn_official_legacy/round_09/raw/details/chara/12.html,data_raw/cn_official_legacy/round_09/processed/details/chara/12.json,7,ok
9,chara,13,蕾蒂·霍瓦特洛克 - 东方Project人气投票 第⑨回 - THBWiki,角色信息,data_raw/cn_official_legacy/round_09/raw/details/chara/13.html,data_raw/cn_official_legacy/round_09/processed/details/chara/13.json,7,ok
