round,role,category,item_id,url,title,summary_json,source_bytes,sha256
12,detail,character,209,http://thwiki.info/th/vote12/result/character/209.php,投票結果：フランドール・スカーレット - 第12回 東方Project 人気投票,"[{""kind"":""title"",""text"":""投票結果：フランドール・スカーレット - 第12回 東方Project 人気投票"",""numbers"":[]},{""kind"":""item_heading"",""text"":""フランドール・スカーレット（5位）"",""numbers"":[{""raw"":""5位"",""value"":5,""unit"":""位"",""kind"":""number""}]},{""kind"":""item_statistics"",""text"":""ポイント：9844点 ｜ 得票数：8143票 ｜ 一押し数：1701票 ｜ コメント数：1528件 ｜ 支援作品数： 8件 継続投票率：82.3%（385名中） リストへ戻る"",""numbers"":[{""raw"":""9844点"",""value"":9844,""unit"":""点"",""kind"":""number""},{""raw"":""8143票"",""value"":8143,""unit"":""票"",""kind"":""number""},{""raw"":""1701票"",""value"":1701,""unit"":""票"",""kind"":""number""},{""raw"":""1528件"",""value"":1528,""unit"":""件"",""kind"":""number""},{""raw"":""8件"",""value"":8,""unit"":""件"",""kind"":""number""},{""raw"":""82.3%"",""value"":82.3,""unit"":""%"",""kind"":""percentage""},{""raw"":""385名"",""value"":385,""unit"":""名"",""kind"":""number""}]}]",133166,3b533060f807d270628e42f233862f5411b59053fe21bd12d7b7faadc3198725
12,detail,character,210,http://thwiki.info/th/vote12/result/character/210.php,投票結果：レティ・ホワイトロック - 第12回 東方Project 人気投票,"[{""kind"":""title"",""text"":""投票結果：レティ・ホワイトロック - 第12回 東方Project 人気投票"",""numbers"":[]},{""kind"":""item_heading"",""text"":""レティ・ホワイトロック（90位）"",""numbers"":[{""raw"":""90位"",""value"":90,""unit"":""位"",""kind"":""number""}]},{""kind"":""item_statistics"",""text"":""ポイント：773点 ｜ 得票数：652票 ｜ 一押し数：121票 ｜ コメント数：155件 ｜ 支援作品数： 5件 継続投票率：87.2%（47名中） リストへ戻る"",""numbers"":[{""raw"":""773点"",""value"":773,""unit"":""点"",""kind"":""number""},{""raw"":""652票"",""value"":652,""unit"":""票"",""kind"":""number""},{""raw"":""121票"",""value"":121,""unit"":""票"",""kind"":""number""},{""raw"":""155件"",""value"":155,""unit"":""件"",""kind"":""number""},{""raw"":""5件"",""value"":5,""unit"":""件"",""kind"":""number""},{""raw"":""87.2%"",""value"":87.2,""unit"":""%"",""kind"":""percentage""},{""raw"":""47名"",""value"":47,""unit"":""名"",""kind"":""number""}]}]",30707,365c535affe803ebba00d6573bf27a7362542e40e2a40b06014fbee7472f6cea
12,detail,character,211,http://thwiki.info/th/vote12/result/character/211.php,投票結果：橙 - 第12回 東方Project 人気投票,"[{""kind"":""title"",""text"":""投票結果：橙 - 第12回 東方Project 人気投票"",""numbers"":[]},{""kind"":""item_heading"",""text"":""橙（55位）"",""numbers"":[{""raw"":""55位"",""value"":55,""unit"":""位"",""kind"":""number""}]},{""kind"":""item_statistics"",""text"":""ポイント：1862点 ｜ 得票数：1620票 ｜ 一押し数：242票 ｜ コメント数：394件 ｜ 支援作品数： 6件 継続投票率：77.5%（80名中） リストへ戻る"",""numbers"":[{""raw"":""1862点"",""value"":1862,""unit"":""点"",""kind"":""number""},{""raw"":""1620票"",""value"":1620,""unit"":""票"",""kind"":""number""},{""raw"":""242票"",""value"":242,""unit"":""票"",""kind"":""number""},{""raw"":""394件"",""value"":394,""unit"":""件"",""kind"":""number""},{""raw"":""6件"",""value"":6,""unit"":""件"",""kind"":""number""},{""raw"":""77.5%"",""value"":77.5,""unit"":""%"",""kind"":""percentage""},{""raw"":""80名"",""value"":80,""unit"":""名"",""kind"":""number""}]}]",48601,bae47874596cb0084468541f014b6cf861076ba999468749f23d2f153bdc707b
12,detail,character,212,http://thwiki.info/th/vote12/result/character/212.php,投票結果：アリス・マーガトロイド - 第12回 東方Project 人気投票,"[{""kind"":""title"",""text"":""投票結果：アリス・マーガトロイド - 第12回 東方Project 人気投票"",""numbers"":[]},{""kind"":""item_heading"",""text"":""アリス・マーガトロイド（9位）"",""numbers"":[{""raw"":""9位"",""value"":9,""unit"":""位"",""kind"":""number""}]},{""kind"":""item_statistics"",""text"":""ポイント：7834点 ｜ 得票数：6440票 ｜ 一押し数：1394票 ｜ コメント数：1094件 ｜ 支援作品数： 8件 継続投票率：80.9%（367名中） リストへ戻る"",""numbers"":[{""raw"":""7834点"",""value"":7834,""unit"":""点"",""kind"":""number""},{""raw"":""6440票"",""value"":6440,""unit"":""票"",""kind"":""number""},{""raw"":""1394票"",""value"":1394,""unit"":""票"",""kind"":""number""},{""raw"":""1094件"",""value"":1094,""unit"":""件"",""kind"":""number""},{""raw"":""8件"",""value"":8,""unit"":""件"",""kind"":""number""},{""raw"":""80.9%"",""value"":80.9,""unit"":""%"",""kind"":""percentage""},{""raw"":""367名"",""value"":367,""unit"":""名"",""kind"":""number""}]}]",102248,db3676cf09bac660d6d710037b69f16363a6fd306fd1a9855cabf598e41d3a2e
12,detail,character,213,http://thwiki.info/th/vote12/result/character/213.php,投票結果：リリーホワイト - 第12回 東方Project 人気投票,"[{""kind"":""title"",""text"":""投票結果：リリーホワイト - 第12回 東方Project 人気投票"",""numbers"":[]},{""kind"":""item_heading"",""text"":""リリーホワイト（97位）"",""numbers"":[{""raw"":""97位"",""value"":97,""unit"":""位"",""kind"":""number""}]},{""kind"":""item_statistics"",""text"":""ポイント：474点 ｜ 得票数：414票 ｜ 一押し数：60票 ｜ コメント数：92件 ｜ 支援作品数： 1件 継続投票率：81.1%（37名中） リストへ戻る"",""numbers"":[{""raw"":""474点"",""value"":474,""unit"":""点"",""kind"":""number""},{""raw"":""414票"",""value"":414,""unit"":""票"",""kind"":""number""},{""raw"":""60票"",""value"":60,""unit"":""票"",""kind"":""number""},{""raw"":""92件"",""value"":92,""unit"":""件"",""kind"":""number""},{""raw"":""1件"",""value"":1,""unit"":""件"",""kind"":""number""},{""raw"":""81.1%"",""value"":81.1,""unit"":""%"",""kind"":""percentage""},{""raw"":""37名"",""value"":37,""unit"":""名"",""kind"":""number""}]}]",22593,1ce98b2f0ee02d3901fa65dd56a07673912808a63babdbc8e9eee6a4564b9505
12,detail,character,214,http://thwiki.info/th/vote12/result/character/214.php,投票結果：ルナサ・プリズムリバー - 第12回 東方Project 人気投票,"[{""kind"":""title"",""text"":""投票結果：ルナサ・プリズムリバー - 第12回 東方Project 人気投票"",""numbers"":[]},{""kind"":""item_heading"",""text"":""ルナサ・プリズムリバー（73位）"",""numbers"":[{""raw"":""73位"",""value"":73,""unit"":""位"",""kind"":""number""}]},{""kind"":""item_statistics"",""text"":""ポイント：1281点 ｜ 得票数：1114票 ｜ 一押し数：167票 ｜ コメント数：195件 ｜ 支援作品数： 2件 継続投票率：90.6%（64名中） リストへ戻る"",""numbers"":[{""raw"":""1281点"",""value"":1281,""unit"":""点"",""kind"":""number""},{""raw"":""1114票"",""value"":1114,""unit"":""票"",""kind"":""number""},{""raw"":""167票"",""value"":167,""unit"":""票"",""kind"":""number""},{""raw"":""195件"",""value"":195,""unit"":""件"",""kind"":""number""},{""raw"":""2件"",""value"":2,""unit"":""件"",""kind"":""number""},{""raw"":""90.6%"",""value"":90.6,""unit"":""%"",""kind"":""percentage""},{""raw"":""64名"",""value"":64,""unit"":""名"",""kind"":""number""}]}]",33831,76a2ad6546a73a5fb1398ae254827ecd266588a85c0ab094fb6f66e5059ce531
12,detail,character,215,http://thwiki.info/th/vote12/result/character/215.php,投票結果：メルラン・プリズムリバー - 第12回 東方Project 人気投票,"[{""kind"":""title"",""text"":""投票結果：メルラン・プリズムリバー - 第12回 東方Project 人気投票"",""numbers"":[]},{""kind"":""item_heading"",""text"":""メルラン・プリズムリバー（102位）"",""numbers"":[{""raw"":""102位"",""value"":102,""unit"":""位"",""kind"":""number""}]},{""kind"":""item_statistics"",""text"":""ポイント：397点 ｜ 得票数：355票 ｜ 一押し数：42票 ｜ コメント数：87件 ｜ 支援作品数： 1件 継続投票率：78.9%（38名中） リストへ戻る"",""numbers"":[{""raw"":""397点"",""value"":397,""unit"":""点"",""kind"":""number""},{""raw"":""355票"",""value"":355,""unit"":""票"",""kind"":""number""},{""raw"":""42票"",""value"":42,""unit"":""票"",""kind"":""number""},{""raw"":""87件"",""value"":87,""unit"":""件"",""kind"":""number""},{""raw"":""1件"",""value"":1,""unit"":""件"",""kind"":""number""},{""raw"":""78.9%"",""value"":78.9,""unit"":""%"",""kind"":""percentage""},{""raw"":""38名"",""value"":38,""unit"":""名"",""kind"":""number""}]}]",26061,73dc82ae59375512742043c38dcb84da4b8af2b0f1cd2c5d6ea2075a81d30246
12,detail,character,216,http://thwiki.info/th/vote12/result/character/216.php,投票結果：リリカ・プリズムリバー - 第12回 東方Project 人気投票,"[{""kind"":""title"",""text"":""投票結果：リリカ・プリズムリバー - 第12回 東方Project 人気投票"",""numbers"":[]},{""kind"":""item_heading"",""text"":""リリカ・プリズムリバー（100位）"",""numbers"":[{""raw"":""100位"",""value"":100,""unit"":""位"",""kind"":""number""}]},{""kind"":""item_statistics"",""text"":""ポイント：450点 ｜ 得票数：406票 ｜ 一押し数：44票 ｜ コメント数：89件 ｜ 支援作品数： 2件 継続投票率：83.8%（37名中） リストへ戻る"",""numbers"":[{""raw"":""450点"",""value"":450,""unit"":""点"",""kind"":""number""},{""raw"":""406票"",""value"":406,""unit"":""票"",""kind"":""number""},{""raw"":""44票"",""value"":44,""unit"":""票"",""kind"":""number""},{""raw"":""89件"",""value"":89,""unit"":""件"",""kind"":""number""},{""raw"":""2件"",""value"":2,""unit"":""件"",""kind"":""number""},{""raw"":""83.8%"",""value"":83.8,""unit"":""%"",""kind"":""percentage""},{""raw"":""37名"",""value"":37,""unit"":""名"",""kind"":""number""}]}]",25284,e083c515e707f8c07d8fafeb5e502c452ef9d83dbb57c588a5199cacf97a66b7
12,detail,character,217,http://thwiki.info/th/vote12/result/character/217.php,投票結果：魂魄 妖夢 - 第12回 東方Project 人気投票,"[{""kind"":""title"",""text"":""投票結果：魂魄 妖夢 - 第12回 東方Project 人気投票"",""numbers"":[]},{""kind"":""item_heading"",""text"":""魂魄 妖夢（6位）"",""numbers"":[{""raw"":""6位"",""value"":6,""unit"":""位"",""kind"":""number""}]},{""kind"":""item_statistics"",""text"":""ポイント：9669点 ｜ 得票数：7702票 ｜ 一押し数：1967票 ｜ コメント数：1439件 ｜ 支援作品数： 7件 継続投票率：79.3%（323名中） リストへ戻る"",""numbers"":[{""raw"":""9669点"",""value"":9669,""unit"":""点"",""kind"":""number""},{""raw"":""7702票"",""value"":7702,""unit"":""票"",""kind"":""number""},{""raw"":""1967票"",""value"":1967,""unit"":""票"",""kind"":""number""},{""raw"":""1439件"",""value"":1439,""unit"":""件"",""kind"":""number""},{""raw"":""7件"",""value"":7,""unit"":""件"",""kind"":""number""},{""raw"":""79.3%"",""value"":79.3,""unit"":""%"",""kind"":""percentage""},{""raw"":""323名"",""value"":323,""unit"":""名"",""kind"":""number""}]}]",120208,843b1430996b026cd35d64fd53f52cfb803830fa67ddba2e00acba4d9feb0c9f
12,detail,character,218,http://thwiki.info/th/vote12/result/character/218.php,投票結果：西行寺 幽々子 - 第12回 東方Project 人気投票,"[{""kind"":""title"",""text"":""投票結果：西行寺 幽々子 - 第12回 東方Project 人気投票"",""numbers"":[]},{""kind"":""item_heading"",""text"":""西行寺 幽々子（16位）"",""numbers"":[{""raw"":""16位"",""value"":16,""unit"":""位"",""kind"":""number""}]},{""kind"":""item_statistics"",""text"":""ポイント：5570点 ｜ 得票数：4655票 ｜ 一押し数：915票 ｜ コメント数：783件 ｜ 支援作品数： 4件 継続投票率：84.9%（238名中） リストへ戻る"",""numbers"":[{""raw"":""5570点"",""value"":5570,""unit"":""点"",""kind"":""number""},{""raw"":""4655票"",""value"":4655,""unit"":""票"",""kind"":""number""},{""raw"":""915票"",""value"":915,""unit"":""票"",""kind"":""number""},{""raw"":""783件"",""value"":783,""unit"":""件"",""kind"":""number""},{""raw"":""4件"",""value"":4,""unit"":""件"",""kind"":""number""},{""raw"":""84.9%"",""value"":84.9,""unit"":""%"",""kind"":""percentage""},{""raw"":""238名"",""value"":238,""unit"":""名"",""kind"":""number""}]}]",78259,12223dbf47dae55aa4c4cb061882f6b65666b84544a534ab057119a84fac8f9a
