name,vote,first,votes,ratio,sratio,vratio,male,female,mratio,fratio,hmratio,hfratio
总数,8067,-,-,-,-,-,6548,1498,81.17%,18.57%,-,-
角色,7296,7010,44710,96.08%,76.6% (6 / 8),90.44%,5946,1345,81.5%,18.43%,90.81%,89.79%
音乐,5999,5618,50845,93.65%,70.63% (8 / 12),74.36%,4884,1112,81.41%,18.54%,74.59%,74.23%
作品,5577,-,16731,-,-,69.13%,4526,1048,81.15%,18.79%,69.12%,69.96%
组合,5501,5105,19320,92.8%,70.24% (4 / 5),68.19%,4421,1078,80.37%,19.6%,67.52%,71.96%
游戏,4661,-,4661,-,-,57.78%,3820,839,81.96%,18%,58.34%,56.01%
