id,name,group,by,info,v0,v1,v2,v3,v4,v5
TH07.5,东方萃梦想,Win(FTG),TH07.5,<a href='./?m=info&type=work&id=8' target='_blank'>点击查看详情</a>,2759 (60.65%),772 (16.97%),575 (12.64%),189 (4.15%),255 (5.61%),
TH10.5,东方绯想天,Win(FTG),TH10.5,<a href='./?m=info&type=work&id=13' target='_blank'>点击查看详情</a>,2032 (44.67%),882 (19.39%),831 (18.27%),269 (5.91%),536 (11.78%),0 (0%)
TH12.3,东方非想天则,Win(FTG),TH12.3,<a href='./?m=info&type=work&id=16' target='_blank'>点击查看详情</a>,1919 (42.19%),936 (20.58%),833 (18.31%),263 (5.78%),599 (13.17%),
TH13.5,东方心绮楼,Win(FTG),TH13.5,<a href='./?m=info&type=work&id=20' target='_blank'>点击查看详情</a>,2073 (45.57%),888 (19.52%),844 (18.55%),283 (6.22%),462 (10.16%),
TH14.5,东方深秘录,Win(FTG),TH14.5,<a href='./?m=info&type=work&id=23' target='_blank'>点击查看详情</a>,2180 (47.92%),753 (16.55%),842 (18.51%),231 (5.08%),544 (11.96%),
