id,name,group,by,info,v0,v1,v2,v3,v4,v5,v6
TH02,东方封魔录,PC-98,TH02,<a href='./?m=info&type=work&id=35' target='_blank'>点击查看详情</a>,4009 (88.13%),304 (6.68%),187 (4.11%),29 (0.64%),19 (0.42%),40 (0.88%),-
TH03,东方梦时空,PC-98,TH03,<a href='./?m=info&type=work&id=36' target='_blank'>点击查看详情</a>,3901 (85.76%),356 (7.83%),232 (5.1%),41 (0.9%),21 (0.46%),-,-
TH04,东方幻想乡,PC-98,TH04,<a href='./?m=info&type=work&id=33' target='_blank'>点击查看详情</a>,3832 (84.24%),348 (7.65%),274 (6.02%),53 (1.17%),38 (0.84%),71 (1.56%),-
TH05,东方怪绮谈,PC-98,TH05,<a href='./?m=info&type=work&id=34' target='_blank'>点击查看详情</a>,3867 (85.01%),349 (7.67%),256 (5.63%),36 (0.79%),36 (0.79%),86 (1.89%),-
TH06,东方红魔乡,Win(STG),TH06,<a href='./?m=info&type=work&id=6' target='_blank'>点击查看详情</a>,1167 (25.65%),1423 (31.28%),1362 (29.94%),322 (7.08%),252 (5.54%),550 (12.09%),-
TH07,东方妖妖梦,Win(STG),TH07,<a href='./?m=info&type=work&id=7' target='_blank'>点击查看详情</a>,1180 (25.94%),1289 (28.34%),1360 (29.9%),357 (7.85%),328 (7.21%),671 (14.75%),428 (9.41%)
TH08,东方永夜抄,Win(STG),TH08,<a href='./?m=info&type=work&id=9' target='_blank'>点击查看详情</a>,602 (13.23%),1268 (27.87%),1699 (37.35%),507 (11.15%),430 (9.45%),913 (20.07%),-
TH09,东方花映塚,Win(STG),TH09,<a href='./?m=info&type=work&id=10' target='_blank'>点击查看详情</a>,1808 (39.74%),1235 (27.15%),1025 (22.53%),227 (4.99%),240 (5.28%),253 (5.56%),-
TH10,东方风神录,Win(STG),TH10,<a href='./?m=info&type=work&id=12' target='_blank'>点击查看详情</a>,1188 (26.12%),1153 (25.35%),1429 (31.41%),399 (8.77%),356 (7.83%),762 (16.75%),-
TH11,东方地灵殿,Win(STG),TH11,<a href='./?m=info&type=work&id=14' target='_blank'>点击查看详情</a>,1682 (36.98%),1362 (29.94%),1007 (22.14%),232 (5.1%),245 (5.39%),528 (11.61%),-
TH12,东方星莲船,Win(STG),TH12,<a href='./?m=info&type=work&id=15' target='_blank'>点击查看详情</a>,2251 (49.48%),1161 (25.52%),813 (17.87%),163 (3.58%),148 (3.25%),371 (8.16%),-
TH12.8,妖精大战争,Win(STG),TH12.8,<a href='./?m=info&type=work&id=18' target='_blank'>点击查看详情</a>,3078 (67.66%),802 (17.63%),494 (10.86%),90 (1.98%),78 (1.71%),148 (3.25%),-
TH13,东方神灵庙,Win(STG),TH13,<a href='./?m=info&type=work&id=19' target='_blank'>点击查看详情</a>,1690 (37.15%),1130 (24.84%),1176 (25.85%),263 (5.78%),277 (6.09%),490 (10.77%),-
TH14,东方辉针城,Win(STG),TH14,<a href='./?m=info&type=work&id=21' target='_blank'>点击查看详情</a>,1653 (36.34%),1224 (26.91%),1127 (24.77%),238 (5.23%),297 (6.53%),539 (11.85%),-
TH14.5PS4,东方深秘录PS4版,Win(STG),TH14.5PS4,<a href='./?m=info&type=work&id=57' target='_blank'>点击查看详情</a>,4290 (94.31%),90 (1.98%),69 (1.52%),29 (0.64%),72 (1.58%),-,-
TH16,东方天空璋,Win(STG),TH16,<a href='./?m=info&type=work&id=59' target='_blank'>点击查看详情</a>,2268 (49.86%),987 (21.7%),865 (19.02%),151 (3.32%),265 (5.83%),544 (11.96%),-
