id,name,group,by,info,v0,v1,v2,v3,v4,v5,v6
TH02,东方封魔录,PC-98,TH02,<a href='./?m=info&type=work&id=35' target='_blank'>点击查看详情</a>,4006 (89.76%),237 (5.31%),172 (3.85%),29 (0.65%),16 (0.36%),36 (0.81%),-
TH03,东方梦时空,PC-98,TH03,<a href='./?m=info&type=work&id=36' target='_blank'>点击查看详情</a>,3903 (87.45%),302 (6.77%),201 (4.5%),37 (0.83%),20 (0.45%),-,-
TH04,东方幻想乡,PC-98,TH04,<a href='./?m=info&type=work&id=33' target='_blank'>点击查看详情</a>,3804 (85.23%),299 (6.7%),279 (6.25%),41 (0.92%),33 (0.74%),69 (1.55%),-
TH05,东方怪绮谈,PC-98,TH05,<a href='./?m=info&type=work&id=34' target='_blank'>点击查看详情</a>,3852 (86.31%),296 (6.63%),249 (5.58%),27 (0.6%),32 (0.72%),74 (1.66%),-
TH06,东方红魔乡,Win(STG),TH06,<a href='./?m=info&type=work&id=6' target='_blank'>点击查看详情</a>,1337 (29.96%),1304 (29.22%),1303 (29.2%),298 (6.68%),201 (4.5%),507 (11.36%),-
TH07,东方妖妖梦,Win(STG),TH07,<a href='./?m=info&type=work&id=7' target='_blank'>点击查看详情</a>,1278 (28.64%),1201 (26.91%),1334 (29.89%),333 (7.46%),295 (6.61%),633 (14.18%),399 (8.94%)
TH08,东方永夜抄,Win(STG),TH08,<a href='./?m=info&type=work&id=9' target='_blank'>点击查看详情</a>,647 (14.5%),1245 (27.9%),1666 (37.33%),506 (11.34%),367 (8.22%),886 (19.85%),-
TH09,东方花映塚,Win(STG),TH09,<a href='./?m=info&type=work&id=10' target='_blank'>点击查看详情</a>,2011 (45.06%),1132 (25.36%),928 (20.79%),182 (4.08%),195 (4.37%),203 (4.55%),-
TH10,东方风神录,Win(STG),TH10,<a href='./?m=info&type=work&id=12' target='_blank'>点击查看详情</a>,1209 (27.09%),1107 (24.8%),1408 (31.55%),386 (8.65%),340 (7.62%),733 (16.42%),-
TH11,东方地灵殿,Win(STG),TH11,<a href='./?m=info&type=work&id=14' target='_blank'>点击查看详情</a>,1672 (37.46%),1395 (31.26%),941 (21.08%),220 (4.93%),214 (4.79%),535 (11.99%),-
TH12,东方星莲船,Win(STG),TH12,<a href='./?m=info&type=work&id=15' target='_blank'>点击查看详情</a>,2299 (51.51%),1083 (24.27%),791 (17.72%),148 (3.32%),135 (3.02%),360 (8.07%),-
TH12.8,妖精大战争,Win(STG),TH12.8,<a href='./?m=info&type=work&id=18' target='_blank'>点击查看详情</a>,3192 (71.52%),684 (15.33%),442 (9.9%),85 (1.9%),55 (1.23%),101 (2.26%),-
TH13,东方神灵庙,Win(STG),TH13,<a href='./?m=info&type=work&id=19' target='_blank'>点击查看详情</a>,1797 (40.26%),1053 (23.59%),1112 (24.92%),269 (6.03%),221 (4.95%),471 (10.55%),-
TH14,东方辉针城,Win(STG),TH14,<a href='./?m=info&type=work&id=21' target='_blank'>点击查看详情</a>,1699 (38.07%),1163 (26.06%),1102 (24.69%),253 (5.67%),236 (5.29%),529 (11.85%),-
TH14.5PS4,东方深秘录PS4版,Win(STG),TH14.5PS4,<a href='./?m=info&type=work&id=57' target='_blank'>点击查看详情</a>,4239 (94.98%),78 (1.75%),71 (1.59%),14 (0.31%),61 (1.37%),-,-
TH16,东方天空璋,Win(STG),TH16,<a href='./?m=info&type=work&id=59' target='_blank'>点击查看详情</a>,1904 (42.66%),1071 (24%),956 (21.42%),204 (4.57%),316 (7.08%),694 (15.55%),-
TH17,东方鬼形兽,Win(STG),TH17,<a href='./?m=info&type=work&id=64' target='_blank'>点击查看详情</a>,2437 (54.6%),865 (19.38%),839 (18.8%),160 (3.59%),156 (3.5%),439 (9.84%),-
