id,name,group,by,info,v0,v1,v2,v3,v4,v5
TH07.5,东方萃梦想,Win(FTG),TH07.5,<a href='./?m=info&type=work&id=8' target='_blank'>点击查看详情</a>,2952 (66.14%),640 (14.34%),488 (10.93%),150 (3.36%),233 (5.22%),
TH10.5,东方绯想天,Win(FTG),TH10.5,<a href='./?m=info&type=work&id=13' target='_blank'>点击查看详情</a>,2249 (50.39%),765 (17.14%),719 (16.11%),228 (5.11%),502 (11.25%),0 (0%)
TH12.3,东方非想天则,Win(FTG),TH12.3,<a href='./?m=info&type=work&id=16' target='_blank'>点击查看详情</a>,2043 (45.78%),828 (18.55%),721 (16.16%),252 (5.65%),619 (13.87%),
TH13.5,东方心绮楼,Win(FTG),TH13.5,<a href='./?m=info&type=work&id=20' target='_blank'>点击查看详情</a>,2431 (54.47%),689 (15.44%),684 (15.33%),237 (5.31%),422 (9.46%),
TH14.5,东方深秘录,Win(FTG),TH14.5,<a href='./?m=info&type=work&id=23' target='_blank'>点击查看详情</a>,2576 (57.72%),565 (12.66%),635 (14.23%),194 (4.35%),493 (11.05%),
