round,rank,character_cn,vote_count,primary_count,primary_rate,weighted_score,vote_share,primary_share,male_count,male_rate,female_count,female_rate,source_path,source_sheet,region,character_cn_raw,character_key,candidate_count,top_percentile,rank_fraction
11,19,秦心,1354,167,0.1233,1521,0.1019,0.015,1200,0.8863,154,0.1137,TouhouVote_cn.xlsx,11,cn,秦心,秦心,244,92.5926,0.077869
11,20,蓬莱山辉夜,1182,146,0.1235,1328,0.089,0.0131,984,0.8325,198,0.1675,TouhouVote_cn.xlsx,11,cn,蓬莱山辉夜,蓬莱山辉夜,244,92.1811,0.081967
11,21,纯狐,1178,121,0.1027,1299,0.0887,0.0109,970,0.8234,208,0.1766,TouhouVote_cn.xlsx,11,cn,纯狐,纯狐,244,91.7695,0.086066
11,22,多多良小伞,1078,114,0.1058,1192,0.0812,0.0103,1010,0.9369,68,0.0631,TouhouVote_cn.xlsx,11,cn,多多良小伞,多多良小伞,244,91.358,0.090164
11,23,宇佐见莲子,1070,76,0.071,1146,0.0806,0.0068,885,0.8271,185,0.1729,TouhouVote_cn.xlsx,11,cn,宇佐见莲子,宇佐见莲子,244,90.9465,0.094262
11,24,四季映姬·夜摩仙那度,1034,124,0.1199,1158,0.0778,0.0112,876,0.8472,158,0.1528,TouhouVote_cn.xlsx,11,cn,四季映姬·夜摩仙那度,四季映姬夜摩仙那度,244,90.535,0.098361
11,25,依神紫苑,1003,120,0.1196,1123,0.0755,0.0108,876,0.8734,127,0.1266,TouhouVote_cn.xlsx,11,cn,依神紫苑,依神紫苑,244,90.1235,0.102459
11,26,伊吹萃香,994,136,0.1368,1130,0.0748,0.0122,889,0.8944,105,0.1056,TouhouVote_cn.xlsx,11,cn,伊吹萃香,伊吹萃香,244,89.7119,0.106557
11,27,稗田阿求,987,68,0.0689,1055,0.0743,0.0061,880,0.8916,107,0.1084,TouhouVote_cn.xlsx,11,cn,稗田阿求,稗田阿求,244,89.3004,0.110656
11,28,风见幽香,969,122,0.1259,1091,0.073,0.011,826,0.8524,143,0.1476,TouhouVote_cn.xlsx,11,cn,风见幽香,风见幽香,244,88.8889,0.114754
11,29,洩矢诹访子,947,111,0.1172,1058,0.0713,0.01,808,0.8532,139,0.1468,TouhouVote_cn.xlsx,11,cn,洩矢诹访子,洩矢诹访子,244,88.4774,0.118852
11,30,摩多罗隐岐奈,862,126,0.1462,988,0.0649,0.0113,679,0.7877,183,0.2123,TouhouVote_cn.xlsx,11,cn,摩多罗隐岐奈,摩多罗隐岐奈,244,88.0658,0.122951
11,31,红美铃,832,93,0.1118,925,0.0626,0.0084,679,0.8161,153,0.1839,TouhouVote_cn.xlsx,11,cn,红美铃,红美铃,244,87.6543,0.127049
11,32,米斯蒂娅·萝蕾拉,801,49,0.0612,850,0.0603,0.0044,747,0.9326,54,0.0674,TouhouVote_cn.xlsx,11,cn,米斯蒂娅·萝蕾拉,米斯蒂娅萝蕾拉,244,87.2428,0.131148
11,33,键山雏,792,124,0.1566,916,0.0596,0.0112,685,0.8649,107,0.1351,TouhouVote_cn.xlsx,11,cn,键山雏,键山雏,244,86.8313,0.135246
11,34,玛艾露贝莉·赫恩,773,51,0.066,824,0.0582,0.0046,648,0.8383,125,0.1617,TouhouVote_cn.xlsx,11,cn,玛艾露贝莉·赫恩,玛艾露贝莉赫恩,244,86.4198,0.139344
11,35,露米娅,762,84,0.1102,846,0.0574,0.0076,691,0.9068,71,0.0932,TouhouVote_cn.xlsx,11,cn,露米娅,露米娅,244,86.0082,0.143443
11,36,鬼人正邪,761,129,0.1695,890,0.0573,0.0116,652,0.8568,109,0.1432,TouhouVote_cn.xlsx,11,cn,鬼人正邪,鬼人正邪,244,85.5967,0.147541
11,37,莉莉霍瓦特（莉莉白）,693,74,0.1068,767,0.0522,0.0067,637,0.9192,56,0.0808,TouhouVote_cn.xlsx,11,cn,莉莉霍瓦特（莉莉白）,莉莉霍瓦特莉莉白,244,85.1852,0.151639
11,38,稀神探女,689,87,0.1263,776,0.0519,0.0078,585,0.8491,104,0.1509,TouhouVote_cn.xlsx,11,cn,稀神探女,稀神探女,244,84.7737,0.155738
11,38,火焰猫燐,689,51,0.074,740,0.0519,0.0046,597,0.8665,92,0.1335,TouhouVote_cn.xlsx,11,cn,火焰猫燐,火焰猫燐,244,84.7737,0.155738
11,40,丰聪耳神子,654,94,0.1437,748,0.0492,0.0085,493,0.7538,161,0.2462,TouhouVote_cn.xlsx,11,cn,丰聪耳神子,丰聪耳神子,244,83.9506,0.163934
11,41,水桥帕露西,587,77,0.1312,664,0.0442,0.0069,475,0.8092,112,0.1908,TouhouVote_cn.xlsx,11,cn,水桥帕露西,水桥帕露西,244,83.5391,0.168033
11,42,上白泽慧音,584,50,0.0856,634,0.044,0.0045,482,0.8253,102,0.1747,TouhouVote_cn.xlsx,11,cn,上白泽慧音,上白泽慧音,244,83.1276,0.172131
11,43,灵乌路空,583,62,0.1063,645,0.0439,0.0056,508,0.8714,75,0.1286,TouhouVote_cn.xlsx,11,cn,灵乌路空,灵乌路空,244,82.716,0.17623
11,44,八云蓝,580,42,0.0724,622,0.0437,0.0038,489,0.8431,91,0.1569,TouhouVote_cn.xlsx,11,cn,八云蓝,八云蓝,244,82.3045,0.180328
11,45,本居小铃,564,45,0.0798,609,0.0425,0.004,507,0.8989,57,0.1011,TouhouVote_cn.xlsx,11,cn,本居小铃,本居小铃,244,81.893,0.184426
11,46,天弓千亦,549,65,0.1184,614,0.0413,0.0058,462,0.8415,87,0.1585,TouhouVote_cn.xlsx,11,cn,天弓千亦,天弓千亦,244,81.4815,0.188525
11,47,大妖精,504,26,0.0516,530,0.0379,0.0023,451,0.8948,53,0.1052,TouhouVote_cn.xlsx,11,cn,大妖精,大妖精,244,81.07,0.192623
11,48,饕餮尤魔,500,35,0.07,535,0.0376,0.0031,427,0.854,73,0.146,TouhouVote_cn.xlsx,11,cn,饕餮尤魔,饕餮尤魔,244,80.6584,0.196721
11,49,茨木华扇,498,46,0.0924,544,0.0375,0.0041,443,0.8896,55,0.1104,TouhouVote_cn.xlsx,11,cn,茨木华扇,茨木华扇,244,80.2469,0.20082
11,50,犬走椛,478,51,0.1067,529,0.036,0.0046,428,0.8954,50,0.1046,TouhouVote_cn.xlsx,11,cn,犬走椛,犬走椛,244,79.8354,0.204918
11,51,埴安神袿姬,470,56,0.1191,526,0.0354,0.005,388,0.8255,82,0.1745,TouhouVote_cn.xlsx,11,cn,埴安神袿姬,埴安神袿姬,244,79.4239,0.209016
11,52,八意永琳,454,37,0.0815,491,0.0342,0.0033,337,0.7423,117,0.2577,TouhouVote_cn.xlsx,11,cn,八意永琳,八意永琳,244,79.0123,0.213115
11,53,圣白莲,441,35,0.0794,476,0.0332,0.0031,359,0.8141,82,0.1859,TouhouVote_cn.xlsx,11,cn,圣白莲,圣白莲,244,78.6008,0.217213
11,54,哆来咪·苏伊特,426,44,0.1033,470,0.0321,0.004,347,0.8146,79,0.1854,TouhouVote_cn.xlsx,11,cn,哆来咪·苏伊特,哆来咪苏伊特,244,78.1893,0.221311
