round,pre2016_niconico_video_count,round_specific_video_count,title_explicit_character_video_count,title_explicit_character_count,source_note
3,4,4,0,0,仅统计标签索引中标题明确提及该届的公开卡片；空值不代表当年没有视频或讨论。
4,5,5,0,0,仅统计标签索引中标题明确提及该届的公开卡片；空值不代表当年没有视频或讨论。
5,4,4,0,0,仅统计标签索引中标题明确提及该届的公开卡片；空值不代表当年没有视频或讨论。
6,4,4,0,0,仅统计标签索引中标题明确提及该届的公开卡片；空值不代表当年没有视频或讨论。
7,4,4,0,0,仅统计标签索引中标题明确提及该届的公开卡片；空值不代表当年没有视频或讨论。
8,4,4,0,0,仅统计标签索引中标题明确提及该届的公开卡片；空值不代表当年没有视频或讨论。
9,4,4,0,0,仅统计标签索引中标题明确提及该届的公开卡片；空值不代表当年没有视频或讨论。
10,4,4,0,0,仅统计标签索引中标题明确提及该届的公开卡片；空值不代表当年没有视频或讨论。
11,7,7,0,0,仅统计标签索引中标题明确提及该届的公开卡片；空值不代表当年没有视频或讨论。
