character_cn,character_key,event_count,earliest_event_date,latest_event_date,platforms,poll_regions,event_types,comment_or_danmaku_sample_count,bilibili_query_or_title_hit_count,tieba_evidence_count,tieba_rank_heading_coverage_count,tieba_fulltext_comment_sample_count,tieba_round21_nested_reply_sample_count,tieba_pre21_fulltext_comment_sample_count,pixiv_tag_count_snapshot,round21_rank,canon_verification_status,research_scope,coverage_limit
斯塔萨菲雅,斯塔萨菲雅,0,,,,,,1,0,0,1,1,1,0,,114,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
日白残无,日白残无,0,,,,,,1,0,0,1,1,1,0,,103,verified,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
旧作的无名道中Boss,旧作的无名道中boss,0,,,,,,0,0,0,0,0,0,0,,177,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
明罗,明罗,0,,,,,,1,0,0,1,1,1,0,,162,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
星熊勇仪,星熊勇仪,0,,,,,,0,1,0,1,0,0,0,,84,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
月之都的门卫,月之都的门卫,0,,,,,,0,0,0,0,0,0,0,,209,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
木花咲耶姬,木花咲耶姬,0,,,,,,0,0,0,0,0,0,0,,207,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
本居小铃,本居小铃,0,,,,,,0,2,0,1,0,0,0,,72,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
村纱水蜜,村纱水蜜,0,,,,,,1,0,0,1,1,1,0,,67,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
村里的人类（在文花帖、求闻史记、铃奈庵等登场的人类）,村里的人类在文花帖求闻史记铃奈庵等登场的人类,0,,,,,,0,0,0,0,0,0,0,,192,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
核热造神非想天则,核热造神非想天则,0,,,,,,0,0,0,0,0,0,0,,180,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
桑尼米尔克,桑尼米尔克,0,,,,,,1,0,0,1,1,1,0,,116,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
梦子,梦子,0,,,,,,1,0,0,1,1,1,0,,135,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
橙,橙,0,,,,,,1,0,0,1,1,1,0,,51,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
毘沙门天,毘沙门天,0,,,,,,0,0,0,0,0,0,0,,209,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
毛玉,毛玉,0,,,,,,0,0,0,0,0,0,0,,173,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
水江浦岛子（瑞江浦岛子）,水江浦岛子瑞江浦岛子,0,,,,,,0,0,0,0,0,0,0,,213,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
水獭灵,水獭灵,0,,,,,,0,0,0,0,0,0,0,,174,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
沓颊,沓颊,0,,,,,,0,0,0,0,0,0,0,,215,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
河童（含山童）,河童含山童,0,,,,,,0,0,0,0,0,0,0,,196,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
灵乌路空,灵乌路空,0,,,,,,4,0,0,1,4,4,0,,32,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
烟烟罗,烟烟罗,0,,,,,,0,0,0,0,0,0,0,,221,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
爱丽丝的人偶（上海、蓬莱、大江户等）,爱丽丝的人偶上海蓬莱大江户等,0,,,,,,0,0,0,1,0,0,0,,126,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
爱莲,爱莲,0,,,,,,2,0,0,1,2,2,0,,147,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
狐（妖怪狐、年幼的妖狐等）,狐妖怪狐年幼的妖狐等,0,,,,,,0,0,0,0,0,0,0,,191,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
狸（妖怪狸、野铁炮等）,狸妖怪狸野铁炮等,0,,,,,,0,0,0,0,0,0,0,,216,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
琪斯美,琪斯美,0,,,,,,1,0,0,1,1,1,0,,151,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
留琴,留琴,0,,,,,,2,0,0,1,2,2,0,,157,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
盐家老板,盐家老板,0,,,,,,0,0,0,0,0,0,0,,207,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
睡鼠,睡鼠,0,,,,,,0,0,0,0,0,0,0,,218,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
矢田寺成美,矢田寺成美,0,,,,,,2,0,0,1,1,1,0,,143,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
神绮,神绮,0,,,,,,2,39,0,1,2,2,0,5894,61,verified,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
秦心,秦心,0,,,,,,4,2,0,1,4,4,0,,20,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
稀神探女,稀神探女,0,,,,,,2,0,0,1,2,2,0,,41,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
纯狐,纯狐,0,,,,,,3,1,0,1,3,3,0,,26,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
苏我屠自古,苏我屠自古,0,,,,,,1,0,0,1,1,1,0,,88,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
若鹭姬,若鹭姬,0,,,,,,2,0,0,1,1,1,0,,99,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
若鹭姬;上白泽慧音,若鹭姬上白泽慧音,0,,,,,,0,0,0,0,1,0,1,,,not_round21_candidate_or_unmatched_evidence,context_only,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
莱卡,莱卡,0,,,,,,0,0,0,0,0,0,0,,212,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
菅牧典,菅牧典,0,,,,,,2,1,0,1,2,2,0,,66,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
蓬莱人形封面的少女（夹克子）,蓬莱人形封面的少女夹克子,0,,,,,,0,0,0,1,0,0,0,,115,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
蓬莱人形碟面的少女（Label子）,蓬莱人形碟面的少女label子,0,,,,,,0,0,0,1,0,0,0,,158,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
蛞蝓（蛞蝓卫门）,蛞蝓蛞蝓卫门,0,,,,,,0,0,0,0,0,0,0,,187,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
蟒蛇,蟒蛇,0,,,,,,0,0,0,0,0,0,0,,214,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
袈裟罗婆娑罗,袈裟罗婆娑罗,0,,,,,,0,0,0,0,0,0,0,,200,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
豪德寺三花,豪德寺三花,0,,,,,,1,0,0,1,1,1,0,,121,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
赤蛮奇,赤蛮奇,0,,,,,,4,0,0,1,3,2,1,,65,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
赫卡提亚·拉碧斯拉祖利,赫卡提亚拉碧斯拉祖利,0,,,,,,2,0,0,1,2,2,0,,33,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
运松翁,运松翁,0,,,,,,0,0,0,0,0,0,0,,218,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
道神驯子,道神驯子,0,,,,,,2,0,0,1,3,3,0,,60,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
都市传说的怪异（阿菊、八尺大人等）,都市传说的怪异阿菊八尺大人等,0,,,,,,0,0,0,0,0,0,0,,201,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
酒虫,酒虫,0,,,,,,0,0,0,0,0,0,0,,209,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
野槌,野槌,0,,,,,,0,0,0,0,0,0,0,,179,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
野狼灵,野狼灵,0,,,,,,0,0,0,0,0,0,0,,194,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
铃仙二号,铃仙二号,0,,,,,,0,1,0,1,0,0,0,,138,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
降神的神灵（天照、伊豆能卖等）,降神的神灵天照伊豆能卖等,0,,,,,,0,0,0,0,0,0,0,,202,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
飞碟（红、蓝、绿、其他）,飞碟红蓝绿其他,0,,,,,,0,0,0,0,0,0,0,,171,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
骊驹早鬼,骊驹早鬼,0,,,,,,1,0,0,1,1,1,0,,112,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
高丽野阿吽,高丽野阿吽,0,,,,,,3,0,0,1,3,3,0,,95,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
魂魄妖梦;古明地恋;博丽灵梦,魂魄妖梦古明地恋博丽灵梦,0,,,,,,0,0,0,0,1,0,1,,,not_round21_candidate_or_unmatched_evidence,context_only,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
鲵吞亭店主,鲵吞亭店主,0,,,,,,0,0,0,0,0,0,0,,205,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
鲵吞亭的常客,鲵吞亭的常客,0,,,,,,0,0,0,0,0,0,0,,182,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
龙（子龙、邪龙等）,龙子龙邪龙等,0,,,,,,0,0,0,0,0,0,0,,195,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
