character_cn,first_appearance,first_jp_eligible_round,first_cn_eligible_round,eligible_jp_rounds,eligible_cn_rounds,missing_early_jp_rounds,missing_early_cn_rounds,event_count,comment_or_danmaku_sample_count,bilibili_query_or_title_hit_count,tieba_evidence_count,tieba_fulltext_comment_sample_count,pixiv_tag_count_snapshot,eligible_jp_rounds_with_evidence,eligible_cn_rounds_with_evidence,eligible_jp_rounds_without_evidence,eligible_cn_rounds_without_evidence,gap_status,coverage_limit
水桥帕露西,东方地灵殿,6,1,6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,6;7;8;9;12;13;15;16;19;20,1;2;3;4;5;6;7;8;9;10;11,2,4,0,0,3,,6,0,10,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
永江衣玖,东方绯想天,6,1,6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,1,1,0,0,1,,3,0,13,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
河城荷取,东方风神录,5,1,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,4,1,0,0,1,,6,0,11,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
洩矢诹访子,东方风神录,5,1,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,3,2,0,0,2,,6,0,11,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
清兰,东方绀珠传,12,4,12;13;14;15;16;17;18;19;20;21,4;5;6;7;8;9;10;11,12;13;14;15;16;17;18;19;20;21,4;5;6;7;8;9;10;11,1,0,1,0,0,,0,0,10,8,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
火焰猫燐,东方地灵殿,6,1,6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,1,2,0,0,2,,3,0,13,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
灵乌路空,东方地灵殿,6,1,6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,0,4,0,0,4,,1,0,15,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
爱丽丝·玛格特洛依德,东方妖妖梦,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;8;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,3,4,0,0,4,,6,0,13,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
爱塔妮缇拉尔瓦,东方天空璋,14,6,14;15;16;17;18;19;20;21,6;7;8;9;10;11,14;15;16;17;18;19;20;21,6;7;8;9;10;11,1,0,0,0,0,,0,0,8,6,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
爱莲,东方梦时空,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,0,2,0,0,2,,1,0,18,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
牛崎润美,东方鬼形兽,16,8,16;17;18;19;20;21,8;9;10;11,16;17;18;19;20,8;9;10;11,1,1,0,1,0,,1,0,5,4,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
物部布都,东方神灵庙,9,1,9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,1,1,0,0,1,,3,0,10,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
犬走椛,东方风神录,5,1,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,4,4,0,0,3,,7,0,10,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
玄爷,东方封魔录,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,1,0,0,0,0,,0,0,19,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
玉造魅须丸,东方虹龙洞,17,10,17;18;19;20;21,10;11,17;18;19;20;21,10;11,1,0,0,0,0,,0,0,5,2,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
玛艾露贝莉·赫恩,秘封俱乐部/CD与书籍,4,1,4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,4;7;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,4,2,4,2,1,,5,0,13,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
琪斯美,东方地灵殿,6,1,6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,0,1,0,0,1,,1,0,15,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
琪露诺,东方红魔乡,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;6;7;8;9;10;11,1,7,2,1,4,,3,2,16,9,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
留琴,东方梦时空,4,1,4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,0,2,0,0,2,,1,0,17,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
矜羯罗,东方灵异传,5,1,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,1,0,0,0,0,,0,0,17,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
矢田寺成美,东方天空璋,14,6,14;15;16;17;18;19;20;21,6;7;8;9;10;11,15;16;17;18;19;20,6;7;8;9;10;11,0,2,0,0,1,,2,0,6,6,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
神玉,东方灵异传,5,1,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,5;6;7;8;9;10;11;14;15;16;17;18;19,1;2;3;4;5;6;7;8;9;10;11,2,0,0,0,0,,4,0,13,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
神绮,东方怪绮谈,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,0,2,39,0,2,5894,1,0,18,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
秋穰子,东方风神录,5,1,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,3,2,0,0,2,,6,0,11,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
秋静叶,东方风神录,5,1,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,3,1,0,0,1,,6,0,11,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
秦心,东方心绮楼,10,2,10;11;12;13;14;15;16;17;18;19;20;21,2;3;4;5;6;7;8;9;10;11,10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11,0,4,2,0,4,,1,0,11,10,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
稀神探女,东方绀珠传,12,4,12;13;14;15;16;17;18;19;20;21,4;5;6;7;8;9;10;11,12;13;14;15;16;17;18;19;20,4;5;6;7;8;9;10;11,0,2,0,0,2,,1,0,9,8,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
稗田阿求,东方求闻史纪,5,1,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,7;10;11,1;2;3;4;5;6;7;8;9;10;11,12,11,40,0,4,9976,14,0,3,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
米斯蒂娅·萝蕾拉,东方永夜抄,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;5;6;7;8;11,3,5,46,1,4,,4,3,15,8,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
红美铃,东方红魔乡,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;7;8;9;10;11;12;13;14;15;16;17;19;20,1;2;3;4;6;7;8;9;10;11,1,3,0,3,1,,4,1,15,10,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
纯狐,东方绀珠传,12,4,12;13;14;15;16;17;18;19;20;21,4;5;6;7;8;9;10;11,12;13;14;15;16;17;18;19;20,4;5;6;7;8;9;10;11,0,3,1,0,3,,1,0,9,8,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
绵月丰姬,东方儚月抄,5,1,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,5;6;7;10;11;12;14;15;16;17;18;19,1;2;3;4;5;6;7;8;9;10;11,2,15,39,1,2,3412,5,0,12,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
绵月依姬,东方儚月抄 ～ Cage in Lunatic Runagate.,5,1,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,5;6;7;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,1,1,4,0,1,,3,0,14,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
胡桃,东方幻想乡,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,1,0,0,0,0,,0,0,19,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
舞,东方怪绮谈,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,1,0,0,0,0,,0,0,19,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
艾丽,东方幻想乡,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,1,0,0,0,0,,0,0,19,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
芙兰朵露·斯卡蕾特,东方红魔乡,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,1,2,0,0,2,,3,0,16,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
苏我屠自古,东方神灵庙,9,1,9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,0,1,0,0,1,,1,0,12,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
若鹭姬,东方辉针城,10,2,10;11;12;13;14;15;16;17;18;19;20;21,2;3;4;5;6;7;8;9;10;11,10;11;12;13;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11,0,2,0,0,1,,2,0,10,10,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
茨木华扇,东方茨歌仙,8,1,8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,3,3,39,0,2,,4,0,10,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
莉格露·奈特巴格,东方永夜抄,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;7;8;9;10;11;12;13;14;15;16;17;18;19,1;2;3;5;6;7;8;9;10;11,2,3,39,1,2,16993,4,1,15,10,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
莉莉卡·普莉兹姆利巴,东方妖妖梦,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;7;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,2,0,0,0,0,,4,0,15,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
莉莉霍瓦特（莉莉白）,东方妖妖梦,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;7;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,2,1,0,0,1,,5,0,14,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
菅牧典,东方虹龙洞,17,10,17;18;19;20;21,10;11,17;18;19;20,10;11,0,2,1,0,2,,1,0,4,2,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
菊理,东方灵异传,6,1,6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,6;7;8;9;10;11;12;13;14;15;16;17;18;19,1;2;3;4;5;6;7;8;9;10;11,1,0,0,0,0,,2,0,14,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
萨丽爱尔,东方灵异传,4,1,4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,1,0,0,0,0,,0,0,18,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
萨拉,东方怪绮谈,3,1,3;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,1,0,0,0,0,,0,0,18,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
蓬莱山辉夜,东方永夜抄,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;7;8;9;10;11;12;13;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,1,4,0,0,4,,4,0,15,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
蕾拉·普莉兹姆利巴,东方妖妖梦,4,1,4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,2,0,0,0,0,,0,0,18,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
蕾米莉亚·斯卡蕾特,东方红魔乡,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;8;9;10;11;12;13;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,2,5,3,0,5,,5,0,14,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
蕾蒂·霍瓦特洛克,东方妖妖梦,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,2,0,0,0,0,,3,0,16,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
藤原妹红,东方永夜抄,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,5,5,1,1,4,,8,0,11,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
西行寺幽幽子,东方妖妖梦,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,3,3,0,0,3,,5,0,14,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
豪德寺三花,东方虹龙洞,17,10,17;18;19;20;21,10;11,17;18;19;20,10;11,0,1,0,0,1,,1,0,4,2,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
豫母都日狭美,东方兽王园,19,11,19;20;21,11,20;21,11,2,0,4,0,0,,1,0,2,1,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
赤蛮奇,东方辉针城,10,2,10;11;12;13;14;15;16;17;18;19;20;21,2;3;4;5;6;7;8;9;10;11,10;11;12;13;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11,0,4,0,0,3,,2,0,10,10,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
赫卡提亚·拉碧斯拉祖利,东方绀珠传,12,4,12;13;14;15;16;17;18;19;20;21,4;5;6;7;8;9;10;11,12;13;14;15;16;17;18;19;20,4;5;6;7;8;9;10;11,0,2,0,0,2,,1,0,9,8,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
里香,东方封魔录,4,1,4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,1,0,0,0,0,,0,0,18,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
铃仙·优昙华院·因幡,东方永夜抄,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;10;11;12;13;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,3,3,4,0,3,,7,0,12,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
铃仙二号,东方儚月抄 ～ Cage in Lunatic Runagate.,5,1,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,0,0,1,0,0,,0,0,17,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
铃瑚,东方绀珠传,12,4,12;13;14;15;16;17;18;19;20;21,4;5;6;7;8;9;10;11,12;13;14;15;16;17;18;19;20;21,4;5;6;7;8;9;10;11,1,0,0,0,0,,0,0,10,8,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
键山雏,东方风神录,5,1,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,2,2,0,0,2,,4,0,13,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
雪,东方怪绮谈,3,1,3;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,1,0,0,0,0,,0,0,18,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
雾雨魔理沙,东方红魔乡,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;7;10;11;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,3,5,5,1,4,,7,0,12,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
霍青娥,东方神灵庙,9,1,9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,1,0,0,0,0,,2,0,11,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
露娜切露德,东方三月精 ～ Eastern and Little Nature Deity.,4,1,4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,4;5;6;7;10;11;12;13;14;15;16;17;18;19;20,1;2;3;5;6;7;8;9;10;11,1,3,0,0,2,,3,1,15,10,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
露娜萨·普莉兹姆利巴,东方妖妖梦,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,1,0,0,0,0,,2,0,17,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
露易兹,东方怪绮谈,4,1,4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,1;2;3;4;5;6;7;8;9;10;11,1,0,0,0,0,,2,0,16,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
露米娅,东方红魔乡,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;8;11;12;13;14;15;16;17;18;19;20,1;2;3;5;6;7;8;9;10;11,3,5,0,1,4,,6,1,13,10,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
风见幽香,东方花映塚,4,1,4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,4;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,3,4,1,0,4,,6,0,12,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
饕餮尤魔,东方刚欲异闻,18,10,18;19;20;21,10;11,18;19;20,,2,4,39,0,4,5225,1,2,3,0,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
