character_cn,first_appearance,first_jp_eligible_round,first_cn_eligible_round,eligible_jp_rounds,eligible_cn_rounds,missing_early_jp_rounds,missing_early_cn_rounds,event_count,comment_or_danmaku_sample_count,bilibili_query_or_title_hit_count,tieba_evidence_count,tieba_fulltext_comment_sample_count,pixiv_tag_count_snapshot,eligible_jp_rounds_with_evidence,eligible_cn_rounds_with_evidence,eligible_jp_rounds_without_evidence,eligible_cn_rounds_without_evidence,gap_status,coverage_limit
多多良小伞,东方星莲船,7,1,7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,7;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10,1,5,0,1,4,,3,1,12,10,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
大妖精,东方红魔乡,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;7;10;11;12;13;14;16;17;18;19;20,1;2;3;5;6;7;8;9;10;11,3,5,1,2,1,,6,1,13,10,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
大鲶鱼,东方绯想天,7,1,7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,1,0,0,0,0,,0,0,15,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
天弓千亦,东方虹龙洞,17,10,17;18;19;20;21,10;11,17;18;19;20,10;11,0,1,0,0,1,,1,0,4,2,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
天火人血枪,东方兽王园,19,11,19;20;21,11,19;20;21,11,1,0,0,0,0,,0,0,3,1,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
奥莲姬,东方幻想乡,4,1,4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,1,0,0,0,0,,0,0,18,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
奥野田美宵,东方醉蝶华,16,9,16;17;18;19;20;21,9;10;11,16;17;18;19;20;21,9;10;11,1,0,0,0,0,,0,0,6,3,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
姬海棠果,东方文花帖DS,8,1,8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,8;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,1,2,0,0,3,,3,0,11,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
姬虫百百世,东方虹龙洞,17,10,17;18;19;20;21,10;11,17;18;19;20,10;11,0,2,0,0,2,,1,0,4,2,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
娜兹玲,东方星莲船,7,1,7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,4,1,0,0,1,,5,0,10,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
嫦娥,东方儚月抄 ～ Silent Sinner in Blue.,12,5,12;13;14;15;16;17;18;19;20;21,5;6;7;8;9;10;11,12;13;14;15;16;17;18;19;20;21,5;6;7;8;9;10;11,1,0,0,0,0,,0,0,10,7,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
孙美天,东方兽王园,19,11,19;20;21,11,19;20,11,0,1,0,0,1,,1,0,2,1,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
宇佐见堇子,东方深秘录,11,4,11;12;13;14;15;16;17;18;19;20;21,4;5;6;7;8;9;10;11,11;12;13;14;15;16;17;18;19;20,4;5;6;7;8;9;10;11,0,2,0,0,2,,1,0,10,8,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
宇佐见莲子,秘封俱乐部/CD与书籍,4,1,4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,4;7;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,6,3,2,2,2,,7,0,11,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
宫出口瑞灵,东方智灵奇传,18,10,18;19;20;21,10;11,18;19,10;11,1,3,39,0,2,1547,2,0,2,2,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
宫古芳香,东方神灵庙,9,1,9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,0,1,0,0,1,,1,0,12,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
寅丸星,东方星莲船,7,1,7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,7;8;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,1,1,0,0,1,,3,0,12,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
封兽魑魅,东方锦上京,21,,21,,21,,1,0,0,0,0,,0,0,1,0,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
封兽鵺,东方星莲船,7,1,7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,9;10;11;12;13;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,1,4,0,0,3,,4,0,11,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
射命丸文,东方文花帖（书籍）,4,1,4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,10;11;12;13;15;16;17;18;19;20,1;2;3;6;7;8;9;10;11,4,8,0,1,3,,8,2,10,9,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
小兔姬,东方梦时空,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,1,0,0,0,0,,0,0,19,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
小恶魔,东方红魔乡,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;7;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,4,1,1,0,1,,5,0,14,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
