region,round,source_id,character_jp,character_cn,under20_rate,under20_denominator,female_rate,female_denominator,first_time_voter_rate,first_time_voter_denominator,event_participation_rate,event_participation_denominator,2019plus_cognition_rate,2019plus_cognition_denominator,source_note,poll_rank,poll_points,poll_primary_num,poll_official_support_count,poll_candidate_count,poll_top_percentile,join_note
jp,21,58,雲山,云山,0.685714,35,0.162162,37,0.388889,36,0.297297,37,0.333333,36,官方角色条件问卷；各题分母不同，比例不可相加。,168,166,9,,221,24.0909,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,59,村紗 水蜜,村纱水蜜,0.62234,376,0.322835,381,0.299233,391,0.395095,367,0.419098,377,官方角色条件问卷；各题分母不同，比例不可相加。,67,1832,196,3,221,70.0,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,6,紅 美鈴,红美铃,0.643036,1199,0.32983,1237,0.477564,1248,0.394737,1178,0.505932,1180,官方角色条件问卷；各题分母不同，比例不可相加。,17,7315,712,4,221,92.7273,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,60,寅丸 星,寅丸星,0.42439,205,0.251208,207,0.2723,213,0.429268,205,0.347826,207,官方角色条件问卷；各题分母不同，比例不可相加。,109,879,76,,221,50.9091,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,61,聖 白蓮,圣白莲,0.401384,578,0.231667,600,0.328358,603,0.460177,565,0.366723,589,官方角色条件问卷；各题分母不同，比例不可相加。,50,2733,204,2,221,77.7273,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,62,封獣 ぬえ,封兽鵺,0.521968,569,0.266667,585,0.30339,590,0.45471,552,0.425862,580,官方角色条件问卷；各题分母不同，比例不可相加。,54,2581,222,7,221,75.9091,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,63,大ナマズ,大鲶鱼,0.423077,26,0.172414,29,0.448276,29,0.483871,31,0.433333,30,官方角色条件问卷；各题分母不同，比例不可相加。,174,119,2,,221,21.3636,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,64,姫海棠 はたて,姬海棠果,0.337621,311,0.174051,316,0.245399,326,0.471572,299,0.349206,315,官方角色条件问卷；各题分母不同，比例不可相加。,77,1527,104,7,221,65.4545,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,65,幽谷 響子,幽谷响子,0.380282,213,0.105023,219,0.220264,227,0.478049,205,0.343891,221,官方角色条件问卷；各题分母不同，比例不可相加。,110,864,66,3,221,50.4545,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,66,宮古 芳香,宫古芳香,0.589958,239,0.45679,243,0.342742,248,0.388889,234,0.393443,244,官方角色条件问卷；各题分母不同，比例不可相加。,98,1039,92,2,221,55.9091,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,67,霍 青娥,霍青娥,0.508685,403,0.404819,415,0.293144,423,0.472637,402,0.355392,408,官方角色条件问卷；各题分母不同，比例不可相加。,68,1820,123,3,221,69.5455,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,68,蘇我 屠自古,苏我屠自古,0.592334,287,0.435216,301,0.258065,310,0.414966,294,0.390476,315,官方角色条件问卷；各题分母不同，比例不可相加。,88,1285,106,7,221,60.4545,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,69,物部 布都,物部布都,0.617568,740,0.3,750,0.314767,772,0.407859,738,0.422252,746,官方角色条件问卷；各题分母不同，比例不可相加。,40,3571,365,13,221,82.2727,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,7,小悪魔,小恶魔,0.614657,423,0.296296,432,0.416107,447,0.362353,425,0.487179,429,官方角色条件问卷；各题分母不同，比例不可相加。,57,2289,130,1,221,74.5455,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,70,豊聡耳 神子,丰聪耳神子,0.595745,752,0.354029,757,0.324495,792,0.441137,739,0.432606,779,官方角色条件问卷；各题分母不同，比例不可相加。,36,3952,444,6,221,84.0909,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,71,二ッ岩 マミゾウ,二岩猯藏,0.444444,342,0.344828,348,0.285311,354,0.433735,332,0.39039,333,官方角色条件问卷；各题分母不同，比例不可相加。,78,1513,136,,221,65.0,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,72,秦 こころ,秦心,0.664563,1109,0.248464,1139,0.37639,1169,0.407776,1106,0.452575,1107,官方角色条件问卷；各题分母不同，比例不可相加。,20,6729,791,6,221,91.3636,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,73,わかさぎ姫,若鹭姬,0.484444,225,0.253333,225,0.318367,245,0.462555,227,0.408696,230,官方角色条件问卷；各题分母不同，比例不可相加。,99,1032,76,,221,55.4545,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,74,赤蛮奇,赤蛮奇,0.534247,365,0.200542,369,0.349206,378,0.469914,349,0.414894,376,官方角色条件问卷；各题分母不同，比例不可相加。,65,1860,183,1,221,70.9091,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,75,今泉 影狼,今泉影狼,0.357827,313,0.126183,317,0.255452,321,0.540453,309,0.27619,315,官方角色条件问卷；各题分母不同，比例不可相加。,83,1394,113,4,221,62.7273,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,76,九十九 弁々,九十九弁弁,0.447205,161,0.243902,164,0.233918,171,0.427673,159,0.403727,161,官方角色条件问卷；各题分母不同，比例不可相加。,124,642,42,3,221,44.0909,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,77,九十九 八橋,九十九八桥,0.447917,96,0.231579,95,0.268041,97,0.443182,88,0.434783,92,官方角色条件问卷；各题分母不同，比例不可相加。,144,379,40,3,221,35.0,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,78,鬼人 正邪,鬼人正邪,0.588785,749,0.290237,758,0.28776,768,0.440225,711,0.464332,771,官方角色条件问卷；各题分母不同，比例不可相加。,35,4035,546,9,221,84.5455,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,79,少名 針妙丸,少名针妙丸,0.428082,292,0.216216,296,0.253333,300,0.465704,277,0.408784,296,官方角色条件问卷；各题分母不同，比例不可相加。,87,1287,118,3,221,60.9091,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,8,パチュリー・ノーレッジ,帕秋莉·诺蕾姬,0.563803,1199,0.241436,1226,0.415922,1231,0.442224,1151,0.442142,1158,官方角色条件问卷；各题分母不同，比例不可相加。,18,7216,702,6,221,92.2727,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,80,堀川 雷鼓,堀川雷鼓,0.476703,279,0.241135,282,0.25614,285,0.439394,264,0.40942,276,官方角色条件问卷；各题分母不同，比例不可相加。,92,1199,104,2,221,58.6364,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,81,宇佐見 菫子,宇佐见堇子,0.440729,329,0.264264,333,0.244898,343,0.481366,322,0.337313,335,官方角色条件问卷；各题分母不同，比例不可相加。,85,1346,115,1,221,61.8182,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,82,清蘭,清兰,0.365979,194,0.207447,188,0.15736,197,0.549738,191,0.335025,197,官方角色条件问卷；各题分母不同，比例不可相加。,117,706,42,1,221,47.2727,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,83,鈴瑚,铃瑚,0.409524,105,0.259615,104,0.25,112,0.495413,109,0.294643,112,官方角色条件问卷；各题分母不同，比例不可相加。,137,442,29,,221,38.1818,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,84,ドレミー・スイート,哆来咪·苏伊特,0.44843,446,0.231278,454,0.25486,463,0.455378,437,0.386813,455,官方角色条件问卷；各题分母不同，比例不可相加。,59,2094,194,3,221,73.6364,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
