id,name,jpname,group,vote,first,weight,info,ratio,vratio,fratio,male,female,hmratio,hfratio,hmaratio,hfaratio,vvratio
1,博丽灵梦,博麗霊夢,主角,2271,422,2693,<a href='./?m=info&type=chara&id=1' target='_blank'>点击查看详情</a>,18.58%,33.54%,6.41%,1865,406,82.12%,17.88%,32.68%,32.93%,
2,雾雨魔理沙,霧雨魔理沙,主角,1851,320,2171,<a href='./?m=info&type=chara&id=2' target='_blank'>点击查看详情</a>,17.29%,27.34%,4.86%,1490,359,80.5%,19.39%,26.11%,29.12%,
3,露米娅,ルーミア,东方红魔乡,314,32,346,<a href='./?m=info&type=chara&id=3' target='_blank'>点击查看详情</a>,10.19%,4.64%,0.49%,282,32,89.81%,10.19%,4.94%,2.6%,
4,大妖精,大妖精,东方红魔乡,228,15,243,<a href='./?m=info&type=chara&id=4' target='_blank'>点击查看详情</a>,6.58%,3.37%,0.23%,206,22,90.35%,9.65%,3.61%,1.78%,
5,琪露诺,チルノ,东方红魔乡,863,138,1001,<a href='./?m=info&type=chara&id=5' target='_blank'>点击查看详情</a>,15.99%,12.75%,2.1%,771,92,89.34%,10.66%,13.51%,7.46%,
6,红美铃,紅美鈴,东方红魔乡,480,52,532,<a href='./?m=info&type=chara&id=6' target='_blank'>点击查看详情</a>,10.83%,7.09%,0.79%,371,109,77.29%,22.71%,6.5%,8.84%,
7,小恶魔,小悪魔,东方红魔乡,161,13,174,<a href='./?m=info&type=chara&id=7' target='_blank'>点击查看详情</a>,8.07%,2.38%,0.2%,144,17,89.44%,10.56%,2.52%,1.38%,
8,帕秋莉·诺蕾姬,パチュリー·ノーレッジ,东方红魔乡,757,124,881,<a href='./?m=info&type=chara&id=8' target='_blank'>点击查看详情</a>,16.38%,11.18%,1.88%,653,104,86.26%,13.74%,11.44%,8.43%,
9,十六夜咲夜,十六夜咲夜,东方红魔乡,1264,202,1466,<a href='./?m=info&type=chara&id=9' target='_blank'>点击查看详情</a>,15.98%,18.67%,3.07%,1036,227,81.96%,17.96%,18.15%,18.41%,
10,蕾米莉亚·斯卡蕾特,レミリア·スカーレット,东方红魔乡,1372,231,1603,<a href='./?m=info&type=chara&id=10' target='_blank'>点击查看详情</a>,16.84%,20.26%,3.51%,1154,218,84.11%,15.89%,20.22%,17.68%,
11,芙兰朵露·斯卡蕾特,フランドール·スカーレット,东方红魔乡,1087,217,1304,<a href='./?m=info&type=chara&id=11' target='_blank'>点击查看详情</a>,19.96%,16.05%,3.3%,873,212,80.31%,19.5%,15.3%,17.19%,
12,冴月麟,さつき りん,东方红魔乡,126,13,139,<a href='./?m=info&type=chara&id=12' target='_blank'>点击查看详情</a>,10.32%,1.86%,0.2%,99,27,78.57%,21.43%,1.73%,2.19%,
13,蕾蒂·霍瓦特洛克,レティ·ホワイトロック,东方妖妖梦,56,8,64,<a href='./?m=info&type=chara&id=13' target='_blank'>点击查看详情</a>,14.29%,0.83%,0.12%,47,9,83.93%,16.07%,0.82%,0.73%,
14,橙,橙,东方妖妖梦,126,7,133,<a href='./?m=info&type=chara&id=14' target='_blank'>点击查看详情</a>,5.56%,1.86%,0.11%,112,14,88.89%,11.11%,1.96%,1.14%,
15,爱丽丝·玛格特洛依德,アリス·マーガトロイド,东方妖妖梦,1120,223,1343,<a href='./?m=info&type=chara&id=15' target='_blank'>点击查看详情</a>,19.91%,16.54%,3.39%,931,189,83.13%,16.88%,16.31%,15.33%,
16,莉莉白,リリーホワイト,东方妖妖梦,168,17,185,<a href='./?m=info&type=chara&id=16' target='_blank'>点击查看详情</a>,10.12%,2.48%,0.26%,148,20,88.1%,11.9%,2.59%,1.62%,
17,露娜萨·普莉兹姆利巴,ルナサ·プリズムリバー,东方妖妖梦,50,3,53,<a href='./?m=info&type=chara&id=17' target='_blank'>点击查看详情</a>,6%,0.74%,0.05%,41,9,82%,18%,0.72%,0.73%,
18,梅露兰·普莉兹姆利巴,メルラン·プリズムリバー,东方妖妖梦,23,2,25,<a href='./?m=info&type=chara&id=18' target='_blank'>点击查看详情</a>,8.7%,0.34%,0.03%,17,6,73.91%,26.09%,0.3%,0.49%,
19,莉莉卡·普莉兹姆利巴,リリカ·プリズムリバー,东方妖妖梦,19,1,20,<a href='./?m=info&type=chara&id=19' target='_blank'>点击查看详情</a>,5.26%,0.28%,0.02%,16,3,84.21%,15.79%,0.28%,0.24%,
20,魂魄妖梦,魂魄妖夢,东方妖妖梦,1059,187,1246,<a href='./?m=info&type=chara&id=20' target='_blank'>点击查看详情</a>,17.66%,15.64%,2.84%,934,125,88.2%,11.8%,16.37%,10.14%,
21,西行寺幽幽子,西行寺幽々子,东方妖妖梦,1217,309,1526,<a href='./?m=info&type=chara&id=21' target='_blank'>点击查看详情</a>,25.39%,17.97%,4.69%,1014,203,83.32%,16.68%,17.77%,16.46%,
22,八云蓝,八雲藍,东方妖妖梦,226,25,251,<a href='./?m=info&type=chara&id=22' target='_blank'>点击查看详情</a>,11.06%,3.34%,0.38%,190,36,84.07%,15.93%,3.33%,2.92%,
23,八云紫,八雲紫,东方妖妖梦,1290,216,1506,<a href='./?m=info&type=chara&id=23' target='_blank'>点击查看详情</a>,16.74%,19.05%,3.28%,1048,242,81.24%,18.76%,18.36%,19.63%,
