id,name,group,vote,first,info,ratio,vratio,fratio,vote1,first1,ratio1,vratio1,fratio1,vote2,first2,ratio2,vratio2,fratio2
1,博丽灵梦,主角,2271,422,<a href='./?m=info&type=chara&id=1' target='_blank'>点击查看详情</a>,18.58%,33.54%,6.41%,2582,513,19.87%,34.68%,7.12%,2855,660,23.12%,39.13%,9.34%
2,雾雨魔理沙,主角,1851,320,<a href='./?m=info&type=chara&id=2' target='_blank'>点击查看详情</a>,17.29%,27.34%,4.86%,2047,381,18.61%,27.49%,5.29%,1984,345,17.39%,27.19%,4.88%
3,露米娅,东方红魔乡,314,32,<a href='./?m=info&type=chara&id=3' target='_blank'>点击查看详情</a>,10.19%,4.64%,0.49%,366,47,12.84%,4.92%,0.65%,423,45,10.64%,5.8%,0.64%
4,大妖精,东方红魔乡,228,15,<a href='./?m=info&type=chara&id=4' target='_blank'>点击查看详情</a>,6.58%,3.37%,0.23%,217,13,5.99%,2.91%,0.18%,212,9,4.25%,2.91%,0.13%
5,琪露诺,东方红魔乡,863,138,<a href='./?m=info&type=chara&id=5' target='_blank'>点击查看详情</a>,15.99%,12.75%,2.1%,1103,197,17.86%,14.81%,2.73%,1104,177,16.03%,15.13%,2.5%
6,红美铃,东方红魔乡,480,52,<a href='./?m=info&type=chara&id=6' target='_blank'>点击查看详情</a>,10.83%,7.09%,0.79%,538,86,15.99%,7.23%,1.19%,596,80,13.42%,8.17%,1.13%
7,小恶魔,东方红魔乡,161,13,<a href='./?m=info&type=chara&id=7' target='_blank'>点击查看详情</a>,8.07%,2.38%,0.2%,110,6,5.45%,1.48%,0.08%,177,22,12.43%,2.43%,0.31%
8,帕秋莉·诺蕾姬,东方红魔乡,757,124,<a href='./?m=info&type=chara&id=8' target='_blank'>点击查看详情</a>,16.38%,11.18%,1.88%,870,142,16.32%,11.68%,1.97%,933,166,17.79%,12.79%,2.35%
9,十六夜咲夜,东方红魔乡,1264,202,<a href='./?m=info&type=chara&id=9' target='_blank'>点击查看详情</a>,15.98%,18.67%,3.07%,1574,297,18.87%,21.14%,4.12%,1710,354,20.7%,23.44%,5.01%
10,蕾米莉亚·斯卡蕾特,东方红魔乡,1372,231,<a href='./?m=info&type=chara&id=10' target='_blank'>点击查看详情</a>,16.84%,20.26%,3.51%,1456,263,18.06%,19.55%,3.65%,1563,285,18.23%,21.42%,4.03%
