id,name,jpname,weight,info,order,vote1,vote2,vote3,ratio1,vratio1,ratio2,vratio2,ratio3,vratio3,total,vratioa,male,female,hmratio,hfratio,hmaratio,hfaratio
24,东方绀珠传,東方紺珠伝,1700,<a href='./?m=info&type=work&id=24' target='_blank'>点击查看详情</a>,game150,268,314,300,30.39%,4.81%,35.6%,5.63%,34.01%,5.38%,882,15.81%,683,198,77.44%,22.45%,10.43%,13.22%
25,蓬莱人形,蓬莱人形,296,<a href='./?m=info&type=work&id=25' target='_blank'>点击查看详情</a>,music010,49,50,68,29.34%,0.88%,29.94%,0.9%,40.72%,1.22%,167,2.99%,127,40,76.05%,23.95%,1.94%,2.67%
26,莲台野夜行,蓮台野夜行,106,<a href='./?m=info&type=work&id=26' target='_blank'>点击查看详情</a>,music020,15,23,33,21.13%,0.27%,32.39%,0.41%,46.48%,0.59%,71,1.27%,62,9,87.32%,12.68%,0.95%,0.6%
27,梦违科学世纪,夢違科学世紀,144,<a href='./?m=info&type=work&id=27' target='_blank'>点击查看详情</a>,music030,18,36,34,20.45%,0.32%,40.91%,0.65%,38.64%,0.61%,88,1.58%,69,19,78.41%,21.59%,1.05%,1.27%
28,卯酉东海道,卯酉東海道,106,<a href='./?m=info&type=work&id=28' target='_blank'>点击查看详情</a>,music040,15,23,33,21.13%,0.27%,32.39%,0.41%,46.48%,0.59%,71,1.27%,54,17,76.06%,23.94%,0.82%,1.13%
29,大空魔术,大空魔術,158,<a href='./?m=info&type=work&id=29' target='_blank'>点击查看详情</a>,music050,23,33,34,25.56%,0.41%,36.67%,0.59%,37.78%,0.61%,90,1.61%,72,18,80%,20%,1.1%,1.2%
30,未知之花 魅知之旅,未知の花 魅知の旅,42,<a href='./?m=info&type=work&id=30' target='_blank'>点击查看详情</a>,music055,3,15,10,10.71%,0.05%,53.57%,0.27%,35.71%,0.18%,28,0.5%,21,7,75%,25%,0.32%,0.47%
31,鸟船遗迹,鳥船遺跡,44,<a href='./?m=info&type=work&id=31' target='_blank'>点击查看详情</a>,music060,5,12,17,14.71%,0.09%,35.29%,0.22%,50%,0.3%,34,0.61%,25,9,73.53%,26.47%,0.38%,0.6%
32,伊奘诺物质,伊弉諾物質,42,<a href='./?m=info&type=work&id=32' target='_blank'>点击查看详情</a>,music070,7,7,10,29.17%,0.13%,29.17%,0.13%,41.67%,0.18%,24,0.43%,14,10,58.33%,41.67%,0.21%,0.67%
33,幺乐团的历史 vol.1,幺樂団の歴史 vol.1,18,<a href='./?m=info&type=work&id=33' target='_blank'>点击查看详情</a>,yyt010,4,1,1,66.67%,0.07%,16.67%,0.02%,16.67%,0.02%,6,0.11%,4,2,66.67%,33.33%,0.06%,0.13%
34,幺乐团的历史 vol.2,幺樂団の歴史 vol.2,4,<a href='./?m=info&type=work&id=34' target='_blank'>点击查看详情</a>,yyt020,0,2,0,0%,0%,100%,0.04%,0%,0%,2,0.04%,1,1,50%,50%,0.02%,0.07%
35,幺乐团的历史 vol.3,幺樂団の歴史 vol.3,4,<a href='./?m=info&type=work&id=35' target='_blank'>点击查看详情</a>,yyt030,1,0,2,33.33%,0.02%,0%,0%,66.67%,0.04%,3,0.05%,3,0,100%,0%,0.05%,0%
36,幺乐团的历史 vol.4,幺樂団の歴史 vol.4,6,<a href='./?m=info&type=work&id=36' target='_blank'>点击查看详情</a>,yyt040,1,1,2,25%,0.02%,25%,0.02%,50%,0.04%,4,0.07%,1,3,25%,75%,0.02%,0.2%
37,幺乐团的历史 vol.5,幺樂団の歴史 vol.5,8,<a href='./?m=info&type=work&id=37' target='_blank'>点击查看详情</a>,yyt050,1,2,2,20%,0.02%,40%,0.04%,40%,0.04%,5,0.09%,5,0,100%,0%,0.08%,0%
38,幻想曲拔萃,幻想曲抜萃,42,<a href='./?m=info&type=work&id=38' target='_blank'>点击查看详情</a>,ost010,5,11,10,19.23%,0.09%,42.31%,0.2%,38.46%,0.18%,26,0.47%,21,5,80.77%,19.23%,0.32%,0.33%
39,全人类的天乐录,全人類ノ天楽録,62,<a href='./?m=info&type=work&id=39' target='_blank'>点击查看详情</a>,ost020,9,13,19,21.95%,0.16%,31.71%,0.23%,46.34%,0.34%,41,0.74%,37,4,90.24%,9.76%,0.57%,0.27%
40,核热造神非想天则,核熱造神ヒソウテンソク,26,<a href='./?m=info&type=work&id=40' target='_blank'>点击查看详情</a>,ost030,3,7,14,12.5%,0.05%,29.17%,0.13%,58.33%,0.25%,24,0.43%,20,4,83.33%,16.67%,0.31%,0.27%
41,暗黑能乐集心绮楼‎,暗黒能楽集·心綺楼,38,<a href='./?m=info&type=work&id=41' target='_blank'>点击查看详情</a>,ost040,5,9,9,21.74%,0.09%,39.13%,0.16%,39.13%,0.16%,23,0.41%,17,6,73.91%,26.09%,0.26%,0.4%
42,深秘乐曲集‎,深秘的楽曲集,26,<a href='./?m=info&type=work&id=42' target='_blank'>点击查看详情</a>,ost050,5,3,9,29.41%,0.09%,17.65%,0.05%,52.94%,0.16%,17,0.3%,16,1,94.12%,5.88%,0.24%,0.07%
43,东方香霖堂,東方香霖堂,352,<a href='./?m=info&type=work&id=43' target='_blank'>点击查看详情</a>,novel001,63,50,58,36.84%,1.13%,29.24%,0.9%,33.92%,1.04%,171,3.07%,155,16,90.64%,9.36%,2.37%,1.07%
44,东方三月精,東方三月精,288,<a href='./?m=info&type=work&id=44' target='_blank'>点击查看详情</a>,novel002,49,46,67,30.25%,0.88%,28.4%,0.82%,41.36%,1.2%,162,2.9%,152,10,93.83%,6.17%,2.32%,0.67%
