round,group,question_index,question_id,question,multi,option_index,option,all_count,male_count,female_count,sum_count,all_percent,male_percent,female_percent,total_all,total_male,total_female,total_diff
9,1,0,2,您的年龄阶段,0,0,未满10岁,27,20,7,27,0.23,0.2,0.41,11674,9955,1719,0
9,1,0,2,您的年龄阶段,0,1,10-14岁,540,377,163,540,4.63,3.79,9.48,11674,9955,1719,0
9,1,0,2,您的年龄阶段,0,2,15-19岁,6512,5558,954,6512,55.78,55.83,55.5,11674,9955,1719,0
9,1,0,2,您的年龄阶段,0,3,20-24岁,3950,3442,508,3950,33.84,34.58,29.55,11674,9955,1719,0
9,1,0,2,您的年龄阶段,0,4,25-29岁,520,453,67,520,4.45,4.55,3.9,11674,9955,1719,0
9,1,0,2,您的年龄阶段,0,5,30-40岁,110,94,16,110,0.94,0.94,0.93,11674,9955,1719,0
9,1,0,2,您的年龄阶段,0,6,40岁以上,15,11,4,15,0.13,0.11,0.23,11674,9955,1719,0
9,1,1,3,您正式接触东方Project多久,0,0,不到一个月,91,70,21,91,0.78,0.7,1.22,11674,9955,1719,0
9,1,1,3,您正式接触东方Project多久,0,1,半年以内,727,606,121,727,6.23,6.09,7.04,11674,9955,1719,0
9,1,1,3,您正式接触东方Project多久,0,2,半年到一年（2019年下半年或之后）,2383,2056,327,2383,20.41,20.65,19.02,11674,9955,1719,0
9,1,1,3,您正式接触东方Project多久,0,3,一年到三年（2017年或之后）,3947,3448,499,3947,33.81,34.64,29.03,11674,9955,1719,0
9,1,1,3,您正式接触东方Project多久,0,4,三年到五年（2015年或之后）,2408,2062,346,2408,20.63,20.71,20.13,11674,9955,1719,0
9,1,1,3,您正式接触东方Project多久,0,5,五年到七年（2013年或之后）,1275,1055,220,1275,10.92,10.6,12.8,11674,9955,1719,0
9,1,1,3,您正式接触东方Project多久,0,6,七年到十年（2010年或之后）,692,539,153,692,5.93,5.41,8.9,11674,9955,1719,0
9,1,1,3,您正式接触东方Project多久,0,7,十年以上,151,119,32,151,1.29,1.2,1.86,11674,9955,1719,0
9,1,2,4,您的受教育程度,0,0,小学及以下,46,30,16,46,0.39,0.3,0.93,11674,9955,1719,0
9,1,2,4,您的受教育程度,0,1,初中,1119,852,267,1119,9.59,8.56,15.53,11674,9955,1719,0
9,1,2,4,您的受教育程度,0,2,高中,3923,3369,554,3923,33.6,33.84,32.23,11674,9955,1719,0
9,1,2,4,您的受教育程度,0,3,大学及以上,6329,5488,841,6329,54.21,55.13,48.92,11674,9955,1719,0
9,1,2,4,您的受教育程度,0,4,其他,257,216,41,257,2.2,2.17,2.39,11674,9955,1719,0
9,1,3,5,您的工作类型是,0,0,在校学生,9683,8259,1424,9683,82.95,82.96,82.84,11674,9955,1719,0
9,1,3,5,您的工作类型是,0,1,固定工作者,1052,912,140,1052,9.01,9.16,8.14,11674,9955,1719,0
9,1,3,5,您的工作类型是,0,2,自由职业者,370,314,56,370,3.17,3.15,3.26,11674,9955,1719,0
9,1,3,5,您的工作类型是,0,3,待业/无业/失业,288,238,50,288,2.47,2.39,2.91,11674,9955,1719,0
9,1,3,5,您的工作类型是,0,4,其他,281,232,49,281,2.41,2.33,2.85,11674,9955,1719,0
9,2,0,1,您更喜欢官方游戏中的哪一类,0,0,STG（射击类）,4796,4010,786,4796,41.08,40.28,45.72,11674,9955,1719,0
9,2,0,1,您更喜欢官方游戏中的哪一类,0,1,FTG（格斗类）,1807,1607,200,1807,15.48,16.14,11.63,11674,9955,1719,0
9,2,0,1,您更喜欢官方游戏中的哪一类,0,2,都喜欢,4589,3937,652,4589,39.31,39.55,37.93,11674,9955,1719,0
9,2,0,1,您更喜欢官方游戏中的哪一类,0,3,对官方游戏不感兴趣，也不会去玩,482,401,81,482,4.13,4.03,4.71,11674,9955,1719,0
9,2,1,1,您是否玩过旧五作,0,0,玩过,3228,2718,510,3228,28.83,28.44,31.14,11195,9557,1638,0
9,2,1,1,您是否玩过旧五作,0,1,并未玩过,7896,6783,1113,7896,70.53,70.97,67.95,11195,9557,1638,0
9,2,1,1,您是否玩过旧五作,0,2,不知道旧五作是什么,71,56,15,71,0.63,0.59,0.92,11195,9557,1638,0
