id,vote,first,info,type,chara1,charaName1,chara2,charaName2,chara3,charaName3,male,female,hmratio,hfratio,hmaratio,hfaratio,vector1,vector2,vector0,vector3,ratio,vratio
1,1102,423,<a href='./?m=info&type=cp&id=134135000' target='_blank'>点击查看详情</a>,1,134,<a href='./?m=info&type=chara&id=134' target='_blank'>宇佐见莲子</a>,135,<a href='./?m=info&type=chara&id=135' target='_blank'>玛艾露贝莉·赫恩（梅莉）</a>,0,-,844,258,76.59%,23.41%,13.57%,16.75%,29.13%,10.07%,60.8%,-,38.38,18.92%
2,44,4,<a href='./?m=info&type=cp&id=208209210' target='_blank'>点击查看详情</a>,1,208,<a href='./?m=info&type=chara&id=208' target='_blank'>尔子田里乃</a>,209,<a href='./?m=info&type=chara&id=209' target='_blank'>丁礼田舞</a>,210,<a href='./?m=info&type=chara&id=210' target='_blank'>摩多罗隐岐奈</a>,32,12,72.73%,27.27%,0.51%,0.78%,2.27%,0%,52.27%,45.45%,9.09,0.76%
3,1412,447,<a href='./?m=info&type=cp&id=001002000' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,2,<a href='./?m=info&type=chara&id=2' target='_blank'>雾雨魔理沙</a>,0,-,1038,372,73.51%,26.35%,16.69%,24.16%,22.52%,20.89%,56.59%,-,31.66,24.24%
4,802,271,<a href='./?m=info&type=cp&id=002015000' target='_blank'>点击查看详情</a>,1,2,<a href='./?m=info&type=chara&id=2' target='_blank'>雾雨魔理沙</a>,15,<a href='./?m=info&type=chara&id=15' target='_blank'>爱丽丝·玛格特洛依德</a>,0,-,641,160,79.93%,19.95%,10.31%,10.39%,46.63%,13.22%,40.15%,-,33.79,13.77%
5,3,3,<a href='./?m=info&type=cp&id=042049000' target='_blank'>点击查看详情</a>,1,42,<a href='./?m=info&type=chara&id=42' target='_blank'>键山雏</a>,49,<a href='./?m=info&type=chara&id=49' target='_blank'>比那名居天子</a>,0,-,2,1,66.67%,33.33%,0.03%,0.06%,33.33%,33.33%,33.33%,-,100,0.05%
6,33,6,<a href='./?m=info&type=cp&id=178193000' target='_blank'>点击查看详情</a>,1,178,<a href='./?m=info&type=chara&id=178' target='_blank'>占卜师（易者）</a>,193,<a href='./?m=info&type=chara&id=193' target='_blank'>长相酷似周杰伦的参拜客</a>,0,-,29,4,87.88%,12.12%,0.47%,0.26%,12.12%,3.03%,84.85%,-,18.18,0.57%
7,134,19,<a href='./?m=info&type=cp&id=002207000' target='_blank'>点击查看详情</a>,1,2,<a href='./?m=info&type=chara&id=2' target='_blank'>雾雨魔理沙</a>,207,<a href='./?m=info&type=chara&id=207' target='_blank'>矢田寺成美</a>,0,-,117,16,87.31%,11.94%,1.88%,1.04%,54.48%,4.48%,41.04%,-,14.18,2.3%
8,41,14,<a href='./?m=info&type=cp&id=020049000' target='_blank'>点击查看详情</a>,1,20,<a href='./?m=info&type=chara&id=20' target='_blank'>魂魄妖梦</a>,49,<a href='./?m=info&type=chara&id=49' target='_blank'>比那名居天子</a>,0,-,38,3,92.68%,7.32%,0.61%,0.19%,0%,46.34%,53.66%,-,34.15,0.7%
9,44,1,<a href='./?m=info&type=cp&id=034087000' target='_blank'>点击查看详情</a>,1,34,<a href='./?m=info&type=chara&id=34' target='_blank'>藤原妹红</a>,87,<a href='./?m=info&type=chara&id=87' target='_blank'>宇佐见堇子</a>,0,-,33,11,75%,25%,0.53%,0.71%,40.91%,9.09%,50%,-,2.27,0.76%
10,72,7,<a href='./?m=info&type=cp&id=023210000' target='_blank'>点击查看详情</a>,1,23,<a href='./?m=info&type=chara&id=23' target='_blank'>八云紫</a>,210,<a href='./?m=info&type=chara&id=210' target='_blank'>摩多罗隐岐奈</a>,0,-,53,19,73.61%,26.39%,0.85%,1.23%,4.17%,23.61%,72.22%,-,9.72,1.24%
