name,vote,first,votes,ratio,sratio,vratio,male,female,mratio,fratio,hmratio,hfratio
总数,6942,-,-,-,-,-,5707,1233,82.21%,17.76%,-,-
角色,6771,6582,44392,97.21%,81.95% (7 / 8),97.54%,5566,1203,82.2%,17.77%,97.53%,97.57%
音乐,5742,5453,52943,94.97%,76.84% (9 / 12),82.71%,4720,1021,82.2%,17.78%,82.71%,82.81%
作品,5257,-,15771,-,-,75.73%,4324,933,82.25%,17.75%,75.77%,75.67%
组合,5340,5032,19984,94.23%,74.85% (4 / 5),76.92%,4303,1036,80.58%,19.4%,75.4%,84.02%
游戏,3989,-,3987,-,-,57.46%,3348,641,83.93%,16.07%,58.66%,51.99%
